Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",43.78,45.67,43.51,44.67,44.67,1993900
"Apr 02, 2020",42.59,44.90,42.17,43.63,43.63,2922500
"Apr 01, 2020",39.83,41.96,39.41,41.59,41.59,2128400
"Mar 31, 2020",39.54,40.58,38.83,39.79,39.79,1801700
"Mar 30, 2020",39.08,41.41,38.51,40.10,40.10,2411800
"Mar 27, 2020",40.58,41.61,38.35,38.79,38.79,3087600
"Mar 26, 2020",42.16,42.37,38.97,41.27,41.27,3593600
"Mar 25, 2020",43.59,43.85,41.10,41.54,41.54,3570000
"Mar 24, 2020",41.59,45.22,39.90,44.08,44.08,3261600
"Mar 23, 2020",37.79,39.41,36.32,37.85,37.85,3598900
"Mar 20, 2020",40.09,41.09,36.54,36.80,36.80,2523500
"Mar 19, 2020",35.99,42.50,33.37,38.94,38.94,3491900
"Mar 18, 2020",40.21,42.20,35.02,36.36,36.36,3018000
"Mar 17, 2020",38.22,43.25,38.06,41.55,41.55,4009600
"Mar 16, 2020",32.11,40.58,31.00,38.69,38.69,6192300
"Mar 13, 2020",44.29,44.69,36.10,37.27,37.27,4293300
"Mar 12, 2020",40.83,45.27,40.01,42.38,42.38,2908000
"Mar 11, 2020",49.06,49.15,44.12,45.32,45.32,3280200
"Mar 10, 2020",49.52,50.56,47.83,49.33,49.33,2278500
"Mar 09, 2020",51.06,52.30,49.27,49.29,49.29,2184400
"Mar 06, 2020",53.53,53.73,51.08,53.06,53.06,2365300
"Mar 05, 2020",51.47,53.30,51.30,53.16,53.16,2674200
"Mar 04, 2020",51.20,51.49,49.73,51.00,51.00,2185200
"Mar 03, 2020",49.03,52.37,48.20,50.55,50.55,3295600
"Mar 02, 2020",48.59,48.96,47.73,48.24,48.24,1999200
"Feb 28, 2020",47.24,48.79,46.13,47.53,47.53,3524900
"Feb 27, 2020",51.47,51.66,49.23,49.40,49.40,2857400
"Feb 27, 2020",0.2 Dividend,0.2 Dividend,0.2 Dividend,0.2 Dividend,0.2 Dividend,0.2 Dividend
"Feb 26, 2020",51.88,52.06,51.04,51.16,50.96,1937500
"Feb 25, 2020",51.80,53.50,51.62,51.94,51.74,3045200
"Feb 24, 2020",53.88,54.20,52.05,52.74,52.53,3599000
"Feb 21, 2020",52.85,53.33,51.60,51.95,51.75,3714800
"Feb 20, 2020",49.73,51.71,49.72,51.39,51.19,2888700
"Feb 19, 2020",49.90,50.05,48.44,49.64,49.45,3833900
"Feb 18, 2020",50.57,50.74,48.78,49.58,49.39,5667400
"Feb 14, 2020",52.20,53.01,49.82,49.87,49.68,8591700
