Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",193.39,194.99,185.25,186.60,186.60,1943700
"Apr 02, 2020",187.63,199.24,186.45,194.50,194.50,1963500
"Apr 01, 2020",192.00,197.40,188.54,189.28,189.28,1566500
"Mar 31, 2020",202.70,205.88,197.47,199.61,199.61,2372800
"Mar 31, 2020",1.34 Dividend,1.34 Dividend,1.34 Dividend,1.34 Dividend,1.34 Dividend,1.34 Dividend
"Mar 30, 2020",198.47,208.59,197.10,206.53,205.19,1281800
"Mar 27, 2020",195.31,199.15,191.34,193.17,191.92,1173100
"Mar 26, 2020",192.98,202.80,189.98,201.34,200.03,1512800
"Mar 25, 2020",193.36,204.62,189.72,191.15,189.91,2165300
"Mar 24, 2020",185.56,200.72,179.27,194.42,193.16,2161600
"Mar 23, 2020",186.41,194.61,173.91,176.73,175.58,2162800
"Mar 20, 2020",190.97,193.85,182.29,189.15,187.92,2155600
"Mar 19, 2020",199.50,204.86,188.58,191.04,189.80,1818200
"Mar 18, 2020",190.71,211.53,182.83,201.57,200.26,2582200
"Mar 17, 2020",185.35,205.76,181.59,205.10,203.77,2284700
"Mar 16, 2020",170.15,191.20,167.43,180.35,179.18,1809000
"Mar 13, 2020",197.15,206.52,188.67,206.36,205.02,2180400
"Mar 12, 2020",197.90,206.17,178.48,187.73,186.51,2288700
"Mar 11, 2020",210.00,213.13,203.45,207.80,206.45,1470600
"Mar 10, 2020",210.93,214.58,204.62,214.58,213.19,1962500
"Mar 09, 2020",214.99,214.99,204.74,205.15,203.82,2393700
"Mar 06, 2020",226.23,231.53,225.44,229.71,228.22,2175000
"Mar 05, 2020",230.50,234.73,229.16,234.00,232.48,1548200
"Mar 04, 2020",231.42,237.44,229.79,237.20,235.66,1213900
"Mar 03, 2020",231.09,237.22,224.55,227.36,225.88,1607800
"Mar 02, 2020",221.09,230.84,220.63,230.65,229.15,1625400
"Feb 28, 2020",217.39,222.78,213.81,219.61,218.19,2353600
"Feb 27, 2020",231.88,233.28,223.99,224.09,222.64,1410300
"Feb 26, 2020",235.95,240.17,235.11,235.52,233.99,1310200
"Feb 25, 2020",245.54,246.39,234.82,235.49,233.96,1423700
"Feb 24, 2020",249.76,251.09,244.68,245.53,243.94,1330700
"Feb 21, 2020",255.24,255.59,253.70,254.97,253.32,1587000
"Feb 20, 2020",254.90,256.01,252.11,255.40,253.74,922900
"Feb 19, 2020",256.41,257.01,255.01,255.82,254.16,931000
"Feb 18, 2020",255.91,256.59,254.97,255.74,254.08,857900
"Feb 14, 2020",255.22,256.05,254.65,256.01,254.35,650800
"Feb 13, 2020",253.89,256.32,253.26,254.88,253.23,666200
"Feb 12, 2020",252.80,254.71,252.61,254.10,252.45,690000
"Feb 11, 2020",253.28,254.31,252.22,252.41,250.77,965400
"Feb 10, 2020",251.50,252.00,250.32,251.71,250.08,861600
"Feb 07, 2020",250.40,251.37,249.13,249.92,248.30,730800
"Feb 06, 2020",250.73,251.62,248.82,251.06,249.43,1517600
"Feb 05, 2020",248.72,250.59,243.14,250.28,248.66,1590800
"Feb 04, 2020",244.91,248.00,243.28,247.09,245.49,1447300
"Feb 03, 2020",239.89,243.67,238.37,243.01,241.43,1639600
"Jan 31, 2020",240.34,240.65,237.81,238.71,237.16,1596400
"Jan 30, 2020",236.32,241.74,236.14,241.41,239.84,1074100
"Jan 29, 2020",237.93,237.93,235.56,237.27,235.73,709000
"Jan 28, 2020",234.09,237.42,233.74,236.45,234.92,1338500
"Jan 27, 2020",240.40,240.87,233.36,233.47,231.96,1368900
"Jan 24, 2020",237.54,244.61,237.54,243.95,242.37,1763500
"Jan 23, 2020",235.82,237.72,233.64,237.29,235.75,1072300
"Jan 22, 2020",238.61,239.14,236.92,238.04,236.50,927800
"Jan 21, 2020",236.46,239.12,235.34,237.18,235.64,1699900
"Jan 17, 2020",236.05,237.35,235.17,237.00,235.46,1857000
"Jan 16, 2020",236.87,237.23,235.48,235.77,234.24,756600
"Jan 15, 2020",235.08,236.73,233.76,235.46,233.93,779500
"Jan 14, 2020",236.03,236.99,233.89,234.52,233.00,944200
"Jan 13, 2020",232.36,237.27,232.28,236.86,235.32,1376800
"Jan 10, 2020",234.50,235.29,231.25,232.00,230.49,949000
"Jan 09, 2020",230.07,233.73,229.28,233.50,231.99,1320900
"Jan 08, 2020",227.71,228.95,225.86,228.09,226.61,965700
"Jan 07, 2020",225.41,228.83,224.91,226.86,225.39,1518900
"Jan 06, 2020",225.15,228.15,224.94,225.90,224.43,1737400
"Jan 03, 2020",228.65,230.27,225.98,226.00,224.53,1710400
"Jan 02, 2020",235.25,236.80,230.84,231.14,229.64,1320500
"Dec 31, 2019",234.67,235.13,233.43,234.99,233.47,527100
"Dec 31, 2019",1.16 Dividend,1.16 Dividend,1.16 Dividend,1.16 Dividend,1.16 Dividend,1.16 Dividend
"Dec 30, 2019",235.81,236.08,234.33,235.33,232.65,470800
"Dec 27, 2019",237.14,237.31,235.01,235.49,232.81,416100
"Dec 26, 2019",236.31,236.31,234.80,236.08,233.39,344800
"Dec 24, 2019",234.98,236.12,234.00,235.05,232.37,162700
"Dec 23, 2019",236.07,236.37,234.38,235.14,232.46,831000
"Dec 20, 2019",233.96,235.82,233.16,235.00,232.32,1738200
"Dec 19, 2019",232.83,235.23,232.83,233.06,230.41,912800
"Dec 18, 2019",235.09,235.52,230.58,233.11,230.46,1056100
"Dec 17, 2019",234.78,236.70,233.83,235.61,232.93,1220800
"Dec 16, 2019",232.11,234.58,231.79,234.44,231.77,1089200
"Dec 13, 2019",231.59,234.49,230.56,230.74,228.11,881100
"Dec 12, 2019",229.79,232.81,229.35,232.40,229.75,2177400
"Dec 11, 2019",230.40,230.47,228.42,229.50,226.89,1248100
"Dec 10, 2019",230.77,231.71,229.37,229.50,226.89,928900
"Dec 09, 2019",232.35,233.15,230.82,230.82,228.19,978500
"Dec 06, 2019",232.80,232.89,231.55,232.03,229.39,618700
"Dec 05, 2019",229.16,231.23,229.07,230.46,227.84,1029200
"Dec 04, 2019",230.50,231.37,228.92,228.92,226.31,972800
"Dec 03, 2019",229.92,231.42,227.98,229.69,227.07,1162400
"Dec 02, 2019",236.00,236.20,230.71,230.97,228.34,1150700
"Nov 29, 2019",236.38,238.18,235.32,236.33,233.64,653400
"Nov 27, 2019",234.40,236.31,233.10,236.04,233.35,685100
"Nov 26, 2019",234.20,235.82,232.28,234.40,231.73,1438200
"Nov 25, 2019",238.24,239.12,233.14,234.74,232.07,1316500
"Nov 22, 2019",237.86,239.00,235.25,237.60,234.89,979200
"Nov 21, 2019",237.28,238.08,235.58,237.64,234.93,774000
"Nov 20, 2019",241.06,241.78,236.99,237.90,235.19,1199500
"Nov 19, 2019",241.23,241.90,240.22,241.31,238.56,816000
"Nov 18, 2019",239.09,241.78,239.09,241.19,238.44,976200
"Nov 15, 2019",239.52,241.00,238.63,240.92,238.18,1259800
"Nov 14, 2019",236.38,238.54,236.26,238.18,235.47,949500
