Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",30.65,31.09,29.67,30.06,30.06,2584800
"Apr 02, 2020",30.55,31.48,30.00,31.10,31.10,2505700
"Apr 01, 2020",29.79,30.32,29.25,29.39,29.39,2616100
"Mar 31, 2020",30.48,31.16,29.92,30.34,30.34,4204500
"Mar 30, 2020",30.15,30.33,29.58,30.10,30.10,1979100
"Mar 27, 2020",29.03,29.76,28.90,29.00,29.00,3276000
"Mar 26, 2020",30.60,31.05,30.09,30.80,30.80,3884300
"Mar 25, 2020",30.67,31.44,30.04,30.35,30.35,4989100
"Mar 24, 2020",29.42,30.37,28.63,29.73,29.73,5908000
"Mar 23, 2020",25.40,26.21,24.88,25.40,25.40,5434300
"Mar 20, 2020",26.24,26.83,24.89,24.91,24.91,5295600
"Mar 19, 2020",24.70,25.87,24.15,25.46,25.46,3493400
"Mar 18, 2020",25.21,26.04,23.87,24.66,24.66,4315800
"Mar 17, 2020",26.00,27.88,25.54,27.68,27.68,4643100
"Mar 16, 2020",24.67,26.02,24.35,24.84,24.84,5431100
"Mar 13, 2020",27.30,27.58,25.43,27.58,27.58,4174300
"Mar 12, 2020",25.17,26.13,23.64,24.41,24.41,5300800
"Mar 11, 2020",29.27,29.74,28.31,28.81,28.81,6438000
"Mar 10, 2020",30.69,30.80,29.35,30.69,30.69,8204600
"Mar 09, 2020",29.52,30.06,28.36,28.37,28.37,5092700
"Mar 06, 2020",34.80,35.40,34.41,34.89,34.89,3142800
"Mar 05, 2020",36.41,36.65,36.01,36.28,36.28,2491700
"Mar 05, 2020",1.3 Dividend,1.3 Dividend,1.3 Dividend,1.3 Dividend,1.3 Dividend,1.3 Dividend
"Mar 04, 2020",38.36,39.02,38.01,38.97,37.67,2089300
"Mar 03, 2020",37.99,38.50,37.08,37.32,36.08,4934900
"Mar 02, 2020",36.63,37.61,36.17,37.52,36.27,3805600
"Feb 28, 2020",36.05,36.99,35.71,36.30,35.09,7707000
"Feb 27, 2020",38.30,38.99,37.95,37.96,36.69,2680200
"Feb 26, 2020",39.86,40.34,39.56,39.58,38.26,2064400
"Feb 25, 2020",40.76,40.76,39.47,39.58,38.26,1978000
"Feb 24, 2020",40.28,40.77,40.17,40.63,39.27,2267900
"Feb 21, 2020",43.14,43.24,42.85,43.02,41.58,1168000
"Feb 20, 2020",43.73,43.79,43.17,43.24,41.80,1001800
"Feb 19, 2020",43.81,43.94,43.66,43.80,42.34,1122900
"Feb 18, 2020",43.47,43.90,43.36,43.77,42.31,1892600
"Feb 14, 2020",44.11,44.17,43.59,44.01,42.54,1682700
"Feb 13, 2020",44.22,44.36,43.99,44.07,42.60,1375000
"Feb 12, 2020",44.52,44.65,44.23,44.58,43.09,1631100
"Feb 11, 2020",43.42,43.65,43.37,43.55,42.10,1393300
"Feb 10, 2020",42.72,43.11,42.70,43.11,41.67,968600
"Feb 07, 2020",43.40,43.63,43.09,43.17,41.73,1082000
"Feb 06, 2020",44.66,44.85,44.40,44.50,43.02,1400800
"Feb 05, 2020",45.02,45.14,44.63,44.98,43.48,1546800
"Feb 04, 2020",44.28,44.52,44.14,44.47,42.99,1367700
"Feb 03, 2020",43.13,43.52,43.02,43.07,41.63,1389300
"Jan 31, 2020",43.81,44.00,43.32,43.43,41.98,2045600
"Jan 30, 2020",44.37,44.93,44.16,44.93,43.43,1070000
"Jan 29, 2020",45.09,45.22,44.73,44.93,43.43,723200
"Jan 28, 2020",44.62,45.11,44.48,44.95,43.45,857300
"Jan 27, 2020",44.57,44.92,44.51,44.51,43.03,1616300
"Jan 24, 2020",46.73,46.84,46.14,46.27,44.73,1241200
"Jan 23, 2020",46.77,47.27,46.60,47.22,45.64,2312500
"Jan 22, 2020",48.10,48.32,47.90,48.05,46.45,1386700
"Jan 21, 2020",47.42,47.68,47.32,47.38,45.80,1268200
"Jan 17, 2020",48.67,48.67,48.16,48.42,46.80,892800
"Jan 16, 2020",47.49,47.58,47.18,47.55,45.96,822200
"Jan 15, 2020",46.64,47.11,46.63,46.99,45.42,923300
"Jan 14, 2020",46.97,47.34,46.93,47.16,45.59,1087800
"Jan 13, 2020",46.42,47.04,46.36,46.97,45.40,828800
"Jan 10, 2020",46.76,46.96,46.48,46.60,45.05,1165500
"Jan 09, 2020",46.70,46.82,46.28,46.59,45.04,1168200
"Jan 08, 2020",47.14,47.52,47.04,47.31,45.73,1018100
"Jan 07, 2020",46.73,47.04,46.63,46.94,45.37,549400
"Jan 06, 2020",46.71,46.90,46.69,46.81,45.25,572800
"Jan 03, 2020",46.65,47.21,46.65,46.88,45.32,783700
"Jan 02, 2020",47.46,47.53,47.15,47.34,45.76,581900
"Dec 31, 2019",46.93,47.09,46.76,47.01,45.44,516000
"Dec 30, 2019",47.07,47.24,46.97,46.98,45.41,429800
"Dec 27, 2019",47.47,47.50,47.18,47.21,45.64,540400
"Dec 26, 2019",46.92,47.16,46.87,47.12,45.55,317500
"Dec 24, 2019",47.00,47.00,46.70,46.71,45.15,187500
"Dec 23, 2019",46.46,46.74,46.43,46.74,45.18,434500
"Dec 20, 2019",47.02,47.10,46.54,46.58,45.03,574400
"Dec 19, 2019",46.88,46.97,46.70,46.84,45.28,580300
"Dec 18, 2019",46.93,47.09,46.84,46.93,45.36,608500
"Dec 17, 2019",47.08,47.46,47.03,47.36,45.78,874700
"Dec 16, 2019",48.12,48.12,47.45,47.48,45.90,1049200
"Dec 13, 2019",46.93,47.50,46.38,46.59,45.04,1893600
"Dec 12, 2019",45.57,46.29,45.49,46.16,44.62,1192700
"Dec 11, 2019",45.27,45.87,45.23,45.77,44.24,851400
"Dec 10, 2019",45.02,45.28,44.86,45.25,43.74,663000
"Dec 09, 2019",45.07,45.33,45.00,45.01,43.51,559000
"Dec 06, 2019",44.78,44.88,44.58,44.63,43.14,712600
"Dec 05, 2019",44.07,44.22,43.70,43.97,42.50,1019100
"Dec 04, 2019",43.96,44.43,43.88,44.37,42.89,866600
"Dec 03, 2019",43.51,43.83,43.46,43.80,42.34,976100
"Dec 02, 2019",44.53,44.71,44.37,44.62,43.13,761000
"Nov 29, 2019",44.24,44.50,44.22,44.42,42.94,456900
"Nov 27, 2019",44.87,44.89,44.50,44.86,43.36,465800
"Nov 26, 2019",44.78,44.78,44.44,44.65,43.16,919800
"Nov 25, 2019",44.41,44.56,44.27,44.45,42.97,557200
"Nov 22, 2019",44.02,44.20,43.81,43.95,42.48,772400
"Nov 21, 2019",42.98,43.47,42.97,43.40,41.95,784000
"Nov 20, 2019",43.46,43.76,43.22,43.38,41.93,853400
"Nov 19, 2019",44.70,44.75,43.96,44.12,42.65,921300
"Nov 18, 2019",43.76,43.79,43.50,43.70,42.24,573300
"Nov 15, 2019",43.53,43.91,43.37,43.90,42.44,1194400
"Nov 14, 2019",43.16,43.34,42.95,43.12,41.68,543300
