Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",37.12,37.85,36.14,36.59,36.59,4072200
"Apr 02, 2020",37.13,38.16,36.35,37.90,37.90,4847300
"Apr 01, 2020",36.34,37.13,35.68,35.87,35.87,3714300
"Mar 31, 2020",37.10,38.02,36.39,36.69,36.69,4877700
"Mar 30, 2020",36.90,37.28,36.32,37.05,37.05,3190300
"Mar 27, 2020",35.70,36.52,35.41,35.59,35.59,4014000
"Mar 26, 2020",37.70,38.14,37.01,37.85,37.85,4581800
"Mar 25, 2020",37.74,38.74,36.81,37.32,37.32,6434100
"Mar 24, 2020",36.41,36.96,35.26,36.46,36.46,7786200
"Mar 23, 2020",31.73,32.84,31.35,31.72,31.72,6054500
"Mar 20, 2020",33.18,33.77,31.33,31.47,31.47,6989300
"Mar 19, 2020",31.46,33.05,30.58,32.35,32.35,6095300
"Mar 18, 2020",31.90,33.07,30.06,30.95,30.95,6422000
"Mar 17, 2020",32.99,35.22,32.68,34.87,34.87,7322100
"Mar 16, 2020",30.77,32.65,30.16,31.55,31.55,9652200
"Mar 13, 2020",34.06,34.44,31.82,34.29,34.29,9947900
"Mar 12, 2020",31.63,31.93,29.78,30.93,30.93,9929000
"Mar 11, 2020",36.00,36.44,34.93,35.45,35.45,10381700
"Mar 10, 2020",37.77,37.81,36.35,37.76,37.76,8259500
"Mar 09, 2020",35.14,36.37,34.52,34.87,34.87,5827500
"Mar 06, 2020",41.64,42.23,41.10,41.75,41.75,3986500
"Mar 05, 2020",43.31,43.50,42.75,43.10,43.10,3400000
"Mar 05, 2020",1.3 Dividend,1.3 Dividend,1.3 Dividend,1.3 Dividend,1.3 Dividend,1.3 Dividend
"Mar 04, 2020",45.08,45.82,44.76,45.78,44.48,2785600
"Mar 03, 2020",44.91,45.44,43.72,43.94,42.69,5652000
"Mar 02, 2020",43.41,44.32,42.96,44.25,42.99,4770600
"Feb 28, 2020",42.78,43.79,42.57,43.31,42.08,5310800
"Feb 27, 2020",45.44,46.01,44.91,44.92,43.64,3515400
"Feb 26, 2020",46.90,47.31,46.43,46.44,45.12,2480600
"Feb 25, 2020",48.08,48.08,46.66,46.78,45.45,2003600
"Feb 24, 2020",47.50,48.10,47.30,47.87,46.51,3640000
"Feb 21, 2020",50.62,50.67,50.22,50.41,48.98,2098700
"Feb 20, 2020",51.45,51.45,50.58,50.64,49.20,1693700
"Feb 19, 2020",51.59,51.71,51.28,51.43,49.97,2026100
"Feb 18, 2020",51.17,51.65,51.13,51.56,50.10,2501800
"Feb 14, 2020",52.10,52.12,51.32,51.69,50.22,2111000
"Feb 13, 2020",52.05,52.25,51.79,52.00,50.52,1887200
"Feb 12, 2020",52.55,52.66,52.09,52.37,50.88,1958200
"Feb 11, 2020",51.54,51.76,51.40,51.52,50.06,2075300
"Feb 10, 2020",50.62,51.07,50.57,51.06,49.61,2136900
"Feb 07, 2020",51.35,51.59,50.91,51.07,49.62,2097600
"Feb 06, 2020",52.69,52.89,52.37,52.53,51.04,2951600
"Feb 05, 2020",52.98,53.00,52.46,52.85,51.35,2568500
"Feb 04, 2020",52.02,52.26,51.83,52.17,50.69,2428600
"Feb 03, 2020",50.96,51.28,50.66,50.78,49.34,2375900
"Jan 31, 2020",52.06,52.06,51.01,51.11,49.66,3706500
"Jan 30, 2020",52.38,53.03,52.06,52.98,51.48,1778700
"Jan 29, 2020",53.20,53.29,52.81,52.92,51.42,1985800
"Jan 28, 2020",52.88,53.25,52.48,53.01,51.50,1750400
"Jan 27, 2020",52.64,53.03,52.60,52.75,51.25,3247600
"Jan 24, 2020",55.13,55.33,54.27,54.44,52.89,2448100
"Jan 23, 2020",55.22,55.73,54.95,55.64,54.06,4824700
"Jan 22, 2020",56.42,56.64,56.15,56.34,54.74,3100600
"Jan 21, 2020",55.67,55.92,55.49,55.58,54.00,2925000
"Jan 17, 2020",56.70,56.78,56.22,56.48,54.88,1926600
"Jan 16, 2020",55.62,55.67,55.13,55.56,53.98,2688700
"Jan 15, 2020",54.69,55.11,54.65,55.03,53.47,2706500
"Jan 14, 2020",54.85,55.25,54.76,55.19,53.62,1756500
"Jan 13, 2020",54.30,54.78,54.10,54.75,53.20,1403200
"Jan 10, 2020",54.47,54.63,54.27,54.39,52.85,1064500
"Jan 09, 2020",54.36,54.45,53.87,54.24,52.70,1525900
"Jan 08, 2020",54.70,55.00,54.60,54.76,53.20,1175600
"Jan 07, 2020",54.30,54.70,54.29,54.49,52.94,904900
"Jan 06, 2020",54.39,54.60,54.37,54.49,52.94,688300
"Jan 03, 2020",54.24,54.83,54.20,54.55,53.00,1078000
"Jan 02, 2020",55.22,55.27,54.78,54.92,53.36,1233000
"Dec 31, 2019",54.66,54.80,54.43,54.71,53.16,718900
"Dec 30, 2019",54.90,55.02,54.69,54.72,53.17,716000
"Dec 27, 2019",55.19,55.29,54.90,54.93,53.37,746300
"Dec 26, 2019",54.70,54.91,54.64,54.81,53.25,656800
