Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",26.41,26.52,25.37,25.87,25.87,1525900
"Apr 02, 2020",26.34,26.88,25.67,26.25,26.25,2170700
"Apr 01, 2020",25.94,26.71,25.75,25.90,25.90,1933800
"Mar 31, 2020",26.18,27.43,25.89,26.84,26.84,1876700
"Mar 30, 2020",25.12,25.89,24.90,25.58,25.58,1518300
"Mar 27, 2020",25.05,25.95,24.87,25.36,25.36,2612400
"Mar 26, 2020",25.33,27.08,25.14,26.81,26.81,2929700
"Mar 25, 2020",23.23,24.69,22.65,23.90,23.90,2765300
"Mar 24, 2020",21.47,23.22,21.21,22.87,22.87,2519600
"Mar 23, 2020",20.09,20.77,19.56,20.18,20.18,1944500
"Mar 20, 2020",20.41,21.08,19.87,19.87,19.87,2164900
"Mar 19, 2020",18.50,19.35,18.34,18.96,18.96,1436500
"Mar 18, 2020",19.00,19.98,17.73,18.64,18.64,1255800
"Mar 17, 2020",21.77,22.86,21.07,22.47,22.47,1272000
"Mar 16, 2020",22.46,23.80,22.46,22.57,22.57,1473300
"Mar 13, 2020",27.25,27.56,25.35,27.51,27.51,1501800
"Mar 12, 2020",26.97,27.04,25.28,26.04,26.04,1530000
"Mar 12, 2020",0.704 Dividend,0.704 Dividend,0.704 Dividend,0.704 Dividend,0.704 Dividend,0.704 Dividend
"Mar 11, 2020",30.68,30.74,29.34,29.62,28.92,2584700
"Mar 10, 2020",32.18,32.30,30.87,31.83,31.07,3228200
"Mar 09, 2020",31.94,32.55,30.93,30.99,30.25,3256000
"Mar 06, 2020",34.29,34.84,33.74,34.31,33.49,1879700
"Mar 05, 2020",35.43,36.05,35.20,35.36,34.52,1687800
"Mar 04, 2020",35.76,36.27,35.40,36.27,35.41,948300
"Mar 03, 2020",35.60,36.04,34.71,35.06,34.23,1733900
"Mar 02, 2020",34.55,35.21,34.22,35.21,34.37,1144500
"Feb 28, 2020",33.51,34.18,33.22,33.88,33.07,2146900
"Feb 27, 2020",34.65,35.12,34.21,34.21,33.40,1611700
"Feb 26, 2020",35.89,36.09,35.36,35.43,34.59,1079300
"Feb 25, 2020",36.33,36.33,35.24,35.32,34.48,915100
"Feb 24, 2020",36.19,36.55,36.14,36.26,35.40,683700
"Feb 21, 2020",37.68,37.82,37.51,37.60,36.71,439700
"Feb 20, 2020",38.06,38.12,37.59,37.85,36.95,691800
"Feb 19, 2020",37.98,38.15,37.97,38.03,37.13,467700
"Feb 18, 2020",38.05,38.19,37.91,37.91,37.01,641000
"Feb 14, 2020",39.09,39.09,38.82,38.90,37.98,292500
"Feb 13, 2020",39.08,39.19,38.99,39.11,38.18,469500
"Feb 12, 2020",39.67,39.67,39.40,39.41,38.47,679100
"Feb 11, 2020",39.35,39.42,39.19,39.22,38.29,522900
"Feb 10, 2020",38.60,38.76,38.55,38.75,37.83,358100
"Feb 07, 2020",38.52,38.62,38.39,38.46,37.55,453000
"Feb 06, 2020",38.98,39.08,38.84,38.89,37.97,489900
"Feb 05, 2020",38.82,39.11,38.70,39.05,38.12,603200
"Feb 04, 2020",38.74,38.79,38.52,38.76,37.84,740500
"Feb 03, 2020",37.76,38.21,37.75,38.10,37.19,540500
"Jan 31, 2020",38.03,38.08,37.46,37.59,36.70,532900
"Jan 30, 2020",37.86,38.43,37.77,38.43,37.52,575400
"Jan 29, 2020",38.55,38.64,38.26,38.26,37.35,476100
"Jan 28, 2020",37.60,38.19,37.53,38.13,37.22,747000
"Jan 27, 2020",37.70,37.98,37.61,37.77,36.87,692300
"Jan 24, 2020",38.80,38.80,38.38,38.56,37.64,822200
"Jan 23, 2020",38.23,38.41,38.00,38.39,37.48,1058600
"Jan 22, 2020",38.44,38.49,38.32,38.39,37.48,584300
"Jan 21, 2020",38.54,38.60,38.37,38.42,37.51,617500
"Jan 17, 2020",38.77,38.89,38.63,38.82,37.90,878800
"Jan 16, 2020",38.45,38.88,38.44,38.88,37.96,778100
"Jan 15, 2020",38.61,38.84,38.59,38.77,37.85,1309000
"Jan 14, 2020",39.24,39.41,39.17,39.21,38.28,588500
"Jan 13, 2020",39.22,39.64,39.17,39.62,38.68,649300
"Jan 10, 2020",39.13,39.24,39.02,39.15,38.22,715500
"Jan 09, 2020",39.49,39.65,39.40,39.61,38.67,680800
"Jan 08, 2020",39.36,39.83,39.35,39.69,38.75,649800
"Jan 07, 2020",39.67,39.85,39.64,39.73,38.79,345500
"Jan 06, 2020",39.65,39.92,39.63,39.91,38.96,289000
"Jan 03, 2020",39.81,40.10,39.78,39.84,38.89,488000
"Jan 02, 2020",40.87,40.88,40.58,40.84,39.87,490700
"Dec 31, 2019",39.87,40.34,39.87,40.33,39.37,251600
"Dec 30, 2019",40.50,40.52,39.97,39.99,39.04,355200
"Dec 27, 2019",40.48,40.58,40.34,40.36,39.40,216600
"Dec 26, 2019",39.89,40.26,39.89,40.26,39.30,142500
"Dec 24, 2019",39.85,39.95,39.73,39.91,38.96,110300
"Dec 23, 2019",39.85,39.93,39.70,39.86,38.91,368500
"Dec 20, 2019",39.78,39.86,39.68,39.69,38.75,383500
"Dec 19, 2019",39.62,39.67,39.36,39.40,38.46,341700
"Dec 18, 2019",39.92,39.92,39.68,39.82,38.87,316400
"Dec 17, 2019",39.93,40.03,39.55,39.66,38.72,802800
"Dec 16, 2019",40.25,40.44,40.11,40.15,39.20,496900
"Dec 13, 2019",40.00,40.38,39.80,39.96,39.01,583700
"Dec 12, 2019",39.32,39.68,39.29,39.53,38.59,725300
"Dec 11, 2019",38.71,39.22,38.68,39.19,38.26,394400
"Dec 10, 2019",38.70,38.84,38.52,38.77,37.85,581000
"Dec 09, 2019",38.80,38.82,38.59,38.76,37.84,637700
"Dec 06, 2019",38.86,38.90,38.70,38.74,37.82,423000
"Dec 05, 2019",38.42,38.60,38.31,38.58,37.66,721200
"Dec 04, 2019",38.26,38.48,38.19,38.38,37.47,654400
"Dec 03, 2019",37.47,38.03,37.46,38.02,37.12,1110300
"Dec 02, 2019",38.20,38.24,37.94,38.19,37.28,773300
"Nov 29, 2019",38.08,38.39,38.08,38.30,37.39,405000
"Nov 27, 2019",39.04,39.04,38.70,38.97,38.04,474000
"Nov 26, 2019",38.43,38.74,38.34,38.65,37.73,683200
"Nov 25, 2019",37.53,37.71,37.48,37.62,36.73,425400
"Nov 22, 2019",37.31,37.40,37.16,37.36,36.47,468500
"Nov 21, 2019",36.86,37.10,36.71,36.99,36.11,464400
"Nov 20, 2019",36.75,37.17,36.75,36.92,36.04,565900
"Nov 19, 2019",37.58,37.59,37.18,37.42,36.53,660100
"Nov 18, 2019",37.33,37.46,37.30,37.40,36.51,355500
"Nov 15, 2019",37.13,37.35,37.13,37.31,36.42,462700
"Nov 14, 2019",36.85,37.19,36.82,37.16,36.28,524800
"Nov 13, 2019",37.16,37.28,36.99,37.25,36.36,531900
"Nov 12, 2019",36.94,36.98,36.77,36.79,35.92,784800
*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.
