Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 02, 2020",79.60,79.60,79.60,79.60,79.60,150
"Apr 01, 2020",74.53,79.80,73.77,73.77,73.77,869
"Mar 31, 2020",79.75,79.75,79.75,79.75,79.75,-
"Mar 30, 2020",73.84,79.75,73.84,79.75,79.75,998
"Mar 27, 2020",78.00,78.00,78.00,78.00,78.00,-
"Mar 26, 2020",78.00,78.00,78.00,78.00,78.00,589
"Mar 25, 2020",80.00,80.00,73.69,78.47,78.47,650
"Mar 24, 2020",79.61,79.61,79.61,79.61,79.61,-
"Mar 23, 2020",79.61,79.61,79.61,79.61,79.61,-
"Mar 20, 2020",79.61,79.61,79.61,79.61,79.61,1031
"Mar 19, 2020",74.76,79.60,74.75,79.50,79.50,1400
"Mar 18, 2020",75.00,76.00,75.00,76.00,76.00,748
"Mar 17, 2020",74.99,77.98,74.99,76.80,76.80,2893
"Mar 16, 2020",75.00,75.00,75.00,75.00,75.00,220
"Mar 13, 2020",81.00,83.00,81.00,82.15,82.15,657
"Mar 12, 2020",83.00,83.00,83.00,83.00,83.00,311
"Mar 11, 2020",84.00,84.00,83.01,83.01,83.01,807
"Mar 10, 2020",84.00,84.00,84.00,84.00,84.00,564
"Mar 09, 2020",84.00,84.00,83.01,83.51,83.51,1400
"Mar 06, 2020",84.00,84.00,84.00,84.00,84.00,-
"Mar 05, 2020",84.00,84.00,84.00,84.00,84.00,385
"Mar 04, 2020",85.25,85.50,85.25,85.50,85.50,649
"Mar 03, 2020",84.50,84.50,84.50,84.50,84.50,120
"Mar 02, 2020",85.00,85.00,85.00,85.00,85.00,290
"Feb 28, 2020",83.89,84.00,83.52,84.00,84.00,699
"Feb 27, 2020",83.71,84.52,83.70,84.52,84.52,1377
"Feb 26, 2020",84.50,86.25,84.50,85.90,85.90,823
"Feb 25, 2020",85.56,87.50,85.50,85.51,85.51,2206
"Feb 24, 2020",86.39,86.39,86.39,86.39,86.39,105
"Feb 21, 2020",88.07,88.07,88.07,88.07,88.07,-
"Feb 20, 2020",88.07,88.07,88.07,88.07,88.07,-
"Feb 19, 2020",88.07,88.07,88.07,88.07,88.07,-
"Feb 18, 2020",88.41,88.50,88.07,88.07,88.07,620
"Feb 14, 2020",86.23,86.23,86.23,86.23,86.23,-
"Feb 13, 2020",85.80,86.23,85.80,86.23,86.23,212
"Feb 12, 2020",87.00,87.00,87.00,87.00,87.00,-
"Feb 11, 2020",87.50,87.50,87.00,87.00,87.00,268
"Feb 10, 2020",87.00,87.00,87.00,87.00,87.00,250
"Feb 07, 2020",85.00,85.32,85.00,85.32,85.32,606
"Feb 06, 2020",86.25,86.25,86.25,86.25,86.25,465
"Feb 05, 2020",86.08,86.25,86.08,86.25,86.25,200
"Feb 04, 2020",86.45,86.45,86.45,86.45,86.45,-
"Feb 03, 2020",86.45,86.45,86.45,86.45,86.45,150
"Jan 31, 2020",86.50,86.50,86.50,86.50,86.50,211
"Jan 30, 2020",86.00,86.50,86.00,86.50,86.50,876
"Jan 29, 2020",86.50,86.50,86.50,86.50,86.50,-
"Jan 28, 2020",86.50,86.50,86.50,86.50,86.50,393
"Jan 27, 2020",86.50,86.50,86.50,86.50,86.50,459
"Jan 24, 2020",85.23,85.23,85.23,85.23,85.23,-
"Jan 23, 2020",85.23,85.23,85.23,85.23,85.23,490
"Jan 22, 2020",87.35,87.35,87.00,87.00,87.00,570
"Jan 21, 2020",87.32,89.49,87.00,89.48,89.48,500
"Jan 17, 2020",88.25,89.12,88.00,89.12,89.12,1215
"Jan 16, 2020",87.32,87.32,87.32,87.32,87.32,-
"Jan 15, 2020",87.32,87.32,87.32,87.32,87.32,-
"Jan 14, 2020",87.32,87.32,87.32,87.32,87.32,-
"Jan 13, 2020",87.32,87.32,87.32,87.32,87.32,217
"Jan 10, 2020",87.35,87.35,87.33,87.34,87.34,501
"Jan 09, 2020",88.67,88.67,88.67,88.67,88.67,-
"Jan 09, 2020",0.875 Dividend,0.875 Dividend,0.875 Dividend,0.875 Dividend,0.875 Dividend,0.875 Dividend
"Jan 08, 2020",88.23,88.67,88.23,88.67,87.80,206
"Jan 07, 2020",88.00,88.00,88.00,88.00,87.13,-
"Jan 06, 2020",88.00,88.00,88.00,88.00,87.13,110
"Jan 03, 2020",88.36,88.36,88.36,88.36,87.49,602
"Jan 02, 2020",88.00,88.90,88.00,88.64,87.77,1824
"Dec 31, 2019",87.50,87.50,87.50,87.50,86.64,-
"Dec 30, 2019",86.76,87.50,86.75,87.50,86.64,942
"Dec 27, 2019",86.93,87.30,86.60,87.30,86.44,1426
"Dec 26, 2019",86.75,86.75,86.75,86.75,85.89,120
"Dec 24, 2019",85.74,86.97,85.58,86.19,85.34,1075
"Dec 23, 2019",87.09,87.09,86.15,86.35,85.50,820
"Dec 20, 2019",85.14,85.14,85.14,85.14,84.30,-
"Dec 19, 2019",85.14,85.14,85.14,85.14,84.30,270
"Dec 18, 2019",85.08,85.08,85.08,85.08,84.24,-
"Dec 17, 2019",85.08,85.08,85.08,85.08,84.24,-
"Dec 16, 2019",85.00,85.08,85.00,85.08,84.24,1531
