Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",90.25,91.51,90.25,91.51,91.51,602
"Apr 02, 2020",91.99,92.01,90.53,92.01,92.01,5514
"Apr 01, 2020",92.50,92.50,88.48,91.89,91.89,3109
"Mar 31, 2020",91.50,91.50,91.50,91.50,91.50,480
"Mar 30, 2020",93.28,93.28,93.28,93.28,93.28,-
"Mar 27, 2020",93.50,93.50,91.14,93.28,93.28,859
"Mar 26, 2020",96.39,96.39,96.39,96.39,96.39,-
"Mar 25, 2020",90.99,96.39,90.99,96.39,96.39,592
"Mar 24, 2020",81.92,89.00,81.92,85.00,85.00,856
"Mar 23, 2020",94.45,94.45,80.00,80.00,80.00,6640
"Mar 20, 2020",92.25,94.67,92.25,94.43,94.43,1182
"Mar 19, 2020",91.42,93.06,91.00,91.50,91.50,2236
"Mar 18, 2020",90.05,102.30,90.01,92.51,92.51,8067
"Mar 17, 2020",89.85,94.20,89.85,93.25,93.25,4683
"Mar 16, 2020",89.00,96.30,89.00,91.34,91.34,1638
"Mar 13, 2020",92.00,93.00,90.00,93.00,93.00,4636
"Mar 12, 2020",101.50,101.50,88.10,90.50,90.50,11799
"Mar 11, 2020",102.46,102.58,102.46,102.58,102.58,974
"Mar 10, 2020",103.50,103.50,102.30,102.47,102.47,2996
"Mar 09, 2020",102.11,105.14,102.11,102.50,102.50,6271
"Mar 06, 2020",103.50,103.50,101.47,102.98,102.98,2013
"Mar 05, 2020",103.80,103.80,103.80,103.80,103.80,216
"Mar 04, 2020",107.58,108.00,107.58,108.00,108.00,369
"Mar 03, 2020",103.83,109.88,102.86,109.37,109.37,2443
"Mar 02, 2020",104.98,105.42,104.90,105.42,105.42,1718
"Feb 28, 2020",102.50,104.98,101.15,104.98,104.98,1789
"Feb 27, 2020",102.80,104.49,102.51,102.51,102.51,2948
"Feb 26, 2020",105.00,106.75,103.57,105.70,105.70,1910
"Feb 25, 2020",109.06,109.13,104.23,104.23,104.23,3008
"Feb 24, 2020",109.50,109.50,109.50,109.50,109.50,-
"Feb 21, 2020",109.50,109.50,109.50,109.50,109.50,193
"Feb 20, 2020",109.50,109.50,109.43,109.45,109.45,1075
"Feb 19, 2020",109.30,109.30,108.43,108.50,108.50,1873
"Feb 18, 2020",109.31,109.70,109.30,109.30,109.30,973
"Feb 14, 2020",110.00,110.00,109.34,109.34,109.34,1078
"Feb 13, 2020",109.75,110.23,109.07,110.22,110.22,3111
"Feb 12, 2020",108.50,108.50,108.19,108.19,108.19,1865
"Feb 11, 2020",108.56,108.64,107.60,108.44,108.44,4750
"Feb 10, 2020",109.02,110.61,109.02,110.00,110.00,1048
"Feb 07, 2020",114.45,114.45,111.99,111.99,111.99,821
"Feb 06, 2020",114.57,114.57,114.57,114.57,114.57,177
"Feb 05, 2020",114.95,114.95,114.95,114.95,114.95,-
"Feb 04, 2020",114.95,114.95,114.95,114.95,114.95,-
"Feb 03, 2020",112.77,114.95,112.77,114.95,114.95,805
"Jan 31, 2020",112.09,112.09,109.49,109.49,109.49,705
"Jan 30, 2020",111.67,111.67,111.67,111.67,111.67,-
"Jan 29, 2020",111.67,111.67,111.67,111.67,111.67,-
"Jan 28, 2020",111.67,111.67,111.67,111.67,111.67,-
"Jan 27, 2020",112.16,112.16,111.67,111.67,111.67,285
"Jan 24, 2020",114.99,114.99,111.52,112.17,112.17,780
"Jan 23, 2020",113.10,113.10,113.10,113.10,113.10,-
"Jan 22, 2020",113.10,113.10,113.10,113.10,113.10,688
