Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",22.21,23.05,22.12,22.62,22.62,5961100
"Apr 02, 2020",22.85,23.43,21.82,22.24,22.24,6302000
"Apr 01, 2020",23.25,23.60,22.35,22.51,22.51,6706600
"Mar 31, 2020",24.23,24.57,23.35,23.50,23.50,4090400
"Mar 30, 2020",23.28,24.32,22.91,24.09,24.09,4469500
"Mar 27, 2020",23.11,24.81,22.67,23.21,23.21,4538800
"Mar 26, 2020",23.11,24.85,22.89,24.14,24.14,7085600
"Mar 25, 2020",22.75,25.14,22.14,23.40,23.40,5823500
"Mar 24, 2020",23.01,23.97,21.50,22.33,22.33,8305600
"Mar 23, 2020",22.22,23.53,21.42,21.92,21.92,8693500
"Mar 20, 2020",23.20,23.24,21.11,22.53,22.53,10607100
"Mar 19, 2020",21.18,24.80,20.54,23.26,23.26,5291400
"Mar 18, 2020",21.08,23.40,20.38,21.57,21.57,7526200
"Mar 17, 2020",21.23,24.14,20.72,22.67,22.67,7555300
"Mar 16, 2020",21.51,23.34,20.57,20.74,20.74,6308300
"Mar 13, 2020",23.83,25.00,21.55,24.82,24.82,7214500
"Mar 12, 2020",22.87,24.95,22.26,22.34,22.34,6448100
"Mar 11, 2020",25.01,25.66,24.45,25.00,25.00,6382300
"Mar 10, 2020",24.40,25.99,23.88,25.91,25.91,6696200
"Mar 09, 2020",23.28,24.32,22.87,23.07,23.07,7758500
"Mar 06, 2020",26.52,26.58,24.92,25.30,25.30,5843700
"Mar 05, 2020",28.00,28.42,27.16,27.31,27.31,3974300
"Mar 04, 2020",28.19,28.92,27.81,28.90,28.90,6341400
"Mar 03, 2020",28.48,29.26,27.49,27.92,27.92,8503900
"Mar 02, 2020",27.27,28.26,26.86,28.24,28.24,7440100
"Mar 02, 2020",0.13 Dividend,0.13 Dividend,0.13 Dividend,0.13 Dividend,0.13 Dividend,0.13 Dividend
"Feb 28, 2020",26.53,27.20,25.86,27.20,27.07,9732700
"Feb 27, 2020",28.12,28.67,27.24,27.29,27.16,4702500
"Feb 26, 2020",28.41,29.33,28.32,28.50,28.36,4157900
"Feb 25, 2020",30.62,30.82,28.23,28.38,28.24,5045600
"Feb 24, 2020",30.47,30.89,30.27,30.66,30.51,3441300
"Feb 21, 2020",31.35,31.67,31.18,31.22,31.07,3955200
"Feb 20, 2020",31.37,32.08,31.32,31.57,31.42,2460300
"Feb 19, 2020",31.40,31.80,31.22,31.52,31.37,3042600
"Feb 18, 2020",30.68,31.48,30.61,31.40,31.25,3524700
"Feb 14, 2020",30.66,30.93,30.58,30.71,30.56,3895500
"Feb 13, 2020",30.68,31.04,30.45,30.60,30.45,4543000
"Feb 12, 2020",30.74,31.09,30.65,30.94,30.79,3023400
"Feb 11, 2020",30.66,31.35,30.41,30.51,30.36,3705400
"Feb 10, 2020",30.74,31.01,30.47,30.60,30.45,3416600
"Feb 07, 2020",31.41,31.43,30.80,31.04,30.89,3716100
"Feb 06, 2020",32.00,32.07,31.30,31.59,31.44,6383600
"Feb 05, 2020",30.32,31.71,29.69,31.71,31.56,5745300
"Feb 04, 2020",30.61,31.11,30.05,30.95,30.80,5853400
"Feb 03, 2020",29.06,30.26,28.82,30.12,29.98,9448600
"Jan 31, 2020",28.78,29.15,28.46,28.92,28.78,6788300
"Jan 30, 2020",27.94,29.45,27.60,29.24,29.10,9762200
"Jan 29, 2020",27.55,27.99,27.51,27.80,27.67,3499600
"Jan 28, 2020",27.30,27.58,27.00,27.56,27.43,5618800
"Jan 27, 2020",27.23,27.53,26.97,27.16,27.03,4195000
"Jan 24, 2020",28.31,28.35,27.71,27.95,27.82,4996200
"Jan 23, 2020",28.01,28.51,27.51,28.45,28.31,4139400
"Jan 22, 2020",27.82,28.25,27.50,28.16,28.03,8672900
