Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",32.49,33.47,31.52,31.87,31.87,5355300
"Apr 02, 2020",32.48,34.35,31.89,32.51,32.51,6649100
"Apr 01, 2020",32.39,33.52,32.25,32.52,32.52,7712600
"Mar 31, 2020",35.17,36.63,33.90,34.10,34.10,8274600
"Mar 30, 2020",33.29,33.80,32.10,33.62,33.62,6377800
"Mar 27, 2020",34.13,34.80,33.14,33.83,33.83,5997000
"Mar 26, 2020",33.53,36.13,32.51,35.95,35.95,8622700
"Mar 25, 2020",32.75,35.44,31.63,33.23,33.23,7815300
"Mar 24, 2020",30.36,32.86,30.00,32.46,32.46,10167900
"Mar 23, 2020",30.35,31.08,28.33,28.46,28.46,7299600
"Mar 20, 2020",32.53,33.99,30.28,31.47,31.47,9584800
"Mar 19, 2020",31.74,33.63,30.12,31.66,31.66,6826300
"Mar 18, 2020",33.45,34.75,29.06,32.06,32.06,8937100
"Mar 17, 2020",35.08,37.29,33.27,36.01,36.01,8886000
"Mar 16, 2020",32.90,35.97,31.63,34.25,34.25,9270100
"Mar 13, 2020",35.32,37.17,34.18,37.10,37.10,10537300
"Mar 12, 2020",34.30,35.52,32.93,33.28,33.28,12437100
"Mar 11, 2020",36.63,37.61,36.07,36.66,36.66,10566100
"Mar 10, 2020",37.01,38.24,35.97,38.12,38.12,9931300
"Mar 09, 2020",36.97,37.93,35.01,35.15,35.15,16269500
"Mar 06, 2020",41.04,42.12,39.91,40.50,40.50,14571900
"Mar 05, 2020",42.63,43.75,42.27,42.42,42.42,8795200
"Mar 04, 2020",44.60,44.60,42.47,44.16,44.16,15079800
"Mar 03, 2020",44.92,46.26,43.47,43.64,43.64,10211000
"Mar 02, 2020",43.06,44.99,42.51,44.95,44.95,9803300
"Feb 28, 2020",43.12,43.70,42.06,42.90,42.90,13572100
"Feb 27, 2020",45.82,47.17,45.03,45.07,45.07,8843600
"Feb 27, 2020",0.3 Dividend,0.3 Dividend,0.3 Dividend,0.3 Dividend,0.3 Dividend,0.3 Dividend
"Feb 26, 2020",48.25,48.29,46.64,47.26,46.96,9556100
"Feb 25, 2020",50.50,50.50,47.02,47.47,47.17,10657600
"Feb 24, 2020",50.60,50.99,49.60,50.45,50.13,7087800
"Feb 21, 2020",52.22,52.62,52.02,52.43,52.10,4033500
"Feb 20, 2020",53.25,53.65,52.26,52.55,52.22,4971900
"Feb 19, 2020",53.65,53.94,53.29,53.50,53.16,6395500
"Feb 18, 2020",53.42,54.05,52.57,53.44,53.10,8327800
"Feb 14, 2020",53.35,53.64,52.63,53.10,52.76,5914400
"Feb 13, 2020",53.16,53.65,52.73,53.27,52.93,4241600
"Feb 12, 2020",52.91,53.87,52.88,53.55,53.21,3871900
"Feb 11, 2020",52.10,53.60,52.08,52.69,52.36,5609000
"Feb 10, 2020",52.31,52.70,51.49,51.78,51.45,5506000
"Feb 07, 2020",53.27,53.34,52.13,52.55,52.22,5476000
"Feb 06, 2020",54.50,54.50,53.18,53.81,53.47,7749800
"Feb 05, 2020",53.27,54.48,52.76,54.08,53.74,9275800
"Feb 04, 2020",52.43,53.06,51.86,52.70,52.37,9403500
"Feb 03, 2020",51.46,52.08,50.80,51.81,51.48,11306100
"Jan 31, 2020",52.20,52.33,50.94,51.18,50.86,11620900
"Jan 30, 2020",55.24,55.31,51.72,52.72,52.39,22861000
"Jan 29, 2020",58.16,58.89,57.57,57.69,57.32,4828700
"Jan 28, 2020",57.84,58.41,57.57,57.94,57.57,4919300
"Jan 27, 2020",58.21,58.49,57.37,57.39,57.03,6733900
"Jan 24, 2020",60.54,60.59,59.29,59.39,59.01,4405300
"Jan 23, 2020",60.76,60.92,60.01,60.54,60.16,5122900
"Jan 22, 2020",61.72,61.80,60.47,60.78,60.39,5447400
"Jan 21, 2020",61.42,61.91,61.21,61.78,61.39,6843100
"Jan 17, 2020",61.85,62.03,61.21,61.56,61.17,7188300
"Jan 16, 2020",61.41,62.51,61.13,61.70,61.31,8621700
"Jan 15, 2020",60.17,62.09,60.02,61.14,60.75,5748500
"Jan 14, 2020",60.55,60.94,59.67,60.17,59.79,7003200
"Jan 13, 2020",59.54,60.42,59.31,60.40,60.02,8087700
"Jan 10, 2020",61.11,61.24,59.55,59.71,59.33,6599300
"Jan 09, 2020",61.46,61.79,60.87,60.95,60.56,5572300
"Jan 08, 2020",61.38,61.80,60.86,61.50,61.11,6361700
"Jan 07, 2020",61.92,61.92,60.36,60.77,60.38,9185300
"Jan 06, 2020",61.88,62.47,61.70,61.72,61.33,5619000
