Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",27.78,28.57,27.42,27.97,27.97,8004000
"Apr 02, 2020",27.11,29.84,26.92,28.03,28.03,10680300
"Apr 01, 2020",27.84,28.27,26.94,27.04,27.04,10339900
"Mar 31, 2020",28.55,30.08,28.45,29.24,29.24,7599900
"Mar 30, 2020",28.31,29.39,27.81,28.65,28.65,6817000
"Mar 27, 2020",28.00,29.26,26.92,28.56,28.56,9101400
"Mar 26, 2020",30.28,31.30,28.95,29.68,29.68,14298600
"Mar 25, 2020",29.18,32.42,28.60,30.38,30.38,10539200
"Mar 24, 2020",28.66,29.96,26.90,28.47,28.47,12333600
"Mar 23, 2020",27.14,28.43,26.01,26.58,26.58,11703100
"Mar 20, 2020",28.59,29.69,26.59,27.44,27.44,12649100
"Mar 19, 2020",26.28,31.35,25.93,28.12,28.12,13893400
"Mar 18, 2020",24.84,28.29,24.51,26.44,26.44,16955900
"Mar 17, 2020",25.67,27.60,22.74,26.60,26.60,19873300
"Mar 16, 2020",23.10,25.43,21.95,22.00,22.00,12345400
"Mar 13, 2020",27.93,28.01,22.58,25.69,25.69,17350800
"Mar 12, 2020",25.45,26.39,22.39,23.67,23.67,18163300
"Mar 11, 2020",30.19,30.33,27.85,27.99,27.99,12444100
"Mar 10, 2020",32.51,33.33,29.32,31.40,31.40,12975400
"Mar 09, 2020",34.75,34.94,30.43,30.53,30.53,15081500
"Mar 06, 2020",38.72,39.69,38.31,38.97,38.97,6928400
"Mar 05, 2020",40.03,40.63,39.66,40.10,40.10,5447400
"Mar 04, 2020",41.45,41.97,40.21,41.91,41.91,4967000
"Mar 03, 2020",41.35,42.74,39.74,40.56,40.56,6765300
"Mar 02, 2020",41.05,41.42,39.78,41.42,41.42,7706700
"Feb 28, 2020",38.12,40.49,38.05,40.41,40.41,10281600
"Feb 27, 2020",41.33,41.46,39.50,39.55,39.55,10009300
"Feb 27, 2020",0.7 Dividend,0.7 Dividend,0.7 Dividend,0.7 Dividend,0.7 Dividend,0.7 Dividend
"Feb 26, 2020",44.45,44.88,43.02,43.05,42.35,6470700
"Feb 25, 2020",46.50,46.53,43.58,43.95,43.24,5529300
"Feb 24, 2020",46.61,47.04,45.80,46.24,45.49,5075900
"Feb 21, 2020",48.58,48.77,48.08,48.30,47.51,3972800
"Feb 20, 2020",47.52,48.81,47.44,48.76,47.97,4154200
"Feb 19, 2020",47.82,48.29,47.41,47.56,46.79,5644900
"Feb 18, 2020",48.19,48.52,47.23,47.74,46.96,3594300
"Feb 14, 2020",48.51,48.94,48.38,48.63,47.84,3207000
"Feb 13, 2020",48.90,48.99,48.02,48.30,47.51,3302600
"Feb 12, 2020",49.69,50.37,48.99,49.38,48.58,2964200
"Feb 11, 2020",48.54,50.01,48.50,48.79,48.00,3705400
"Feb 10, 2020",47.80,48.72,47.80,48.19,47.41,2488300
"Feb 07, 2020",48.54,48.54,47.45,48.03,47.25,3802100
"Feb 06, 2020",49.61,49.66,48.56,49.20,48.40,5985200
"Feb 05, 2020",48.88,49.74,48.52,49.61,48.80,5403200
"Feb 04, 2020",47.65,48.38,47.44,48.05,47.27,5287000
"Feb 03, 2020",46.31,46.97,45.73,46.74,45.98,6366300
"Jan 31, 2020",47.70,47.87,45.92,46.07,45.32,7532200
"Jan 30, 2020",48.31,48.98,47.66,48.47,47.68,5644800
"Jan 29, 2020",48.98,49.95,48.60,49.67,48.86,6828000
"Jan 28, 2020",47.40,47.72,47.02,47.16,46.39,5813800
"Jan 27, 2020",47.31,47.58,46.64,47.18,46.41,4827000
"Jan 24, 2020",49.88,50.27,48.04,48.49,47.70,5919300
"Jan 23, 2020",50.22,50.75,49.15,50.25,49.43,5797600
"Jan 22, 2020",52.73,52.80,50.68,50.87,50.04,5149600
"Jan 21, 2020",52.98,53.15,52.20,52.60,51.74,4156000
"Jan 17, 2020",52.53,53.36,52.42,53.34,52.47,3897500
"Jan 16, 2020",52.58,52.87,52.17,52.48,51.63,3765600
"Jan 15, 2020",52.19,52.65,51.70,52.27,51.42,2235400
"Jan 14, 2020",52.19,52.97,51.95,52.24,51.39,3689800
"Jan 13, 2020",51.50,52.40,51.47,52.35,51.50,2665500
"Jan 10, 2020",52.86,52.87,51.40,51.50,50.66,3277300
"Jan 09, 2020",52.75,53.07,51.81,52.19,51.34,2667800
