Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",151.30,154.72,146.57,147.26,147.26,1635000
"Apr 02, 2020",147.21,152.97,145.77,152.16,152.16,2486500
"Apr 01, 2020",150.42,151.22,145.31,146.70,146.70,2659600
"Mar 31, 2020",160.14,160.70,155.38,155.83,155.83,2442800
"Mar 30, 2020",160.02,162.58,157.26,161.40,161.40,1773800
"Mar 27, 2020",154.97,162.20,153.42,157.48,157.48,1800600
"Mar 26, 2020",154.69,163.21,153.02,161.69,161.69,2426000
"Mar 25, 2020",151.02,157.01,148.21,151.78,151.78,2236400
"Mar 24, 2020",135.41,154.46,132.03,152.97,152.97,3078900
"Mar 23, 2020",141.32,141.32,124.60,125.22,125.22,3445300
"Mar 20, 2020",159.42,159.43,140.57,141.88,141.88,2746200
"Mar 19, 2020",155.57,164.45,151.48,159.58,159.58,2084600
"Mar 18, 2020",164.98,170.90,143.61,156.53,156.53,2395700
"Mar 17, 2020",167.59,176.70,163.64,169.50,169.50,2791100
"Mar 16, 2020",163.30,173.29,157.41,166.12,166.12,2419400
"Mar 16, 2020",0.47 Dividend,0.47 Dividend,0.47 Dividend,0.47 Dividend,0.47 Dividend,0.47 Dividend
"Mar 13, 2020",173.85,180.86,164.45,180.07,179.60,1908600
"Mar 12, 2020",174.63,178.39,165.00,165.06,164.63,2583500
"Mar 11, 2020",185.36,187.64,182.30,186.58,186.09,2145400
"Mar 10, 2020",188.96,191.73,180.91,190.85,190.35,2935700
"Mar 09, 2020",182.75,189.97,181.25,183.84,183.36,2081600
"Mar 06, 2020",193.91,195.75,188.88,194.41,193.90,1864400
"Mar 05, 2020",199.29,202.74,197.55,198.91,198.39,1599100
"Mar 04, 2020",197.91,204.53,195.40,204.34,203.81,1897700
"Mar 03, 2020",192.20,197.04,191.00,193.92,193.41,3065700
"Mar 02, 2020",182.70,191.28,182.09,191.22,190.72,1778700
"Feb 28, 2020",178.34,180.61,174.01,180.45,179.98,3424800
"Feb 27, 2020",191.38,192.71,183.43,183.48,183.00,2116600
"Feb 26, 2020",195.50,197.64,193.84,194.43,193.92,1716300
"Feb 25, 2020",202.00,203.41,193.72,194.78,194.27,1285800
"Feb 24, 2020",203.84,205.51,202.26,202.52,201.99,1307000
"Feb 21, 2020",205.81,208.83,205.59,207.50,206.96,1053800
"Feb 20, 2020",210.00,211.24,205.02,206.31,205.77,1200200
"Feb 19, 2020",208.62,210.71,208.22,210.31,209.76,1200800
"Feb 18, 2020",207.18,209.67,204.71,207.68,207.14,1355800
"Feb 14, 2020",207.52,208.13,206.49,207.31,206.77,1377300
"Feb 13, 2020",206.36,208.65,205.31,207.06,206.52,1088300
"Feb 12, 2020",205.64,207.50,204.81,206.82,206.28,1100000
"Feb 11, 2020",204.80,205.88,204.52,204.62,204.09,901100
"Feb 10, 2020",204.99,205.72,204.33,204.94,204.41,877500
"Feb 07, 2020",206.98,207.50,205.11,205.64,205.10,832200
"Feb 06, 2020",206.50,207.17,205.30,207.11,206.57,1235600
"Feb 05, 2020",204.82,206.50,202.49,206.30,205.76,1443900
"Feb 04, 2020",202.32,204.58,201.74,203.45,202.92,1388800
"Feb 03, 2020",197.06,201.82,196.20,201.53,201.00,1612700
"Jan 31, 2020",198.27,199.25,195.57,196.11,195.60,1095000
