Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",107.83,111.64,106.51,107.95,107.95,1010900
"Apr 02, 2020",105.00,109.28,103.75,107.89,107.89,1181100
"Apr 01, 2020",99.64,103.35,99.05,102.73,102.73,830700
"Mar 31, 2020",97.02,102.13,95.88,99.52,99.52,957200
"Mar 30, 2020",101.58,104.20,95.33,97.99,97.99,1489600
"Mar 27, 2020",108.09,110.00,99.52,100.60,100.60,1359800
"Mar 26, 2020",112.00,114.71,104.40,109.95,109.95,1381400
"Mar 25, 2020",111.91,114.75,108.31,110.82,110.82,1734400
"Mar 24, 2020",109.98,112.85,105.02,111.13,111.13,1529300
"Mar 23, 2020",97.23,104.89,95.64,100.06,100.06,1492800
"Mar 20, 2020",102.47,104.75,93.21,93.88,93.88,1507600
"Mar 19, 2020",101.85,107.57,93.01,101.36,101.36,1655400
"Mar 18, 2020",102.43,108.20,97.47,104.03,104.03,2251200
"Mar 17, 2020",95.82,113.65,95.82,105.85,105.85,2439200
"Mar 16, 2020",77.75,99.73,77.18,97.15,97.15,2349800
"Mar 13, 2020",97.53,98.98,86.16,87.98,87.98,2544600
"Mar 12, 2020",93.80,101.90,82.09,95.65,95.65,2779200
"Mar 11, 2020",105.88,109.38,101.52,102.16,102.16,1494600
"Mar 11, 2020",0.25 Dividend,0.25 Dividend,0.25 Dividend,0.25 Dividend,0.25 Dividend,0.25 Dividend
"Mar 10, 2020",107.81,112.27,101.83,108.08,107.83,2059200
"Mar 09, 2020",115.26,115.96,107.05,107.67,107.42,2139600
"Mar 06, 2020",121.02,122.31,115.77,119.08,118.80,1158700
"Mar 05, 2020",118.52,120.78,116.63,120.61,120.33,834600
"Mar 04, 2020",116.16,117.15,113.61,117.03,116.76,653300
"Mar 03, 2020",111.18,117.77,109.75,114.55,114.29,1347900
"Mar 02, 2020",108.50,110.20,107.19,109.94,109.69,1032800
"Feb 28, 2020",105.50,110.60,104.00,107.50,107.25,2627800
"Feb 27, 2020",119.47,119.65,112.61,112.66,112.40,1522600
"Feb 26, 2020",117.39,119.62,117.17,118.08,117.81,710800
"Feb 25, 2020",119.25,120.78,117.80,117.91,117.64,1025100
"Feb 24, 2020",122.65,122.65,119.31,120.24,119.96,1144000
"Feb 21, 2020",118.87,119.39,117.53,119.18,118.90,635000
"Feb 20, 2020",117.37,117.64,114.75,116.16,115.89,604500
"Feb 19, 2020",117.50,117.59,116.24,117.30,117.03,516700
"Feb 18, 2020",116.38,117.00,115.73,116.97,116.70,597400
"Feb 14, 2020",114.50,116.07,114.26,115.60,115.33,442100
"Feb 13, 2020",114.36,115.25,113.61,114.61,114.34,479800
"Feb 12, 2020",114.23,114.92,113.76,113.93,113.67,485000
"Feb 11, 2020",113.72,114.68,113.29,114.63,114.36,422200
"Feb 10, 2020",113.36,114.17,113.00,113.79,113.53,406400
"Feb 07, 2020",114.34,114.62,112.75,112.95,112.69,393200
"Feb 06, 2020",112.41,114.31,111.88,114.16,113.90,441500
"Feb 05, 2020",111.87,112.14,110.71,111.88,111.62,491700
"Feb 04, 2020",112.18,112.60,110.21,112.17,111.91,715200
"Feb 03, 2020",113.20,113.73,112.19,112.97,112.71,936900
"Jan 31, 2020",113.20,114.50,112.82,113.64,113.38,1079000
"Jan 30, 2020",112.82,113.29,111.90,113.18,112.92,1022800
"Jan 29, 2020",110.25,112.28,110.00,112.14,111.88,603700
"Jan 28, 2020",109.57,110.99,109.01,110.58,110.32,715900
"Jan 27, 2020",111.01,112.14,109.50,110.00,109.75,714500
"Jan 24, 2020",108.70,110.46,108.48,110.31,110.05,410600
"Jan 23, 2020",107.77,109.11,107.30,108.71,108.46,508400
"Jan 22, 2020",109.03,109.03,107.83,108.08,107.83,477600
"Jan 21, 2020",105.18,108.71,105.14,108.71,108.46,753900
"Jan 17, 2020",106.39,106.40,104.84,105.63,105.39,697500
"Jan 16, 2020",104.66,105.38,103.91,105.38,105.14,576800
"Jan 15, 2020",103.51,105.18,102.93,105.15,104.91,586700
"Jan 14, 2020",101.28,102.67,100.80,102.50,102.26,501100
"Jan 13, 2020",102.01,102.34,101.32,101.36,101.13,311200
"Jan 10, 2020",101.25,102.72,101.12,102.41,102.17,417600
"Jan 09, 2020",100.00,101.24,99.66,100.81,100.58,517600
"Jan 08, 2020",103.93,104.16,100.65,100.83,100.60,598600
"Jan 07, 2020",103.61,104.39,103.22,104.08,103.84,434300
"Jan 06, 2020",104.83,105.24,103.52,103.88,103.64,519300
"Jan 03, 2020",105.64,105.87,102.78,103.23,102.99,767700
"Jan 02, 2020",104.00,104.23,102.75,103.45,103.21,421200
"Dec 31, 2019",103.85,104.07,102.73,103.30,103.06,346900
"Dec 30, 2019",101.94,103.38,101.73,103.30,103.06,481700
"Dec 27, 2019",103.10,103.20,101.69,101.90,101.66,343200
"Dec 26, 2019",102.48,103.87,101.84,102.90,102.66,519400
"Dec 24, 2019",100.00,101.65,99.90,101.36,101.13,362400
"Dec 23, 2019",96.79,99.61,96.38,99.61,99.38,647200
"Dec 20, 2019",97.67,98.19,96.44,96.44,96.22,631400
"Dec 19, 2019",97.37,98.05,96.96,97.61,97.38,531800
"Dec 18, 2019",96.94,98.07,96.85,97.26,97.04,407500
"Dec 17, 2019",98.10,98.10,96.70,96.85,96.63,515300
"Dec 16, 2019",99.00,99.01,97.66,97.88,97.65,380200
"Dec 13, 2019",97.28,98.83,97.12,98.50,98.27,589400
"Dec 12, 2019",99.09,99.59,97.27,97.61,97.38,606200
"Dec 11, 2019",98.81,98.91,97.68,98.53,98.30,492900
"Dec 10, 2019",97.67,98.79,97.18,98.76,98.53,475500
"Dec 09, 2019",97.57,98.36,97.06,97.08,96.86,479300
"Dec 06, 2019",96.75,98.33,96.26,97.06,96.84,602800
"Dec 05, 2019",97.45,99.09,97.45,98.07,97.84,806300
"Dec 04, 2019",99.04,99.39,97.15,97.47,97.24,575500
"Dec 04, 2019",0.25 Dividend,0.25 Dividend,0.25 Dividend,0.25 Dividend,0.25 Dividend,0.25 Dividend
"Dec 03, 2019",99.58,101.20,98.32,98.96,98.48,967900
"Dec 02, 2019",98.29,99.35,97.89,98.86,98.38,545200
"Nov 29, 2019",97.80,98.74,97.80,98.32,97.84,245600
"Nov 27, 2019",97.12,98.08,96.93,97.66,97.19,366300
"Nov 26, 2019",97.00,97.86,96.47,97.72,97.25,480700
"Nov 25, 2019",96.41,98.02,96.23,96.92,96.45,400900
"Nov 22, 2019",97.72,97.74,96.49,96.94,96.47,317200
"Nov 21, 2019",98.19,98.74,97.28,97.51,97.04,382200
"Nov 20, 2019",98.50,99.16,97.54,98.41,97.93,473500
"Nov 19, 2019",98.88,100.00,98.55,98.64,98.16,656500
"Nov 18, 2019",98.88,99.60,98.55,99.02,98.54,464600
"Nov 15, 2019",98.64,99.43,98.50,99.04,98.56,598900
"Nov 14, 2019",98.85,99.62,98.47,98.90,98.42,439600
"Nov 13, 2019",98.65,99.21,97.87,98.16,97.69,683600
*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.
