Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",19.74,20.37,19.74,19.95,19.95,14219500
"Apr 02, 2020",19.10,20.63,18.97,19.85,19.85,24917600
"Apr 01, 2020",18.41,19.18,18.26,18.87,18.87,18073100
"Mar 31, 2020",18.86,19.17,18.27,18.32,18.32,19294400
"Mar 30, 2020",19.20,19.63,18.78,19.29,19.29,22511900
"Mar 27, 2020",19.10,19.78,18.96,19.24,19.24,22450000
"Mar 26, 2020",19.54,20.18,18.71,19.58,19.58,24263100
"Mar 25, 2020",19.18,19.73,18.42,19.11,19.11,30961900
"Mar 24, 2020",18.78,19.77,18.13,19.50,19.50,34579500
"Mar 23, 2020",16.40,17.87,16.37,16.93,16.93,33801100
"Mar 20, 2020",16.66,17.00,15.54,15.88,15.88,20170900
"Mar 19, 2020",15.53,17.84,14.00,16.08,16.08,22990000
"Mar 18, 2020",17.08,17.98,15.45,15.88,15.88,30257400
"Mar 17, 2020",16.21,18.59,16.13,17.71,17.71,32058700
"Mar 16, 2020",13.21,17.15,12.65,16.33,16.33,36620600
"Mar 13, 2020",17.45,17.61,15.06,15.67,15.67,31110800
"Mar 12, 2020",16.97,18.00,15.47,16.88,16.88,33552400
"Mar 11, 2020",19.53,19.90,18.51,18.79,18.79,22061600
"Mar 10, 2020",20.05,20.43,19.09,19.87,19.87,23015800
"Mar 09, 2020",20.51,20.90,19.90,19.93,19.93,23635700
"Mar 06, 2020",21.52,21.83,20.42,21.23,21.23,28052900
"Mar 05, 2020",20.88,21.36,20.63,21.16,21.16,27916600
"Mar 04, 2020",21.00,21.05,20.16,20.55,20.55,23388100
"Mar 03, 2020",20.18,21.27,19.70,20.62,20.62,32518300
"Mar 02, 2020",19.42,19.94,19.14,19.86,19.86,25295800
"Feb 28, 2020",18.35,19.13,18.03,19.04,19.04,40590000
"Feb 27, 2020",21.38,21.45,19.68,19.78,19.78,28277900
"Feb 27, 2020",0.07 Dividend,0.07 Dividend,0.07 Dividend,0.07 Dividend,0.07 Dividend,0.07 Dividend
"Feb 26, 2020",21.00,21.38,20.89,21.09,21.02,18550700
"Feb 25, 2020",21.70,22.08,21.24,21.25,21.18,26511700
"Feb 24, 2020",22.50,22.57,21.73,22.03,21.96,29354200
"Feb 21, 2020",21.45,21.61,21.17,21.44,21.37,19956000
"Feb 20, 2020",20.94,21.31,20.72,20.77,20.70,16593500
"Feb 19, 2020",20.81,21.04,20.40,21.00,20.93,20183200
"Feb 18, 2020",19.85,20.65,19.75,20.58,20.51,27961900
"Feb 14, 2020",19.00,19.73,18.93,19.72,19.65,20194400
"Feb 13, 2020",18.58,19.17,18.55,18.93,18.87,15270200
"Feb 12, 2020",18.51,18.68,18.20,18.41,18.35,11832200
"Feb 11, 2020",18.37,18.64,18.26,18.44,18.38,10385000
"Feb 10, 2020",18.26,18.52,18.16,18.43,18.37,8164900
"Feb 07, 2020",18.45,18.56,18.08,18.19,18.13,8733600
"Feb 06, 2020",18.12,18.49,18.05,18.35,18.29,7471800
"Feb 05, 2020",18.00,18.17,17.96,18.02,17.96,7388300
"Feb 04, 2020",18.01,18.15,17.63,18.02,17.96,15578600
"Feb 03, 2020",18.37,18.45,18.09,18.28,18.22,11759300
"Jan 31, 2020",18.48,18.74,18.42,18.52,18.46,11002500
"Jan 30, 2020",18.42,18.65,18.25,18.44,18.38,13839700
"Jan 29, 2020",18.09,18.40,17.93,18.37,18.31,8479500
"Jan 28, 2020",18.40,18.50,17.85,18.00,17.94,16125200
"Jan 27, 2020",19.00,19.17,18.45,18.62,18.56,21295700
"Jan 24, 2020",18.45,18.75,18.35,18.71,18.65,14750800
"Jan 23, 2020",18.21,18.68,18.18,18.43,18.37,13182200
"Jan 22, 2020",18.34,18.40,18.17,18.29,18.23,10563200
"Jan 21, 2020",17.96,18.35,17.93,18.35,18.29,14625700
"Jan 17, 2020",18.13,18.21,17.76,17.95,17.89,9789200
"Jan 16, 2020",18.00,18.10,17.74,18.09,18.03,10178800
"Jan 15, 2020",17.75,17.98,17.56,17.90,17.84,10450300
"Jan 14, 2020",17.30,17.60,17.26,17.56,17.50,10064900
"Jan 13, 2020",17.77,17.78,17.43,17.45,17.39,8410700
"Jan 10, 2020",17.67,17.96,17.60,17.85,17.79,8361600
"Jan 09, 2020",17.62,17.80,17.46,17.60,17.54,11537900
"Jan 08, 2020",18.51,18.51,17.71,17.82,17.76,14582200
"Jan 07, 2020",18.39,18.53,18.13,18.47,18.41,12084100
"Jan 06, 2020",18.98,19.01,18.37,18.39,18.33,14286900
"Jan 03, 2020",18.93,18.96,18.43,18.57,18.51,13759300
"Jan 02, 2020",18.71,18.81,18.37,18.49,18.43,7096800
"Dec 31, 2019",18.74,18.83,18.50,18.59,18.53,9210900
"Dec 30, 2019",18.41,18.68,18.33,18.61,18.55,9560900
"Dec 27, 2019",18.32,18.48,18.18,18.37,18.31,9047000
"Dec 26, 2019",18.50,18.56,18.20,18.36,18.30,9372500
"Dec 24, 2019",17.80,18.32,17.76,18.31,18.25,8174000
"Dec 23, 2019",17.58,17.82,17.48,17.76,17.70,8634100
"Dec 20, 2019",17.65,17.78,17.41,17.45,17.39,9077300
"Dec 19, 2019",17.93,18.00,17.55,17.71,17.65,8380700
"Dec 18, 2019",17.49,17.94,17.41,17.93,17.87,15938800
"Dec 17, 2019",17.35,17.52,17.29,17.39,17.33,9722100
"Dec 16, 2019",17.68,17.68,17.24,17.42,17.36,7813400
"Dec 13, 2019",17.45,17.67,17.32,17.58,17.52,10721200
"Dec 12, 2019",17.80,17.98,17.34,17.56,17.50,12194100
"Dec 11, 2019",17.28,17.78,17.24,17.62,17.56,14640500
"Dec 10, 2019",16.95,17.17,16.92,17.14,17.08,12644500
"Dec 09, 2019",17.00,17.20,16.79,16.85,16.79,8946600
"Dec 06, 2019",16.89,17.11,16.82,16.89,16.83,8180600
"Dec 05, 2019",17.12,17.31,17.05,17.16,17.10,8687700
"Dec 04, 2019",17.25,17.38,17.01,17.03,16.97,10131000
"Dec 03, 2019",17.28,17.79,17.19,17.28,17.22,16549400
"Dec 02, 2019",16.76,17.02,16.73,16.89,16.83,11605300
"Nov 29, 2019",16.77,16.86,16.64,16.80,16.74,5515900
"Nov 29, 2019",0.05 Dividend,0.05 Dividend,0.05 Dividend,0.05 Dividend,0.05 Dividend,0.05 Dividend
"Nov 27, 2019",16.72,16.77,16.54,16.70,16.59,6520400
"Nov 27, 2019",0.05 Dividend,0.05 Dividend,0.05 Dividend,0.05 Dividend,0.05 Dividend,0.05 Dividend
"Nov 26, 2019",16.42,16.91,16.36,16.86,16.70,10096300
