Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",163.25,165.75,161.26,162.13,162.13,2665700
"Apr 02, 2020",160.15,166.74,159.41,164.09,164.09,3369800
"Apr 01, 2020",165.62,168.51,160.22,160.87,160.87,3822000
"Mar 31, 2020",172.70,177.25,170.61,173.00,173.00,3142300
"Mar 30, 2020",172.26,177.29,170.84,176.80,176.80,2480500
"Mar 27, 2020",167.33,171.06,166.21,167.34,167.34,2301600
"Mar 26, 2020",169.27,175.00,168.69,174.19,174.19,2726000
"Mar 25, 2020",163.07,175.46,161.34,165.30,165.30,3258400
"Mar 24, 2020",159.29,166.84,157.00,164.81,164.81,3423100
"Mar 23, 2020",149.78,155.36,146.80,150.00,150.00,4434000
"Mar 20, 2020",154.10,157.94,148.05,151.30,151.30,4699900
"Mar 19, 2020",151.47,158.81,148.81,154.01,154.01,4296100
"Mar 18, 2020",153.39,160.16,149.64,157.51,157.51,4723900
"Mar 17, 2020",156.76,165.64,155.66,163.88,163.88,4956600
"Mar 16, 2020",148.72,163.64,146.71,158.35,158.35,7079300
"Mar 13, 2020",173.38,177.15,161.35,176.50,176.50,6386900
"Mar 12, 2020",163.40,169.95,157.00,158.02,158.02,6340400
"Mar 11, 2020",173.46,176.66,172.54,173.92,173.92,4315300
"Mar 10, 2020",176.48,177.42,167.52,176.21,176.21,5604100
"Mar 09, 2020",175.06,180.38,172.32,173.13,173.13,4822700
"Mar 06, 2020",192.13,192.66,185.76,189.20,189.20,4466800
"Mar 05, 2020",197.74,199.48,195.07,196.51,196.51,3204300
"Mar 05, 2020",0.963 Dividend,0.963 Dividend,0.963 Dividend,0.963 Dividend,0.963 Dividend,0.963 Dividend
"Mar 04, 2020",198.40,205.75,197.37,205.53,204.57,2755600
"Mar 03, 2020",198.02,201.84,192.34,195.39,194.47,4063300
"Mar 02, 2020",191.30,198.30,189.41,198.15,197.22,3489600
"Feb 28, 2020",190.81,192.83,185.95,191.01,190.12,5555300
"Feb 27, 2020",199.87,203.37,194.90,194.95,194.04,3685500
"Feb 26, 2020",203.30,206.92,202.58,203.41,202.46,2711200
"Feb 25, 2020",209.18,209.70,200.85,201.65,200.71,2743100
"Feb 24, 2020",211.15,212.32,209.60,210.55,209.56,2020400
"Feb 21, 2020",219.99,220.30,218.24,218.34,217.32,1660100
"Feb 20, 2020",220.45,222.36,218.03,221.20,220.16,1534700
"Feb 19, 2020",223.02,223.55,221.87,222.48,221.44,1590100
"Feb 18, 2020",224.04,224.59,222.87,223.55,222.50,1524700
