Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",46.25,47.31,45.49,46.10,46.10,2761700
"Apr 02, 2020",45.34,49.14,45.06,45.92,45.92,3917500
"Apr 01, 2020",46.24,47.32,44.51,45.03,45.03,3270600
"Mar 31, 2020",48.94,50.40,48.77,49.63,49.63,3281000
"Mar 30, 2020",48.72,50.75,48.09,49.58,49.58,2517400
"Mar 27, 2020",51.18,51.59,48.56,49.40,49.40,3589200
"Mar 26, 2020",51.25,54.49,51.25,53.93,53.93,5230300
"Mar 25, 2020",47.00,52.92,46.40,52.10,52.10,4872500
"Mar 24, 2020",44.02,46.02,42.03,45.29,45.29,4216900
"Mar 23, 2020",41.93,42.66,40.00,40.49,40.49,3984500
"Mar 20, 2020",42.96,44.32,40.39,42.00,42.00,7474000
"Mar 19, 2020",39.97,47.21,39.22,43.23,43.23,6383600
"Mar 18, 2020",38.40,42.72,37.11,40.57,40.57,6784500
"Mar 17, 2020",36.14,42.27,35.60,41.72,41.72,9219300
"Mar 16, 2020",39.52,44.25,33.71,34.90,34.90,7742000
"Mar 13, 2020",50.00,50.22,42.03,46.84,46.84,8541200
"Mar 12, 2020",48.96,48.96,45.06,46.07,46.07,8213100
"Mar 11, 2020",57.76,58.18,53.93,54.00,54.00,6644500
"Mar 10, 2020",62.77,63.06,57.83,59.74,59.74,3663200
"Mar 09, 2020",65.00,68.00,59.60,59.61,59.61,4379100
"Mar 06, 2020",71.41,74.16,70.84,71.99,71.99,3578600
"Mar 05, 2020",72.79,74.21,72.61,73.91,73.91,2746200
"Mar 04, 2020",73.45,75.31,71.04,75.23,75.23,2242400
"Mar 03, 2020",74.50,76.27,70.56,72.24,72.24,2949100
"Mar 02, 2020",72.34,74.58,70.88,74.52,74.52,3631300
"Feb 28, 2020",69.17,71.90,68.50,71.46,71.46,4156300
"Feb 28, 2020",1.05 Dividend,1.05 Dividend,1.05 Dividend,1.05 Dividend,1.05 Dividend,1.05 Dividend
