Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",32.76,33.22,32.12,32.64,32.64,1989300
"Apr 02, 2020",31.66,33.62,31.66,32.80,32.80,2515200
"Apr 01, 2020",32.80,33.47,31.51,31.62,31.62,1996400
"Mar 31, 2020",32.17,34.24,32.05,33.94,33.94,2736600
"Mar 30, 2020",30.45,32.49,30.20,32.45,32.45,2183300
"Mar 30, 2020",0.45 Dividend,0.45 Dividend,0.45 Dividend,0.45 Dividend,0.45 Dividend,0.45 Dividend
"Mar 27, 2020",31.48,31.80,29.99,30.97,30.52,2406600
"Mar 26, 2020",31.27,33.24,31.15,32.66,32.19,3187400
"Mar 25, 2020",29.19,31.57,28.62,30.64,30.19,3398600
"Mar 24, 2020",27.26,28.78,26.58,28.66,28.24,3359200
"Mar 23, 2020",27.50,27.92,25.59,25.79,25.42,3355600
"Mar 20, 2020",27.74,29.34,27.25,27.75,27.35,2971100
"Mar 19, 2020",24.82,27.67,24.26,27.40,27.00,3530700
"Mar 18, 2020",25.16,26.75,23.85,25.10,24.74,3833600
"Mar 17, 2020",27.62,28.50,26.02,26.49,26.11,2957500
"Mar 16, 2020",27.77,28.95,27.12,27.42,27.02,3514600
"Mar 13, 2020",29.40,31.35,27.25,31.29,30.84,3796400
"Mar 12, 2020",29.93,30.12,27.58,27.97,27.56,3781200
"Mar 11, 2020",33.33,33.48,31.68,32.00,31.54,4010400
"Mar 10, 2020",35.83,35.92,33.64,33.90,33.41,3570900
"Mar 09, 2020",35.85,37.40,34.54,34.55,34.05,2493700
"Mar 06, 2020",39.67,40.19,38.42,38.52,37.96,1915000
"Mar 05, 2020",40.13,40.76,39.90,40.40,39.81,2114500
"Mar 04, 2020",41.26,41.28,40.42,40.95,40.35,1398000
"Mar 03, 2020",41.09,41.56,40.43,40.65,40.06,1901400
"Mar 02, 2020",42.00,42.00,40.21,41.01,40.41,2629000
"Feb 28, 2020",38.65,40.44,38.65,40.43,39.84,3422500
"Feb 27, 2020",40.25,40.80,39.01,39.53,38.96,2896400
"Feb 26, 2020",40.95,41.73,40.40,40.46,39.87,2499200
"Feb 25, 2020",42.45,42.58,40.46,40.58,39.99,2053900
"Feb 24, 2020",41.49,42.10,41.13,42.02,41.41,1701100
"Feb 21, 2020",43.11,43.39,42.50,42.56,41.94,2039000
"Feb 20, 2020",42.28,43.28,42.13,43.23,42.60,2287600
"Feb 19, 2020",41.44,42.76,41.44,42.00,41.39,2962300
"Feb 18, 2020",41.15,41.79,40.95,41.29,40.69,2469600
"Feb 14, 2020",42.74,43.07,41.16,41.28,40.68,2415400
"Feb 13, 2020",43.19,43.49,42.72,42.75,42.13,1473200
"Feb 12, 2020",43.71,43.84,43.25,43.48,42.85,1687600
"Feb 11, 2020",43.10,43.66,43.01,43.43,42.80,1631100
"Feb 10, 2020",43.00,43.40,42.58,42.96,42.34,1274800
"Feb 07, 2020",43.92,44.02,43.25,43.27,42.64,1393400
"Feb 06, 2020",44.68,44.68,44.11,44.16,43.52,1532100
"Feb 05, 2020",43.33,44.42,43.29,44.30,43.66,2529600
"Feb 04, 2020",43.21,43.28,42.72,42.87,42.25,3152200
"Feb 03, 2020",42.69,43.14,42.43,42.73,42.11,1454700
"Jan 31, 2020",42.80,42.89,42.37,42.69,42.07,2729200
"Jan 30, 2020",43.00,43.46,42.79,43.05,42.42,2960900
"Jan 29, 2020",43.94,44.13,43.27,43.30,42.67,1476000
"Jan 28, 2020",43.04,43.92,42.95,43.86,43.22,1355400
"Jan 27, 2020",43.56,43.63,42.80,42.81,42.19,2192000
"Jan 24, 2020",45.07,45.22,44.17,44.28,43.64,1757700
"Jan 23, 2020",45.71,45.77,44.94,45.35,44.69,1498400
"Jan 22, 2020",46.72,46.74,45.82,45.95,45.28,1553800
"Jan 21, 2020",46.85,47.00,46.30,46.61,45.93,1518300
"Jan 17, 2020",47.23,47.27,46.63,46.87,46.19,2027200
"Jan 16, 2020",48.06,48.08,47.01,47.11,46.43,2245300
"Jan 15, 2020",48.25,48.59,47.70,47.94,47.24,1352900
"Jan 14, 2020",47.87,48.48,47.82,48.35,47.65,1213900
"Jan 13, 2020",47.33,48.02,47.10,47.98,47.28,1226400
"Jan 10, 2020",47.57,47.58,46.80,47.21,46.52,1279600
"Jan 09, 2020",47.70,47.99,47.09,47.63,46.94,1043200
"Jan 08, 2020",47.55,47.91,47.34,47.73,47.04,1675800
"Jan 07, 2020",47.34,47.85,47.15,47.75,47.06,1183500
"Jan 06, 2020",46.67,47.34,46.39,47.29,46.60,1559400
"Jan 03, 2020",47.00,47.40,46.81,46.85,46.17,925800
"Jan 02, 2020",48.38,48.40,47.28,47.33,46.64,1004700
"Dec 31, 2019",47.44,47.97,47.19,47.91,47.21,1057100
"Dec 30, 2019",47.74,47.99,47.31,47.37,46.68,1013800
