Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",35.63,36.41,35.42,35.65,35.65,3502100
"Apr 02, 2020",35.96,37.07,35.07,35.94,35.94,4188200
"Apr 01, 2020",34.17,36.14,34.05,35.90,35.90,5412700
"Mar 31, 2020",34.95,37.16,34.42,36.02,36.02,4390100
"Mar 30, 2020",32.80,35.14,32.16,34.92,34.92,5136000
"Mar 30, 2020",0.403 Dividend,0.403 Dividend,0.403 Dividend,0.403 Dividend,0.403 Dividend,0.403 Dividend
"Mar 27, 2020",32.73,33.94,32.07,33.36,32.96,3114400
"Mar 26, 2020",31.46,33.78,30.76,33.54,33.13,4184100
"Mar 25, 2020",32.28,33.57,30.40,31.20,30.82,3323900
"Mar 24, 2020",30.40,32.65,30.18,31.98,31.59,3644400
"Mar 23, 2020",30.36,31.40,28.39,28.42,28.08,3721800
"Mar 20, 2020",31.84,32.21,30.05,30.63,30.26,4139900
"Mar 19, 2020",29.44,33.87,29.12,30.82,30.45,3166600
"Mar 18, 2020",29.19,29.72,27.53,29.35,29.00,4376500
"Mar 17, 2020",31.33,32.53,29.75,30.99,30.62,3875600
"Mar 16, 2020",31.75,33.69,30.30,30.64,30.27,3168400
"Mar 13, 2020",34.00,35.84,32.59,35.84,35.41,4387700
"Mar 12, 2020",32.56,34.58,31.60,31.77,31.39,4495200
"Mar 11, 2020",35.95,36.42,34.58,35.43,35.00,3356500
"Mar 10, 2020",36.52,37.33,34.52,37.13,36.68,3648300
"Mar 09, 2020",36.81,37.60,34.70,34.72,34.30,3939600
"Mar 06, 2020",39.69,40.93,38.86,39.61,39.13,2975000
"Mar 05, 2020",41.64,41.90,40.21,40.77,40.28,2899900
"Mar 04, 2020",42.72,43.25,41.97,43.19,42.67,2302600
"Mar 03, 2020",42.76,44.08,41.19,41.87,41.36,3277600
"Mar 02, 2020",41.66,42.72,40.42,42.70,42.18,4039800
"Feb 28, 2020",40.37,41.67,39.93,41.35,40.85,4665900
"Feb 27, 2020",43.08,43.70,41.69,41.81,41.30,3649800
"Feb 26, 2020",45.41,45.47,43.66,43.67,43.14,2878600
"Feb 25, 2020",47.44,47.50,44.92,44.97,44.43,3336500
"Feb 24, 2020",47.24,47.87,47.01,47.29,46.72,2793400
"Feb 21, 2020",47.51,48.65,47.50,48.57,47.98,2348800
"Feb 20, 2020",47.92,48.14,47.58,47.85,47.27,1329500
"Feb 19, 2020",47.49,48.28,47.41,47.71,47.13,1736700
"Feb 18, 2020",47.00,47.59,46.94,47.39,46.82,1822800
"Feb 14, 2020",47.97,48.09,46.80,47.15,46.58,1995600
"Feb 13, 2020",47.95,48.31,47.73,47.95,47.37,2108600
"Feb 12, 2020",48.97,49.01,47.99,48.37,47.79,1770000
"Feb 11, 2020",47.90,48.98,47.87,48.34,47.76,1994200
"Feb 10, 2020",47.65,48.10,47.50,47.66,47.08,1850700
"Feb 07, 2020",48.56,48.67,47.76,47.92,47.34,1988400
"Feb 06, 2020",50.00,50.00,48.83,49.05,48.46,2033400
"Feb 05, 2020",49.62,49.64,49.01,49.52,48.92,2513100
"Feb 04, 2020",48.91,49.26,48.25,48.84,48.25,2984400
"Feb 03, 2020",47.67,48.21,47.54,47.94,47.36,2270000
"Jan 31, 2020",48.02,48.28,47.27,47.49,46.92,3214800
"Jan 30, 2020",47.95,48.89,47.67,48.86,48.27,2845700
"Jan 29, 2020",49.28,49.67,48.04,48.06,47.48,2860800
"Jan 28, 2020",52.68,52.68,49.37,49.47,48.87,4406700
"Jan 27, 2020",49.43,49.86,49.07,49.18,48.59,3016400
"Jan 24, 2020",51.59,51.59,49.84,50.33,49.72,2009700
"Jan 23, 2020",51.59,51.79,50.70,51.75,51.12,1652400
"Jan 22, 2020",52.55,52.60,51.77,51.97,51.34,1612300
"Jan 21, 2020",53.58,53.58,52.07,52.36,51.73,2282500
"Jan 17, 2020",53.64,54.00,53.26,53.81,53.16,2341300
"Jan 16, 2020",53.80,53.80,53.17,53.35,52.71,1782500
"Jan 15, 2020",53.68,54.00,53.23,53.43,52.78,1196100
"Jan 14, 2020",53.38,54.10,53.32,54.00,53.35,1845200
"Jan 13, 2020",52.99,53.98,52.88,53.37,52.73,1951100
"Jan 10, 2020",53.50,53.79,52.64,52.77,52.13,1646000
"Jan 09, 2020",53.75,53.82,53.07,53.50,52.85,2672800
"Jan 08, 2020",53.85,54.36,53.63,53.68,53.03,2130200
"Jan 07, 2020",53.75,54.59,53.61,53.81,53.16,2559000
"Jan 06, 2020",54.21,54.63,53.76,53.93,53.28,2239000
"Jan 03, 2020",54.50,54.93,54.23,54.39,53.73,2837400
"Jan 02, 2020",56.83,56.86,55.06,55.12,54.45,2466800
"Dec 31, 2019",55.91,56.45,55.82,56.28,55.60,1445400
"Dec 30, 2019",56.37,56.46,55.85,56.08,55.40,1262500
"Dec 30, 2019",0.4025 Dividend,0.4025 Dividend,0.4025 Dividend,0.4025 Dividend,0.4025 Dividend,0.4025 Dividend
"Dec 27, 2019",56.93,56.99,56.51,56.68,55.60,1370200
"Dec 26, 2019",56.84,56.91,56.11,56.80,55.72,1274700
"Dec 24, 2019",56.84,57.22,56.53,56.66,55.58,725700
"Dec 23, 2019",56.83,57.00,56.45,56.77,55.69,1205200
"Dec 20, 2019",56.73,57.34,56.35,56.89,55.80,5240400
"Dec 19, 2019",57.16,57.25,56.45,56.53,55.45,1410900
"Dec 18, 2019",57.20,57.20,56.51,57.04,55.95,1341700
"Dec 17, 2019",56.44,57.20,56.41,57.17,56.08,1363600
"Dec 16, 2019",57.12,57.38,56.36,56.49,55.41,2360900
"Dec 13, 2019",57.80,58.08,56.47,56.47,55.39,2126900
"Dec 12, 2019",57.00,58.70,56.71,58.11,57.00,3511800
"Dec 11, 2019",57.94,58.58,57.71,58.12,57.01,1511800
"Dec 10, 2019",57.58,58.17,57.38,57.74,56.64,1681000
"Dec 09, 2019",58.00,58.49,57.75,57.75,56.65,1986600
"Dec 06, 2019",57.30,57.84,56.86,57.61,56.51,1906500
"Dec 05, 2019",56.00,56.53,55.70,56.49,55.41,1322200
"Dec 04, 2019",55.77,56.47,55.61,55.83,54.76,1831800
"Dec 03, 2019",55.58,55.90,54.58,55.28,54.22,2085900
"Dec 02, 2019",56.55,57.09,56.28,56.64,55.56,1626100
"Nov 29, 2019",56.38,56.57,56.06,56.36,55.28,1608100
"Nov 27, 2019",56.01,56.51,55.81,56.40,55.32,1456900
"Nov 26, 2019",55.83,56.32,55.67,56.01,54.94,1691400
"Nov 25, 2019",55.48,56.25,55.19,55.92,54.85,1480800
"Nov 22, 2019",54.60,55.51,54.60,55.24,54.19,1265600
"Nov 21, 2019",54.27,54.67,53.89,54.24,53.20,1410600
"Nov 20, 2019",54.39,55.03,53.91,54.10,53.07,2282400
"Nov 19, 2019",55.87,55.94,54.72,54.80,53.75,1104900
"Nov 18, 2019",54.85,55.49,54.36,55.46,54.40,1357500
"Nov 15, 2019",54.85,55.18,54.64,54.95,53.90,1244500
"Nov 14, 2019",54.41,55.00,54.27,54.49,53.45,1098600
"Nov 13, 2019",55.11,55.29,54.66,54.67,53.63,1372000
