Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",80.39,81.68,80.17,80.43,80.43,2421800
"Apr 02, 2020",79.59,82.32,78.01,80.73,80.73,3956300
"Apr 01, 2020",80.56,82.30,79.70,79.89,79.89,2031800
"Mar 31, 2020",85.14,87.33,83.12,83.60,83.60,1897100
"Mar 30, 2020",85.85,87.20,83.67,85.92,85.92,1579100
"Mar 27, 2020",86.19,87.28,84.45,85.00,85.00,1669600
"Mar 26, 2020",86.24,90.39,85.00,89.76,89.76,1984100
"Mar 25, 2020",77.77,89.58,77.77,85.71,85.71,3782700
"Mar 24, 2020",75.82,82.24,75.62,82.05,82.05,2550500
"Mar 23, 2020",78.38,80.63,71.53,72.50,72.50,3043000
"Mar 20, 2020",77.11,80.46,71.75,79.72,79.72,4507300
"Mar 19, 2020",72.21,78.83,69.77,76.56,76.56,2642100
"Mar 18, 2020",78.55,80.00,70.31,72.92,72.92,3112000
"Mar 17, 2020",84.33,84.33,79.61,82.62,82.62,3407300
"Mar 16, 2020",82.93,88.56,81.20,82.42,82.42,2741800
"Mar 13, 2020",94.31,95.33,90.11,94.19,94.19,2716100
"Mar 12, 2020",87.51,92.31,86.44,89.90,89.90,2981400
"Mar 11, 2020",99.18,99.18,95.22,96.97,96.97,2183900
"Mar 10, 2020",100.27,102.00,97.53,101.98,101.98,3491700
"Mar 09, 2020",95.79,103.03,95.47,97.41,97.41,4053500
"Mar 06, 2020",99.66,102.82,99.57,101.45,101.45,2480400
"Mar 05, 2020",105.22,105.32,101.03,102.65,102.65,2865500
"Mar 04, 2020",105.88,107.96,104.95,107.96,107.96,2941400
"Mar 03, 2020",105.07,106.95,102.75,104.39,104.39,2642100
"Mar 02, 2020",104.92,106.31,104.07,105.31,105.31,3748800
"Feb 28, 2020",100.58,104.49,100.23,104.45,104.45,4461000
"Feb 27, 2020",107.62,109.13,103.56,103.59,103.59,2287200
"Feb 26, 2020",110.49,111.63,108.98,109.09,109.09,2067000
"Feb 25, 2020",115.69,115.74,109.52,109.63,109.63,2506500
"Feb 24, 2020",116.71,117.06,114.49,115.27,115.27,1870500
"Feb 21, 2020",118.98,119.29,118.37,118.91,118.91,1100800
"Feb 20, 2020",118.62,119.83,118.31,119.36,119.36,1733600
"Feb 20, 2020",0.51 Dividend,0.51 Dividend,0.51 Dividend,0.51 Dividend,0.51 Dividend,0.51 Dividend
"Feb 19, 2020",119.58,120.00,119.14,119.52,119.01,1153700
"Feb 18, 2020",119.74,120.44,118.91,119.33,118.82,1081200
"Feb 14, 2020",120.41,120.94,119.51,120.15,119.64,1576900
"Feb 13, 2020",121.90,121.90,120.32,120.46,119.95,1263000
"Feb 12, 2020",122.65,122.72,121.51,122.36,121.84,897300
"Feb 11, 2020",121.46,122.94,121.20,121.95,121.43,1437700
"Feb 10, 2020",122.05,122.05,120.36,120.89,120.37,1944000
