Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",46.31,46.56,44.60,45.04,45.04,3410800
"Apr 02, 2020",45.43,46.74,44.80,46.01,46.01,2874700
"Apr 01, 2020",45.06,45.62,43.98,44.17,44.17,3913100
"Mar 31, 2020",45.51,46.64,45.03,45.56,45.56,3434400
"Mar 30, 2020",45.30,45.98,43.97,44.91,44.91,3321100
"Mar 27, 2020",43.00,44.60,42.49,43.57,43.57,2730500
"Mar 26, 2020",45.22,46.10,44.28,45.40,45.40,3325500
"Mar 25, 2020",42.65,46.02,42.34,44.18,44.18,4558700
"Mar 24, 2020",39.79,42.45,39.11,42.17,42.17,4076500
"Mar 23, 2020",36.10,37.21,35.35,36.42,36.42,4318800
"Mar 20, 2020",38.53,39.49,36.44,36.57,36.57,3702000
"Mar 19, 2020",37.74,38.72,35.82,37.96,37.96,3744400
"Mar 18, 2020",38.48,39.72,36.88,38.03,38.03,3420800
"Mar 17, 2020",40.48,42.69,40.09,41.79,41.79,2965500
"Mar 16, 2020",39.10,42.12,38.82,40.26,40.26,3482600
"Mar 13, 2020",42.13,43.90,40.05,43.90,43.90,4905700
"Mar 12, 2020",39.13,39.88,37.14,38.86,38.86,6720900
"Mar 11, 2020",44.15,44.61,41.74,42.71,42.71,5598100
"Mar 10, 2020",44.98,45.94,43.54,45.80,45.80,5030100
"Mar 09, 2020",42.38,43.64,41.41,41.81,41.81,6536000
"Mar 06, 2020",46.17,46.66,45.67,46.16,46.16,4163800
"Mar 06, 2020",2.31 Dividend,2.31 Dividend,2.31 Dividend,2.31 Dividend,2.31 Dividend,2.31 Dividend
"Mar 05, 2020",49.37,50.13,49.05,49.27,46.96,4025300
"Mar 04, 2020",50.69,51.52,50.10,51.48,49.07,3222800
"Mar 03, 2020",49.56,50.65,48.26,48.76,46.47,6984400
"Mar 02, 2020",47.22,48.89,46.85,48.77,46.48,6370300
"Feb 28, 2020",45.17,47.08,44.63,46.93,44.73,7025700
"Feb 27, 2020",47.84,48.33,47.01,47.26,45.04,4810000
"Feb 26, 2020",50.50,50.66,49.59,49.71,47.38,2398100
"Feb 25, 2020",51.61,51.64,50.16,50.43,48.07,2730600
"Feb 24, 2020",51.11,51.49,50.90,51.23,48.83,2846500
"Feb 21, 2020",54.30,54.71,53.98,54.62,52.06,2570100
"Feb 20, 2020",54.47,54.76,54.10,54.19,51.65,1242200
"Feb 19, 2020",54.46,54.58,54.24,54.34,51.79,904800
"Feb 18, 2020",54.28,54.48,54.13,54.42,51.87,796700
"Feb 14, 2020",54.91,54.94,54.32,54.50,51.94,1369200
"Feb 13, 2020",54.80,55.07,54.58,54.87,52.30,1053700
"Feb 12, 2020",55.43,55.51,54.96,55.28,52.69,1620700
"Feb 11, 2020",54.31,54.35,53.60,53.85,51.33,1528100
"Feb 10, 2020",53.54,53.61,53.08,53.43,50.92,1190600
"Feb 07, 2020",54.43,54.64,53.69,53.73,51.21,1305900
"Feb 06, 2020",55.69,55.79,55.22,55.38,52.78,1229300
"Feb 05, 2020",55.78,55.87,55.22,55.68,53.07,1602400
"Feb 04, 2020",54.74,55.03,54.58,54.97,52.39,1809700
"Feb 03, 2020",53.16,53.57,53.01,53.14,50.65,1325100
"Jan 31, 2020",54.04,54.08,53.22,53.43,50.92,3023700
"Jan 30, 2020",54.63,55.26,54.34,55.22,52.63,1367600
"Jan 29, 2020",55.70,55.81,55.10,55.25,52.66,1067500
"Jan 28, 2020",55.26,55.74,55.22,55.51,52.91,1479400
"Jan 27, 2020",55.26,55.55,54.98,55.10,52.52,2357400
"Jan 24, 2020",58.33,58.48,57.43,57.76,55.05,1736400
"Jan 23, 2020",58.63,58.96,57.83,58.91,56.15,2689200
"Jan 22, 2020",60.87,61.11,60.31,60.50,57.66,2038900
"Jan 21, 2020",60.05,60.34,59.76,59.95,57.14,2107400
"Jan 17, 2020",60.96,61.05,60.52,60.67,57.83,1762100
"Jan 16, 2020",59.23,59.36,59.02,59.15,56.38,1003300
"Jan 15, 2020",58.80,59.32,58.60,58.99,56.22,1497100
"Jan 14, 2020",59.16,59.48,59.00,59.23,56.45,1148300
"Jan 13, 2020",58.53,59.38,58.48,59.13,56.36,1370200
"Jan 10, 2020",58.61,58.97,58.42,58.45,55.71,1104800
"Jan 09, 2020",58.55,58.64,58.06,58.29,55.56,1778800
"Jan 08, 2020",58.68,59.30,58.61,58.90,56.14,1420400
"Jan 07, 2020",58.34,58.68,58.19,58.39,55.65,1627600
"Jan 06, 2020",58.43,58.68,58.24,58.45,55.71,1492600
"Jan 03, 2020",58.79,59.26,58.78,58.84,56.08,1561700
"Jan 02, 2020",59.67,60.02,59.50,59.89,57.08,1814300
"Dec 31, 2019",59.39,59.40,59.01,59.36,56.58,784500
"Dec 30, 2019",59.32,59.49,59.12,59.17,56.40,800400
"Dec 27, 2019",59.70,59.70,59.27,59.35,56.57,728200
"Dec 26, 2019",59.29,59.54,59.12,59.49,56.70,775400
"Dec 24, 2019",59.17,59.24,58.97,59.01,56.24,405200
"Dec 23, 2019",58.77,59.13,58.75,58.97,56.21,1459900
"Dec 20, 2019",59.19,59.38,58.75,58.77,56.01,1369300
"Dec 19, 2019",58.89,58.98,58.37,58.48,55.74,1462700
"Dec 18, 2019",58.46,58.65,58.31,58.53,55.79,1313300
"Dec 17, 2019",58.41,58.99,58.41,58.68,55.93,1392800
"Dec 16, 2019",59.68,59.68,58.75,58.82,56.06,1797300
"Dec 13, 2019",58.28,58.95,57.52,57.72,55.01,1651000
"Dec 12, 2019",56.94,57.74,56.76,57.52,54.82,1809200
"Dec 11, 2019",56.61,57.17,56.61,56.91,54.24,2063700
"Dec 10, 2019",55.73,59.00,55.24,56.06,53.43,1325400
"Dec 09, 2019",56.01,56.42,55.75,55.91,53.29,1416700
"Dec 06, 2019",55.40,55.56,55.21,55.37,52.77,839100
"Dec 05, 2019",54.55,54.86,54.34,54.61,52.05,1107100
"Dec 04, 2019",54.70,55.07,54.52,54.86,52.29,1300000
"Dec 03, 2019",54.15,54.63,53.98,54.60,52.04,1089200
"Dec 02, 2019",54.73,55.33,54.48,55.15,52.56,1924200
"Nov 29, 2019",54.34,54.69,54.29,54.56,52.00,820800
"Nov 27, 2019",54.86,55.07,54.62,54.98,52.40,857800
"Nov 26, 2019",54.65,54.92,54.45,54.86,52.29,1204900
"Nov 25, 2019",54.35,54.80,54.23,54.67,52.11,1103200
"Nov 22, 2019",53.94,54.16,53.70,53.80,51.28,1178800
"Nov 21, 2019",52.95,53.38,52.91,53.30,50.80,1089600
"Nov 20, 2019",53.24,53.70,52.96,53.11,50.62,1323200
"Nov 19, 2019",55.34,55.34,54.41,54.53,51.97,1430200
"Nov 18, 2019",53.80,54.20,53.57,53.99,51.46,1134200
"Nov 15, 2019",53.43,53.99,53.27,53.97,51.44,1984700
"Nov 14, 2019",52.65,52.95,52.52,52.92,50.44,1706300
"Nov 13, 2019",52.34,52.55,52.02,52.18,49.73,1175900
"Nov 12, 2019",53.56,53.59,52.83,53.02,50.53,1667100
*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.
