Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",435.00,442.59,416.24,420.03,420.03,683800
"Apr 02, 2020",420.20,439.97,412.01,436.91,436.91,1085900
"Apr 01, 2020",439.91,444.52,421.40,424.98,424.98,1143500
"Mar 31, 2020",476.49,481.75,457.55,459.52,459.52,1280200
"Mar 30, 2020",471.65,486.48,462.89,481.83,481.83,753200
"Mar 27, 2020",451.00,471.49,450.00,459.66,459.66,663500
"Mar 26, 2020",465.03,473.27,454.00,466.14,466.14,854300
"Mar 25, 2020",452.27,474.83,447.25,451.66,451.66,922300
"Mar 24, 2020",418.56,460.41,416.45,454.02,454.02,1245100
"Mar 23, 2020",410.82,422.81,390.77,396.70,396.70,958900
"Mar 20, 2020",453.22,457.03,405.98,412.70,412.70,1262800
"Mar 19, 2020",398.84,448.96,388.10,445.12,445.12,1027200
"Mar 18, 2020",388.79,410.19,325.43,402.86,402.86,1712700
"Mar 17, 2020",415.10,434.19,377.70,420.38,420.38,1981200
"Mar 16, 2020",449.00,450.66,405.44,406.07,406.07,1578900
"Mar 13, 2020",502.57,505.46,462.87,499.33,499.33,1424600
"Mar 12, 2020",486.67,509.36,471.01,482.64,482.64,1089700
"Mar 11, 2020",533.00,534.65,507.55,520.14,520.14,1042600
"Mar 10, 2020",542.27,546.46,515.42,546.02,546.02,943100
"Mar 09, 2020",501.35,538.34,500.50,527.16,527.16,1161500
"Mar 06, 2020",542.76,544.52,529.49,541.00,541.00,657300
"Mar 05, 2020",561.04,566.04,549.26,554.91,554.91,591900
"Mar 04, 2020",553.27,574.86,545.30,574.78,574.78,736700
"Mar 03, 2020",540.52,552.41,530.61,540.58,540.58,737600
"Mar 02, 2020",522.02,538.32,513.02,538.32,538.32,840300
"Feb 28, 2020",508.15,516.75,497.67,516.75,516.75,1359800
"Feb 28, 2020",1.34 Dividend,1.34 Dividend,1.34 Dividend,1.34 Dividend,1.34 Dividend,1.34 Dividend
"Feb 27, 2020",542.36,548.35,524.90,525.36,524.02,781700
"Feb 26, 2020",555.16,565.13,548.85,550.61,549.21,724100
"Feb 25, 2020",569.79,570.80,550.25,550.96,549.55,843500
"Feb 24, 2020",561.36,571.97,557.01,567.10,565.65,565800
"Feb 21, 2020",580.31,583.19,572.39,573.34,571.88,383200
