Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",7.97,8.08,7.45,7.58,7.58,28712900
"Apr 02, 2020",8.34,8.47,7.93,8.15,8.15,27479500
"Apr 01, 2020",7.94,8.40,7.94,8.15,8.15,27309500
"Mar 31, 2020",8.22,8.58,8.17,8.29,8.29,34289000
"Mar 30, 2020",8.07,8.15,7.87,8.04,8.04,18079900
"Mar 27, 2020",7.73,8.15,7.68,7.84,7.84,21021000
"Mar 26, 2020",8.32,8.46,7.96,8.32,8.32,25869700
"Mar 25, 2020",7.70,8.24,7.50,8.04,8.04,32929700
"Mar 24, 2020",7.35,7.61,7.22,7.50,7.50,32700300
"Mar 23, 2020",6.69,6.98,6.49,6.58,6.58,32474300
"Mar 20, 2020",7.59,7.88,6.87,6.98,6.98,36080700
"Mar 19, 2020",7.23,7.58,6.84,7.18,7.18,31102400
"Mar 18, 2020",7.52,8.02,6.92,7.40,7.40,50289600
"Mar 17, 2020",8.12,8.64,7.71,8.17,8.17,30640800
"Mar 16, 2020",7.10,8.33,7.10,7.90,7.90,33107300
"Mar 13, 2020",9.05,9.25,7.73,8.70,8.70,56593800
"Mar 12, 2020",7.42,7.68,6.61,7.16,7.16,77801900
"Mar 11, 2020",9.24,9.47,8.17,8.50,8.50,73917200
"Mar 10, 2020",8.81,9.70,8.71,9.40,9.40,71490600
"Mar 09, 2020",8.30,8.78,7.85,7.97,7.97,59785500
"Mar 06, 2020",9.42,9.89,9.42,9.53,9.53,42161900
"Mar 05, 2020",10.26,10.28,9.88,10.12,10.12,59129800
"Mar 04, 2020",10.51,10.68,10.32,10.56,10.56,46153500
"Mar 03, 2020",10.61,10.91,10.15,10.22,10.22,64799000
"Mar 02, 2020",10.11,10.46,9.98,10.27,10.27,55830000
"Feb 28, 2020",9.60,9.84,9.53,9.82,9.82,58968300
"Feb 27, 2020",9.80,10.16,9.66,9.92,9.92,51569800
"Feb 26, 2020",10.39,10.57,10.10,10.18,10.18,49291900
"Feb 25, 2020",10.69,10.82,10.24,10.31,10.31,41068900
"Feb 24, 2020",10.95,10.98,10.49,10.56,10.56,50569600
"Feb 21, 2020",11.43,11.48,11.27,11.42,11.42,39728000
"Feb 20, 2020",12.09,12.12,11.81,11.85,11.85,19394100
"Feb 19, 2020",12.05,12.10,11.98,12.05,12.05,16228000
"Feb 18, 2020",12.02,12.15,11.93,12.02,12.02,25402600
"Feb 14, 2020",11.96,12.00,11.77,11.87,11.87,15698400
"Feb 13, 2020",11.98,12.03,11.88,11.93,11.93,21709300
"Feb 12, 2020",12.20,12.22,12.12,12.12,12.12,24756300
"Feb 11, 2020",11.93,12.04,11.90,11.92,11.92,30155800
"Feb 10, 2020",11.79,11.82,11.51,11.60,11.60,29912200
"Feb 07, 2020",12.20,12.20,11.98,12.04,12.04,37275400
"Feb 06, 2020",12.64,12.64,12.30,12.40,12.40,16383000
"Feb 05, 2020",12.56,12.58,12.42,12.44,12.44,17816600
"Feb 04, 2020",12.28,12.35,12.21,12.23,12.23,21074000
"Feb 03, 2020",11.83,11.98,11.82,11.90,11.90,17943900
"Jan 31, 2020",11.78,11.83,11.59,11.73,11.73,23213800
"Jan 30, 2020",11.80,12.04,11.67,12.01,12.01,26128300
"Jan 29, 2020",12.10,12.15,11.91,11.95,11.95,21947600
"Jan 28, 2020",12.25,12.30,12.08,12.18,12.18,25003800
"Jan 27, 2020",12.09,12.15,11.94,12.00,12.00,40353800
"Jan 24, 2020",13.19,13.20,12.76,12.84,12.84,30560900
"Jan 23, 2020",13.14,13.33,13.06,13.30,13.30,26282200
"Jan 22, 2020",13.37,13.48,13.35,13.42,13.42,14244400
"Jan 21, 2020",13.53,13.53,13.19,13.25,13.25,23668300
"Jan 17, 2020",13.47,13.67,13.39,13.63,13.63,22030300
"Jan 16, 2020",13.28,13.28,13.11,13.16,13.16,13701700
"Jan 15, 2020",13.44,13.44,13.17,13.26,13.26,15928300
"Jan 14, 2020",13.47,13.55,13.37,13.45,13.45,17567200
"Jan 13, 2020",12.96,13.40,12.95,13.32,13.32,26080400
"Jan 10, 2020",13.07,13.14,12.93,12.97,12.97,14055100
"Jan 09, 2020",13.12,13.14,12.96,12.99,12.99,17937000
"Jan 08, 2020",13.18,13.37,13.12,13.22,13.22,24916400
"Jan 07, 2020",13.05,13.31,13.04,13.23,13.23,18859600
"Jan 06, 2020",13.08,13.20,13.05,13.14,13.14,19213300
"Jan 03, 2020",13.23,13.45,13.23,13.29,13.29,17770000
"Jan 02, 2020",13.31,13.47,13.29,13.45,13.45,19410400
"Dec 31, 2019",13.19,13.26,13.11,13.20,13.20,8207600
"Dec 30, 2019",13.26,13.34,13.19,13.19,13.19,11795700
"Dec 27, 2019",13.16,13.30,13.16,13.22,13.22,18324000
"Dec 27, 2019",0.34727 Dividend,0.34727 Dividend,0.34727 Dividend,0.34727 Dividend,0.34727 Dividend,0.34727 Dividend
"Dec 26, 2019",13.41,13.53,13.41,13.49,13.14,14680300
"Dec 24, 2019",13.33,13.57,13.31,13.47,13.12,5251400
"Dec 23, 2019",13.39,13.42,13.28,13.30,12.96,23768800
"Dec 20, 2019",13.35,13.41,13.24,13.27,12.93,27190300
"Dec 19, 2019",13.13,13.35,13.10,13.22,12.88,13284100
"Dec 18, 2019",13.07,13.14,12.91,13.08,12.74,17987200
"Dec 17, 2019",13.11,13.18,13.04,13.09,12.75,17965500
"Dec 16, 2019",13.33,13.33,13.16,13.16,12.82,20446100
"Dec 13, 2019",12.94,13.21,12.89,13.06,12.72,32018200
"Dec 12, 2019",12.57,12.94,12.55,12.91,12.58,21931800
"Dec 11, 2019",12.44,12.61,12.41,12.58,12.26,13591600
"Dec 10, 2019",12.34,12.39,12.25,12.30,11.98,11778000
"Dec 09, 2019",12.49,12.61,12.35,12.38,12.06,42420200
"Dec 06, 2019",12.28,12.43,12.23,12.39,12.07,22335000
"Dec 05, 2019",12.04,12.18,11.99,12.12,11.81,13333300
"Dec 04, 2019",12.06,12.14,12.01,12.10,11.79,10652200
"Dec 03, 2019",12.02,12.05,11.91,12.00,11.69,20077900
"Dec 02, 2019",11.98,12.21,11.91,12.14,11.83,17935000
"Nov 29, 2019",11.78,11.86,11.74,11.76,11.46,7450500
"Nov 27, 2019",11.92,11.93,11.72,11.87,11.56,15572600
"Nov 26, 2019",11.97,12.08,11.83,12.03,11.72,26175800
"Nov 25, 2019",12.02,12.14,11.98,12.03,11.72,18666900
"Nov 22, 2019",11.80,11.93,11.74,11.89,11.58,30538500
"Nov 21, 2019",11.36,11.51,11.27,11.47,11.17,15263700
"Nov 20, 2019",11.31,11.46,11.13,11.26,10.97,12417400
"Nov 19, 2019",11.44,11.48,11.31,11.46,11.16,15658300
"Nov 18, 2019",11.38,11.44,11.28,11.30,11.01,13348100
"Nov 15, 2019",11.35,11.51,11.30,11.46,11.16,12458500
"Nov 14, 2019",11.25,11.35,11.18,11.20,10.91,12915200
"Nov 13, 2019",11.35,11.39,11.18,11.22,10.93,13866800
"Nov 12, 2019",11.52,11.58,11.41,11.50,11.20,20027000
*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.
