Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",28.23,29.40,27.42,27.82,27.82,1974400
"Apr 02, 2020",27.70,28.97,27.41,28.43,28.43,3051900
"Apr 01, 2020",27.61,28.34,27.11,27.43,27.43,2685300
"Mar 31, 2020",27.57,28.62,27.20,27.53,27.53,2977600
"Mar 30, 2020",28.32,29.16,27.17,27.90,27.90,3834500
"Mar 27, 2020",29.18,29.82,27.85,28.14,28.14,4008600
"Mar 26, 2020",29.25,30.29,28.30,29.60,29.60,3017600
"Mar 25, 2020",27.72,29.84,27.07,29.05,29.05,4563500
"Mar 25, 2020",0.1 Dividend,0.1 Dividend,0.1 Dividend,0.1 Dividend,0.1 Dividend,0.1 Dividend
"Mar 24, 2020",27.60,28.45,25.91,27.90,27.80,5334900
"Mar 23, 2020",25.13,26.49,24.77,25.40,25.31,4431600
"Mar 20, 2020",24.96,25.89,23.75,24.14,24.05,3651800
"Mar 19, 2020",25.50,27.18,22.54,23.74,23.65,4359900
"Mar 18, 2020",25.25,28.16,24.38,25.67,25.58,6061300
"Mar 17, 2020",24.12,28.98,24.10,26.72,26.62,6880900
"Mar 16, 2020",18.66,25.62,18.66,24.50,24.41,7923700
"Mar 13, 2020",26.84,27.17,22.93,24.11,24.02,6703300
"Mar 12, 2020",22.41,28.52,22.00,26.52,26.42,5719300
"Mar 11, 2020",28.78,29.75,27.55,27.72,27.62,3547000
"Mar 10, 2020",28.60,30.20,28.46,29.47,29.36,3900700
"Mar 09, 2020",28.78,29.88,28.33,28.44,28.34,3940000
"Mar 06, 2020",30.61,30.78,29.59,30.52,30.41,3930900
"Mar 05, 2020",30.83,30.92,30.26,30.67,30.56,3108100
"Mar 04, 2020",30.81,31.00,30.05,30.62,30.51,3132900
"Mar 03, 2020",29.87,31.25,29.11,30.51,30.40,4655500
"Mar 02, 2020",29.21,29.36,28.48,29.32,29.21,3625900
"Feb 28, 2020",29.15,29.78,27.57,28.50,28.40,6333300
"Feb 27, 2020",32.90,32.99,30.93,30.96,30.85,4409100
"Feb 26, 2020",32.74,33.16,32.44,32.57,32.45,3844100
"Feb 25, 2020",32.65,33.61,32.49,33.15,33.03,5394300
"Feb 24, 2020",34.00,34.00,32.69,33.30,33.18,5078300
"Feb 21, 2020",33.15,33.17,32.62,32.91,32.79,3144300
"Feb 20, 2020",32.15,32.56,31.84,32.42,32.30,2894700
"Feb 19, 2020",31.54,32.20,31.45,32.18,32.06,4125300
"Feb 18, 2020",30.17,31.60,30.15,31.40,31.29,5548800
"Feb 14, 2020",29.05,30.05,28.98,29.99,29.88,2327000
"Feb 13, 2020",29.17,29.33,28.95,29.01,28.91,1526000
"Feb 12, 2020",29.25,29.33,28.82,28.87,28.77,1329900
"Feb 11, 2020",28.99,29.45,28.82,29.44,29.33,1258200
"Feb 10, 2020",28.63,29.16,28.52,29.04,28.94,2151000
"Feb 07, 2020",29.11,29.35,28.54,28.54,28.44,1854100
"Feb 06, 2020",28.50,29.13,28.49,29.07,28.97,1956100
"Feb 05, 2020",28.64,28.88,28.42,28.45,28.35,1182600
"Feb 04, 2020",28.70,28.84,28.37,28.79,28.69,1430000
"Feb 03, 2020",29.28,29.49,28.80,28.92,28.82,2382200
"Jan 31, 2020",28.92,29.58,28.92,29.45,29.34,1856200
"Jan 30, 2020",29.00,29.27,28.63,28.99,28.89,1635700
"Jan 29, 2020",28.76,29.03,28.43,28.79,28.69,2325500
"Jan 28, 2020",29.00,29.33,28.78,28.85,28.75,1667600
"Jan 27, 2020",30.00,30.25,29.17,29.27,29.17,2273300
"Jan 24, 2020",29.22,29.81,29.18,29.72,29.61,1799200
"Jan 23, 2020",28.91,29.65,28.91,29.19,29.09,2185300
"Jan 22, 2020",28.81,29.20,28.75,29.15,29.05,1806700
"Jan 21, 2020",27.90,28.91,27.90,28.86,28.76,3103000
"Jan 17, 2020",28.11,28.56,27.90,28.22,28.12,2325800
"Jan 16, 2020",28.04,28.14,27.79,28.03,27.93,1596600
"Jan 15, 2020",27.80,28.17,27.55,28.15,28.05,2005400
"Jan 14, 2020",27.34,27.78,27.22,27.73,27.63,1864200
"Jan 13, 2020",27.66,27.72,27.43,27.46,27.36,1781700
"Jan 10, 2020",27.96,28.01,27.63,27.77,27.67,1490400
"Jan 09, 2020",27.56,28.16,27.50,27.77,27.67,1538900
"Jan 08, 2020",29.32,29.42,27.96,28.02,27.92,2201900
"Jan 07, 2020",29.18,29.38,28.85,29.36,29.25,1779700
"Jan 06, 2020",30.17,30.20,29.22,29.28,29.18,2011100
"Jan 03, 2020",30.04,30.13,29.38,29.54,29.43,2179500
"Jan 02, 2020",30.15,30.15,29.46,29.71,29.60,1283500
"Dec 31, 2019",30.15,30.31,29.71,29.75,29.64,1284800
"Dec 30, 2019",29.46,30.08,29.45,30.03,29.92,1828800
"Dec 27, 2019",29.76,29.90,29.34,29.49,29.38,1444300
"Dec 26, 2019",29.63,30.19,29.45,29.76,29.65,1812400
"Dec 24, 2019",28.70,29.60,28.60,29.54,29.43,1721900
"Dec 23, 2019",27.47,28.55,27.40,28.50,28.40,2952600
"Dec 20, 2019",28.09,28.19,27.18,27.19,27.09,2980500
"Dec 19, 2019",27.84,28.13,27.67,28.05,27.95,1947400
"Dec 18, 2019",27.25,27.93,27.06,27.89,27.79,1581700
"Dec 17, 2019",27.80,27.89,27.39,27.40,27.30,1731500
"Dec 16, 2019",28.30,28.37,27.61,27.62,27.52,1824900
"Dec 13, 2019",27.49,28.30,27.46,28.19,28.09,2014300
"Dec 12, 2019",28.17,28.32,27.55,27.69,27.59,1330400
"Dec 11, 2019",27.51,27.97,27.42,27.95,27.85,1954000
"Dec 10, 2019",27.26,27.53,27.13,27.50,27.40,1254600
"Dec 09, 2019",27.56,27.56,27.03,27.10,27.00,1688300
"Dec 06, 2019",27.55,27.86,27.26,27.27,27.17,1867900
"Dec 05, 2019",28.08,28.40,28.04,28.06,27.96,1446600
"Dec 04, 2019",28.24,28.50,27.84,28.04,27.94,1214900
"Dec 03, 2019",28.18,28.64,28.02,28.26,28.16,2646600
"Dec 03, 2019",0.09 Dividend,0.09 Dividend,0.09 Dividend,0.09 Dividend,0.09 Dividend,0.09 Dividend
"Dec 02, 2019",27.53,27.98,27.38,27.94,27.75,1480500
"Nov 29, 2019",27.32,27.80,27.28,27.64,27.45,1019500
"Nov 27, 2019",27.40,27.48,27.06,27.27,27.08,1072000
"Nov 26, 2019",26.97,27.69,26.88,27.61,27.42,2109200
"Nov 25, 2019",27.23,27.66,26.94,26.95,26.77,1305500
"Nov 22, 2019",27.55,27.62,27.03,27.36,27.17,1204400
"Nov 21, 2019",27.90,28.03,27.35,27.48,27.29,1834600
"Nov 20, 2019",27.83,28.06,27.45,27.95,27.76,1620500
"Nov 19, 2019",27.92,28.05,27.59,27.80,27.61,2288500
"Nov 18, 2019",26.93,28.02,26.82,28.00,27.81,2326900
"Nov 15, 2019",26.40,27.24,26.11,26.94,26.76,2283300
"Nov 14, 2019",26.85,26.90,26.42,26.46,26.28,2684300
"Nov 13, 2019",26.58,26.85,26.49,26.59,26.41,1486800
*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.
