Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",10.97,11.73,10.45,10.97,10.97,2300
"Apr 02, 2020",11.38,11.48,10.97,10.97,10.97,4700
"Apr 01, 2020",11.70,11.70,10.91,11.38,11.38,3700
"Mar 31, 2020",11.99,12.00,11.19,11.70,11.70,8600
"Mar 30, 2020",12.00,12.00,11.56,11.64,11.64,1100
"Mar 27, 2020",12.40,12.61,12.00,12.17,12.17,2800
"Mar 26, 2020",12.50,13.10,12.49,13.10,13.10,59400
"Mar 25, 2020",11.82,12.74,11.76,12.46,12.46,4900
"Mar 24, 2020",11.29,11.76,11.11,11.72,11.72,3800
"Mar 23, 2020",11.75,11.95,10.83,11.29,11.29,19400
"Mar 20, 2020",12.25,12.50,11.84,11.96,11.96,7300
"Mar 19, 2020",11.40,12.57,11.40,12.40,12.40,27400
"Mar 18, 2020",11.61,13.02,10.98,12.18,12.18,18200
"Mar 17, 2020",11.79,13.32,11.76,12.44,12.44,11300
"Mar 16, 2020",12.65,12.65,10.72,11.32,11.32,8400
"Mar 13, 2020",12.80,13.30,12.80,13.26,13.26,4000
"Mar 12, 2020",13.86,13.86,12.36,12.70,12.70,5900
"Mar 11, 2020",14.28,14.39,14.13,14.13,14.13,5500
"Mar 10, 2020",14.19,14.59,14.19,14.59,14.59,1000
"Mar 09, 2020",14.29,14.29,13.80,13.80,13.80,600
"Mar 06, 2020",15.95,16.09,15.66,15.92,15.92,12400
"Mar 05, 2020",16.75,16.75,16.23,16.23,16.23,2400
"Mar 04, 2020",16.89,17.13,16.87,17.13,17.13,4700
"Mar 03, 2020",16.27,16.83,16.22,16.66,16.66,12800
"Mar 02, 2020",15.67,16.27,15.67,16.22,16.22,16700
"Feb 28, 2020",15.37,15.69,14.77,15.35,15.35,10300
"Feb 27, 2020",16.19,16.20,15.83,15.92,15.92,4300
"Feb 26, 2020",15.93,16.55,15.93,16.29,16.29,7600
"Feb 25, 2020",16.50,16.53,16.21,16.21,16.21,1900
"Feb 24, 2020",16.87,16.87,16.69,16.79,16.79,500
"Feb 21, 2020",17.35,17.42,17.35,17.42,17.42,1900
"Feb 20, 2020",17.94,17.94,17.46,17.52,17.52,2500
"Feb 19, 2020",17.84,17.91,17.84,17.91,17.91,1100
"Feb 18, 2020",17.77,17.82,17.70,17.82,17.82,2700
"Feb 14, 2020",17.94,17.94,17.76,17.79,17.79,2300
"Feb 13, 2020",17.80,17.80,17.61,17.80,17.80,7900
"Feb 12, 2020",17.53,17.79,17.51,17.72,17.72,9300
"Feb 11, 2020",16.50,16.88,16.49,16.78,16.78,5900
"Feb 10, 2020",16.36,16.48,16.32,16.36,16.36,5500
"Feb 07, 2020",16.57,16.71,16.50,16.56,16.56,3600
"Feb 06, 2020",17.19,17.19,16.86,16.86,16.86,4100
"Feb 05, 2020",17.10,17.11,17.09,17.09,17.09,800
"Feb 04, 2020",16.96,17.05,16.96,17.05,17.05,900
"Feb 03, 2020",16.54,16.54,16.54,16.54,16.54,-
"Jan 31, 2020",16.89,16.89,16.50,16.54,16.54,13500
"Jan 30, 2020",17.07,17.07,17.00,17.07,17.07,1900
"Jan 29, 2020",16.76,17.25,16.76,17.25,17.25,9100
"Jan 28, 2020",16.27,16.67,16.27,16.67,16.67,600
"Jan 27, 2020",16.32,16.32,16.06,16.08,16.08,3100
"Jan 24, 2020",16.36,16.59,16.36,16.59,16.59,1900
"Jan 23, 2020",16.46,16.50,16.46,16.50,16.50,700
"Jan 22, 2020",16.60,16.68,16.43,16.43,16.43,2200
"Jan 21, 2020",16.57,16.57,16.41,16.41,16.41,3400
"Jan 17, 2020",16.30,16.49,16.27,16.49,16.49,4600
"Jan 16, 2020",15.86,16.13,15.86,16.10,16.10,3300
"Jan 15, 2020",15.75,15.88,15.71,15.74,15.74,2900
"Jan 14, 2020",15.81,15.81,15.54,15.78,15.78,4300
"Jan 13, 2020",15.82,16.00,15.82,16.00,16.00,3500
"Jan 10, 2020",15.93,16.00,15.91,15.91,15.91,3100
"Jan 09, 2020",15.77,15.81,15.75,15.78,15.78,1800
"Jan 08, 2020",15.94,15.94,15.74,15.81,15.81,6500
"Jan 07, 2020",15.96,16.04,15.80,15.92,15.92,7400
"Jan 06, 2020",16.20,16.32,16.17,16.17,16.17,6500
"Jan 03, 2020",15.87,16.25,15.87,16.11,16.11,1800
"Jan 02, 2020",16.00,16.15,15.98,16.08,16.08,8900
"Dec 31, 2019",15.60,15.95,15.60,15.90,15.90,10700
"Dec 30, 2019",16.15,16.16,15.86,15.86,15.86,7200
"Dec 27, 2019",16.03,16.31,16.03,16.11,16.11,4900
"Dec 26, 2019",16.17,16.17,15.99,15.99,15.99,2800
"Dec 24, 2019",15.94,15.98,15.93,15.93,15.93,1300
"Dec 23, 2019",15.98,16.06,15.88,16.06,16.06,6800
"Dec 20, 2019",15.80,16.12,15.80,16.00,16.00,5200
"Dec 19, 2019",16.05,16.05,15.94,15.94,15.94,3300
"Dec 18, 2019",15.56,16.00,15.56,16.00,16.00,14900
"Dec 17, 2019",15.53,15.53,15.51,15.53,15.53,900
"Dec 16, 2019",15.81,15.81,15.65,15.68,15.68,3000
"Dec 13, 2019",15.52,15.64,15.52,15.64,15.64,1700
"Dec 12, 2019",15.22,15.61,15.22,15.47,15.47,3900
"Dec 11, 2019",14.98,15.39,14.98,15.39,15.39,8400
"Dec 10, 2019",14.81,15.16,14.81,15.14,15.14,11900
"Dec 09, 2019",14.85,15.12,14.84,14.90,14.90,14700
"Dec 06, 2019",15.00,15.03,14.86,14.92,14.92,15500
"Dec 05, 2019",15.09,15.10,15.09,15.10,15.10,2100
"Dec 04, 2019",14.78,14.95,14.78,14.90,14.90,8500
"Dec 03, 2019",14.73,14.90,14.73,14.90,14.90,1000
"Dec 02, 2019",14.85,15.15,14.85,14.95,14.95,13400
"Nov 29, 2019",15.33,15.37,15.10,15.11,15.11,2300
"Nov 27, 2019",15.15,15.49,14.04,15.41,15.41,52400
"Nov 26, 2019",15.29,15.37,15.27,15.37,15.37,600
"Nov 25, 2019",15.52,15.74,15.51,15.51,15.51,2000
"Nov 22, 2019",15.54,15.68,15.50,15.68,15.68,4200
"Nov 21, 2019",15.46,15.59,15.46,15.58,15.58,3700
"Nov 20, 2019",15.38,15.53,15.38,15.46,15.46,800
"Nov 19, 2019",15.98,15.98,15.39,15.51,15.51,7200
"Nov 18, 2019",15.99,15.99,15.68,15.82,15.82,4500
"Nov 15, 2019",15.50,15.87,15.50,15.84,15.84,3800
"Nov 14, 2019",15.58,15.63,15.52,15.63,15.63,700
"Nov 13, 2019",15.48,15.63,15.45,15.63,15.63,8400
"Nov 12, 2019",15.77,15.81,15.54,15.54,15.54,1300
"Nov 11, 2019",15.95,15.95,15.75,15.82,15.82,5100
*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.
