Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",11.21,11.34,10.69,10.82,10.82,2821000
"Apr 02, 2020",11.30,11.67,11.21,11.34,11.34,4598000
"Apr 01, 2020",11.39,11.52,11.03,11.27,11.27,5555600
"Mar 31, 2020",11.99,12.22,11.72,11.78,11.78,6167000
"Mar 30, 2020",12.31,12.38,11.63,11.91,11.91,4459000
"Mar 27, 2020",12.64,12.83,12.07,12.18,12.18,3734200
"Mar 26, 2020",12.53,13.28,12.53,13.04,13.04,4615400
"Mar 25, 2020",12.08,13.03,11.93,12.56,12.56,3968100
"Mar 24, 2020",11.86,12.08,11.63,11.92,11.92,4696200
"Mar 23, 2020",12.00,12.56,11.07,11.47,11.47,5221500
"Mar 20, 2020",12.51,12.80,12.05,12.07,12.07,3341500
"Mar 19, 2020",12.48,12.90,12.15,12.65,12.65,4343200
"Mar 18, 2020",12.42,13.83,12.00,12.95,12.95,5557600
"Mar 17, 2020",12.05,13.49,11.86,13.28,13.28,3172700
"Mar 16, 2020",12.19,12.54,11.66,11.82,11.82,2932300
"Mar 13, 2020",13.59,13.69,13.14,13.62,13.62,4139500
"Mar 12, 2020",13.44,13.50,12.37,12.95,12.95,5448700
"Mar 11, 2020",14.16,14.59,14.03,14.40,14.40,4330200
"Mar 10, 2020",14.23,14.82,14.16,14.63,14.63,3036900
"Mar 09, 2020",14.52,14.74,13.87,13.89,13.89,3291800
"Mar 06, 2020",15.96,16.22,15.73,15.96,15.96,4050200
"Mar 05, 2020",16.86,16.91,16.24,16.44,16.44,2746900
"Mar 04, 2020",17.01,17.32,16.96,17.29,17.29,2756200
"Mar 03, 2020",16.48,16.97,16.36,16.74,16.74,9130700
"Mar 02, 2020",15.90,16.56,15.83,16.56,16.56,3686700
"Feb 28, 2020",15.50,15.93,14.93,15.88,15.88,6475500
"Feb 27, 2020",16.12,16.50,15.89,15.91,15.91,4118500
"Feb 26, 2020",16.33,16.75,16.25,16.45,16.45,4009900
"Feb 25, 2020",16.92,16.92,16.34,16.34,16.34,2507200
"Feb 24, 2020",17.01,17.15,16.64,16.76,16.76,3120700
"Feb 21, 2020",17.52,17.74,17.40,17.58,17.58,2683600
"Feb 20, 2020",17.94,17.94,17.55,17.60,17.60,3158700
"Feb 19, 2020",17.94,18.04,17.81,18.00,18.00,1978800
"Feb 18, 2020",17.81,18.03,17.74,17.84,17.84,2191700
"Feb 14, 2020",18.00,18.03,17.89,17.98,17.98,1666200
"Feb 13, 2020",17.81,17.95,17.72,17.89,17.89,3028800
"Feb 12, 2020",17.10,18.00,17.02,17.92,17.92,6608100
"Feb 11, 2020",16.58,17.06,16.54,16.94,16.94,2720000
"Feb 10, 2020",16.60,16.71,16.45,16.48,16.48,1891800
"Feb 07, 2020",16.83,16.88,16.60,16.71,16.71,1960300
"Feb 06, 2020",17.27,17.27,16.82,16.87,16.87,2097700
"Feb 05, 2020",17.34,17.42,17.11,17.18,17.18,4471600
"Feb 04, 2020",17.00,17.24,16.83,17.17,17.17,5241800
"Feb 03, 2020",16.77,17.00,16.77,16.96,16.96,2469800
"Jan 31, 2020",17.12,17.12,16.64,16.68,16.68,5939500
"Jan 30, 2020",17.06,17.24,17.00,17.12,17.12,6341700
"Jan 29, 2020",16.83,17.33,16.78,17.26,17.26,9230400
"Jan 28, 2020",16.28,16.84,16.27,16.83,16.83,3809200
"Jan 27, 2020",16.38,16.47,16.05,16.19,16.19,5451500
"Jan 24, 2020",16.65,16.71,16.60,16.68,16.68,4093900
"Jan 23, 2020",16.51,16.70,16.43,16.66,16.66,4121100
"Jan 22, 2020",16.66,16.72,16.52,16.57,16.57,1700100
"Jan 21, 2020",16.53,16.65,16.51,16.55,16.55,2930300
"Jan 17, 2020",16.26,16.57,16.24,16.53,16.53,1807000
"Jan 16, 2020",15.82,16.28,15.82,16.27,16.27,3210100
"Jan 15, 2020",15.79,15.93,15.73,15.75,15.75,2093100
"Jan 14, 2020",15.96,16.02,15.69,15.81,15.81,1835300
"Jan 13, 2020",15.99,16.05,15.83,15.98,15.98,1178500
"Jan 10, 2020",15.95,16.11,15.88,16.02,16.02,1709300
"Jan 09, 2020",15.93,15.98,15.76,15.88,15.88,1586000
"Jan 08, 2020",15.93,15.99,15.80,15.86,15.86,1502100
"Jan 07, 2020",16.23,16.24,15.91,15.92,15.92,1443700
"Jan 06, 2020",16.21,16.35,16.12,16.16,16.16,1288100
"Jan 03, 2020",16.06,16.33,16.00,16.24,16.24,1362900
"Jan 02, 2020",16.07,16.26,16.04,16.26,16.26,1454800
"Dec 31, 2019",16.03,16.13,15.96,16.00,16.00,1052700
"Dec 30, 2019",16.29,16.33,15.98,16.07,16.07,1931100
"Dec 27, 2019",16.18,16.39,16.18,16.31,16.31,737200
"Dec 26, 2019",16.09,16.22,16.06,16.17,16.17,897900
"Dec 24, 2019",16.06,16.10,15.99,16.02,16.02,529600
"Dec 23, 2019",16.06,16.12,15.98,16.06,16.06,1323900
"Dec 20, 2019",16.10,16.20,16.00,16.07,16.07,2565300
"Dec 19, 2019",16.08,16.10,15.93,16.02,16.02,2179100
"Dec 18, 2019",15.54,16.08,15.54,16.06,16.06,5482200
"Dec 17, 2019",15.71,15.72,15.41,15.54,15.54,1540700
"Dec 16, 2019",15.80,15.87,15.65,15.67,15.67,2005800
"Dec 13, 2019",15.54,15.81,15.51,15.74,15.74,1622000
"Dec 12, 2019",15.37,15.59,15.34,15.47,15.47,2206600
"Dec 11, 2019",15.17,15.43,15.11,15.37,15.37,4841500
"Dec 10, 2019",15.00,15.18,14.95,15.14,15.14,3453100
"Dec 09, 2019",15.06,15.20,14.98,14.99,14.99,1735000
"Dec 06, 2019",15.12,15.20,14.95,15.06,15.06,1240000
"Dec 05, 2019",15.00,15.19,14.99,15.15,15.15,1968500
"Dec 04, 2019",14.93,15.02,14.89,15.00,15.00,3239600
"Dec 03, 2019",14.90,14.97,14.83,14.88,14.88,1829700
"Dec 02, 2019",15.24,15.29,14.98,14.99,14.99,2516900
"Nov 29, 2019",15.39,15.39,15.21,15.29,15.29,1026500
"Nov 27, 2019",15.40,15.45,15.28,15.40,15.40,1807000
"Nov 26, 2019",15.41,15.57,15.28,15.45,15.45,4570300
"Nov 25, 2019",15.64,15.72,15.59,15.66,15.66,2024100
"Nov 22, 2019",15.67,15.77,15.62,15.68,15.68,1985900
"Nov 21, 2019",15.72,15.72,15.49,15.64,15.64,1567700
"Nov 20, 2019",15.48,15.71,15.44,15.62,15.62,1054300
"Nov 19, 2019",15.69,15.70,15.43,15.54,15.54,2319300
"Nov 18, 2019",15.88,15.88,15.61,15.61,15.61,1266200
"Nov 15, 2019",15.86,15.93,15.79,15.86,15.86,1334900
"Nov 14, 2019",15.54,15.75,15.48,15.75,15.75,1603600
"Nov 13, 2019",15.54,15.67,15.50,15.60,15.60,1637600
"Nov 12, 2019",15.97,15.97,15.66,15.68,15.68,2795000
"Nov 11, 2019",15.86,16.04,15.82,16.00,16.00,1815200
*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.
