Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",61.26,61.72,58.77,59.98,59.98,7149500
"Apr 02, 2020",58.27,61.09,58.01,60.78,60.78,8032900
"Apr 01, 2020",58.00,59.61,57.06,57.50,57.50,7315500
"Mar 31, 2020",58.04,60.10,57.83,59.48,59.48,10128800
"Mar 30, 2020",58.34,59.75,57.51,58.47,58.47,9311300
"Mar 27, 2020",56.55,58.63,55.76,56.96,56.96,8513700
"Mar 26, 2020",53.06,57.78,53.06,57.72,57.72,9991800
"Mar 25, 2020",55.01,55.71,52.52,52.87,52.87,11194700
"Mar 24, 2020",58.34,61.25,53.82,54.43,54.43,14885500
"Mar 23, 2020",52.81,57.66,52.33,56.47,56.47,19601600
"Mar 20, 2020",55.25,55.60,51.38,52.05,52.05,12916100
"Mar 19, 2020",55.62,58.16,53.72,54.13,54.13,10151200
"Mar 18, 2020",53.00,58.22,52.05,55.59,55.59,14550100
"Mar 17, 2020",53.66,57.00,50.51,56.16,56.16,10799600
"Mar 16, 2020",53.11,57.07,52.48,52.76,52.76,10456800
"Mar 13, 2020",57.00,59.05,53.10,59.04,59.04,9943000
"Mar 12, 2020",55.10,57.49,52.83,54.56,54.56,11644200
"Mar 11, 2020",58.75,60.46,58.40,59.33,59.33,10530100
"Mar 10, 2020",59.45,61.12,57.93,60.71,60.71,15378100
"Mar 09, 2020",56.60,59.12,55.40,57.35,57.35,13169500
"Mar 06, 2020",59.65,60.88,58.36,59.97,59.97,9745200
"Mar 05, 2020",60.78,62.30,60.34,61.52,61.52,6978500
"Mar 04, 2020",60.00,62.59,59.59,62.55,62.55,7306400
"Mar 03, 2020",60.56,61.82,58.14,58.75,58.75,9825900
"Mar 02, 2020",58.30,60.65,57.91,60.59,60.59,9483100
"Feb 28, 2020",56.29,58.18,55.92,58.13,58.13,10456000
"Feb 27, 2020",57.80,60.29,57.52,58.33,58.33,9014200
"Feb 26, 2020",59.74,60.50,58.96,59.37,59.37,8272700
"Feb 25, 2020",61.80,62.02,59.31,59.51,59.51,10451800
"Feb 24, 2020",61.21,63.20,61.01,62.31,62.31,6102000
"Feb 21, 2020",63.82,63.93,63.07,63.38,63.38,3476700
"Feb 20, 2020",64.02,64.53,62.93,64.00,64.00,4219700
"Feb 19, 2020",64.00,64.43,63.79,64.37,64.37,4865900
"Feb 18, 2020",63.36,64.12,63.26,63.74,63.74,5317900
"Feb 14, 2020",62.69,63.54,62.31,63.52,63.52,4242400
"Feb 13, 2020",62.25,62.94,62.00,62.59,62.59,3642400
"Feb 12, 2020",61.50,63.12,61.44,62.80,62.80,5244200
"Feb 11, 2020",61.93,61.93,60.58,61.19,61.19,5350300
"Feb 10, 2020",61.42,61.95,60.77,61.63,61.63,5279300
"Feb 07, 2020",61.33,62.84,60.38,61.53,61.53,12936000
"Feb 06, 2020",59.19,60.64,59.00,60.26,60.26,9591500
"Feb 05, 2020",60.14,60.14,58.44,58.85,58.85,5985900
"Feb 04, 2020",58.86,59.38,57.37,59.21,59.21,6653700
"Feb 03, 2020",58.64,58.90,58.09,58.21,58.21,4825200
"Jan 31, 2020",60.20,60.30,58.35,58.48,58.48,8184200
"Jan 30, 2020",59.92,60.90,59.92,60.89,60.89,5287100
"Jan 29, 2020",60.49,60.57,59.90,60.40,60.40,4338900
"Jan 28, 2020",58.79,60.37,58.61,60.03,60.03,5644300
"Jan 27, 2020",58.19,58.69,57.78,58.32,58.32,6420000
"Jan 24, 2020",60.22,60.35,58.95,59.40,59.40,7688800
"Jan 23, 2020",60.32,60.55,60.06,60.13,60.13,5297200
"Jan 22, 2020",61.65,61.90,60.24,60.32,60.32,6110200
"Jan 21, 2020",61.00,61.64,60.81,61.42,61.42,6914100
"Jan 17, 2020",60.61,61.28,60.44,61.24,61.24,8752800
"Jan 16, 2020",60.00,60.45,59.72,60.43,60.43,7185600
"Jan 15, 2020",60.05,60.45,59.28,59.64,59.64,5703200
"Jan 14, 2020",59.58,60.58,58.91,60.05,60.05,7310500
"Jan 13, 2020",59.12,59.58,58.82,59.24,59.24,4529600
"Jan 10, 2020",59.76,59.76,58.73,58.95,58.95,4424300
"Jan 09, 2020",60.24,60.43,58.86,59.34,59.34,7766600
"Jan 08, 2020",60.00,60.89,59.85,59.88,59.88,5021500
