Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",40.42,40.88,39.94,40.43,40.43,1551700
"Apr 02, 2020",38.74,40.50,38.70,40.41,40.41,2242100
"Apr 01, 2020",39.75,39.88,38.41,38.88,38.88,2188600
"Mar 31, 2020",38.64,40.98,38.22,40.86,40.86,2671800
"Mar 30, 2020",38.46,39.08,37.73,38.97,38.97,2617800
"Mar 27, 2020",38.05,39.57,37.70,38.41,38.41,1505700
"Mar 26, 2020",38.19,40.01,37.98,39.04,39.04,2140500
"Mar 25, 2020",35.41,39.03,34.95,37.69,37.69,2468500
"Mar 24, 2020",33.29,35.09,33.18,35.06,35.06,1771200
"Mar 23, 2020",35.45,35.82,31.66,31.96,31.96,2713300
"Mar 20, 2020",37.94,38.64,35.82,35.90,35.90,1816600
"Mar 19, 2020",35.65,37.79,35.20,37.63,37.63,2208900
"Mar 18, 2020",36.23,37.91,35.06,36.06,36.06,2374100
"Mar 17, 2020",36.55,39.36,36.25,37.81,37.81,2611600
"Mar 16, 2020",37.00,39.23,35.35,36.19,36.19,2397000
"Mar 13, 2020",37.88,40.68,36.66,40.67,40.67,1983100
"Mar 13, 2020",0.598 Dividend,0.598 Dividend,0.598 Dividend,0.598 Dividend,0.598 Dividend,0.598 Dividend
"Mar 12, 2020",39.98,39.98,36.51,36.80,36.20,2317600
"Mar 11, 2020",43.48,43.54,41.84,42.16,41.47,1839400
"Mar 10, 2020",43.12,44.22,42.40,44.08,43.36,2568000
"Mar 09, 2020",44.04,45.11,41.89,42.16,41.47,2502000
"Mar 06, 2020",45.94,46.64,45.44,46.53,45.77,1343500
"Mar 05, 2020",46.70,47.68,46.37,46.74,45.98,1555300
"Mar 04, 2020",46.84,47.57,46.73,47.51,46.74,1196500
"Mar 03, 2020",46.68,46.99,46.02,46.22,45.47,1896000
"Mar 02, 2020",44.44,46.61,44.06,46.50,45.74,1740100
"Feb 28, 2020",44.88,45.25,43.78,44.33,43.61,2143700
"Feb 27, 2020",46.50,46.74,45.59,45.59,44.85,1930000
"Feb 26, 2020",47.10,47.63,46.84,46.88,46.12,3381200
"Feb 25, 2020",48.21,48.29,47.11,47.30,46.53,1843700
"Feb 24, 2020",47.98,48.48,47.86,48.11,47.33,1250600
"Feb 21, 2020",48.87,49.16,48.73,48.83,48.04,2868300
"Feb 20, 2020",48.95,49.24,48.89,48.98,48.18,688700
"Feb 19, 2020",49.26,49.26,48.94,49.18,48.38,688500
"Feb 18, 2020",48.42,49.23,48.41,49.18,48.38,858800
"Feb 14, 2020",48.39,48.57,48.23,48.55,47.76,476500
"Feb 13, 2020",48.49,48.53,48.28,48.37,47.58,921800
"Feb 12, 2020",48.29,48.66,48.18,48.62,47.83,607400
"Feb 11, 2020",48.55,48.69,48.26,48.28,47.50,890000
"Feb 10, 2020",48.28,48.49,48.01,48.45,47.66,656300
"Feb 07, 2020",48.27,48.32,48.10,48.28,47.50,630500
"Feb 06, 2020",47.63,48.66,47.61,48.31,47.52,903600
"Feb 05, 2020",47.35,47.43,47.20,47.40,46.63,553000
"Feb 04, 2020",47.15,47.36,47.02,47.21,46.44,547100
"Feb 03, 2020",47.36,47.39,46.88,46.90,46.14,620800
"Jan 31, 2020",47.51,47.51,46.96,47.12,46.35,832300
"Jan 30, 2020",47.29,47.63,47.18,47.61,46.84,727800
"Jan 29, 2020",47.94,48.06,47.51,47.53,46.76,690800
"Jan 28, 2020",47.54,48.00,47.54,47.97,47.19,472700
"Jan 27, 2020",47.10,47.69,47.10,47.53,46.76,646100
"Jan 24, 2020",47.72,47.91,47.39,47.51,46.74,551400
