Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",32.59,32.65,31.77,32.39,32.39,111200
"Apr 02, 2020",30.53,31.14,30.30,31.07,31.07,169600
"Apr 01, 2020",29.83,30.18,29.36,29.46,29.46,112500
"Mar 31, 2020",30.20,30.77,30.20,30.52,30.52,115700
"Mar 30, 2020",29.87,30.41,29.66,30.20,30.20,170700
"Mar 27, 2020",29.50,29.76,29.29,29.40,29.40,106300
"Mar 26, 2020",29.95,30.33,29.63,30.18,30.18,135100
"Mar 25, 2020",30.37,30.99,30.05,30.44,30.44,121400
"Mar 24, 2020",30.18,30.66,29.51,30.65,30.65,147000
"Mar 23, 2020",27.87,27.97,27.06,27.44,27.44,124400
"Mar 20, 2020",29.22,29.28,28.05,28.17,28.17,168400
"Mar 19, 2020",26.98,27.32,26.66,26.77,26.77,219700
"Mar 18, 2020",28.27,28.27,27.09,27.69,27.69,163300
"Mar 17, 2020",29.40,29.95,28.90,29.56,29.56,142500
"Mar 16, 2020",31.04,31.20,29.12,29.12,29.12,228600
"Mar 13, 2020",32.80,32.80,31.73,32.63,32.63,157400
"Mar 12, 2020",32.62,32.62,31.32,31.51,31.51,157400
"Mar 11, 2020",35.53,35.94,34.91,35.03,35.03,154700
"Mar 10, 2020",36.60,36.93,35.88,36.87,36.87,120200
"Mar 09, 2020",36.24,36.82,35.91,36.10,36.10,115200
"Mar 06, 2020",37.64,37.76,37.33,37.49,37.49,167300
"Mar 05, 2020",37.78,38.48,37.78,38.06,38.06,198800
"Mar 04, 2020",38.07,38.57,37.98,38.51,38.51,116300
"Mar 03, 2020",38.16,38.51,37.59,37.72,37.72,206800
"Mar 02, 2020",38.17,38.54,37.81,38.50,38.50,133800
"Feb 28, 2020",37.40,38.03,36.92,37.87,37.87,148600
"Feb 27, 2020",38.49,38.49,37.55,37.70,37.70,117600
"Feb 26, 2020",38.83,38.93,38.45,38.62,38.62,125000
"Feb 25, 2020",38.99,38.99,37.90,38.00,38.00,211900
"Feb 24, 2020",39.89,39.90,39.33,39.49,39.49,77500
"Feb 21, 2020",40.69,41.01,40.52,40.75,40.75,74000
"Feb 20, 2020",40.60,40.77,40.47,40.60,40.60,52100
"Feb 19, 2020",40.51,40.95,40.51,40.60,40.60,62800
"Feb 18, 2020",40.17,40.29,40.11,40.26,40.26,37200
"Feb 14, 2020",40.20,40.30,40.05,40.21,40.21,35000
"Feb 13, 2020",40.13,40.20,40.00,40.00,40.00,32500
