Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",39.08,39.29,38.67,39.11,39.11,1463300
"Apr 02, 2020",37.50,38.14,37.22,38.06,38.06,1427300
"Apr 01, 2020",36.95,37.15,36.08,36.13,36.13,1060600
"Mar 31, 2020",37.04,38.04,37.03,37.67,37.67,1125600
"Mar 30, 2020",36.27,36.94,35.86,36.82,36.82,2120600
"Mar 27, 2020",36.00,36.48,35.71,35.74,35.74,2077100
"Mar 26, 2020",36.46,37.42,36.33,37.42,37.42,2152000
"Mar 25, 2020",36.44,37.51,35.96,36.44,36.44,4268100
"Mar 24, 2020",37.00,37.54,36.75,37.37,37.37,1884300
"Mar 23, 2020",34.69,35.27,34.18,34.87,34.87,1950600
"Mar 20, 2020",34.60,35.69,33.98,34.12,34.12,2292900
"Mar 19, 2020",30.80,31.80,30.12,31.30,31.30,2099100
"Mar 18, 2020",31.25,31.77,30.58,31.31,31.31,1677900
"Mar 17, 2020",32.73,33.53,32.14,33.36,33.36,1923600
"Mar 16, 2020",31.25,33.45,31.25,32.42,32.42,2149600
"Mar 13, 2020",34.85,34.85,33.06,34.45,34.45,2948700
"Mar 12, 2020",34.96,35.23,33.81,33.89,33.89,2773400
"Mar 11, 2020",37.30,37.30,36.60,36.71,36.71,2192600
"Mar 10, 2020",37.84,38.57,37.58,38.52,38.52,3106600
"Mar 09, 2020",37.58,37.83,36.36,37.14,37.14,2430700
"Mar 06, 2020",39.00,39.10,38.57,38.91,38.91,1647700
"Mar 05, 2020",39.81,39.97,39.53,39.72,39.72,1590400
"Mar 04, 2020",39.78,40.13,39.65,40.10,40.10,1918800
"Mar 03, 2020",39.40,39.86,39.03,39.11,39.11,2387900
"Mar 02, 2020",39.53,39.74,39.20,39.68,39.68,1792500
"Feb 28, 2020",38.97,39.84,38.66,39.82,39.82,1661800
"Feb 27, 2020",40.35,40.53,39.90,40.08,40.08,1588500
"Feb 26, 2020",40.76,41.31,40.72,40.84,40.84,1671600
"Feb 25, 2020",41.49,41.49,40.92,41.01,41.01,1295300
"Feb 24, 2020",41.50,41.71,41.42,41.56,41.56,1298200
"Feb 21, 2020",42.71,42.74,42.43,42.50,42.50,847700
"Feb 20, 2020",42.97,43.02,42.62,42.86,42.86,1348100
