Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",35.34,35.59,35.20,35.52,35.52,190200
"Apr 02, 2020",35.01,35.68,34.93,35.63,35.63,436700
"Apr 01, 2020",35.33,35.77,35.33,35.39,35.39,155200
"Mar 31, 2020",35.46,35.86,35.46,35.57,35.57,143600
"Mar 30, 2020",35.21,35.54,35.21,35.46,35.46,147400
"Mar 27, 2020",35.36,35.65,35.31,35.43,35.43,145000
"Mar 26, 2020",35.75,36.08,35.58,36.05,36.05,136400
"Mar 25, 2020",35.94,36.23,35.64,35.70,35.70,164000
"Mar 24, 2020",35.65,36.06,35.50,36.06,36.06,190100
"Mar 23, 2020",35.12,35.37,34.72,34.81,34.81,193200
"Mar 20, 2020",35.45,35.70,35.14,35.30,35.30,187100
"Mar 19, 2020",34.95,35.63,34.95,35.23,35.23,305400
"Mar 18, 2020",35.14,35.21,34.46,34.89,34.89,403600
"Mar 17, 2020",35.40,36.57,35.39,36.38,36.38,431000
"Mar 16, 2020",35.06,35.69,34.72,35.19,35.19,424000
"Mar 13, 2020",35.82,36.10,35.32,36.00,36.00,301300
"Mar 12, 2020",35.43,35.65,34.95,35.34,35.34,211300
"Mar 11, 2020",36.02,36.34,35.97,36.13,36.13,129700
"Mar 10, 2020",36.20,36.52,35.92,36.52,36.52,101600
"Mar 09, 2020",35.06,36.11,35.06,35.91,35.91,110000
"Mar 06, 2020",36.30,36.57,36.28,36.53,36.53,115300
"Mar 05, 2020",36.54,36.84,36.54,36.72,36.72,89600
"Mar 04, 2020",36.33,36.83,36.33,36.82,36.82,84700
"Mar 03, 2020",36.41,36.44,36.10,36.28,36.28,94800
"Mar 02, 2020",35.67,36.31,35.67,36.31,36.31,146500
"Feb 28, 2020",35.03,35.22,34.90,35.16,35.16,157400
"Feb 27, 2020",35.47,35.63,35.33,35.42,35.42,67600
"Feb 26, 2020",35.66,35.72,35.42,35.57,35.57,93400
"Feb 25, 2020",35.75,35.85,35.40,35.40,35.40,107600
"Feb 24, 2020",35.65,35.71,35.43,35.43,35.43,66800
"Feb 21, 2020",35.96,36.17,35.94,35.95,35.95,51500
"Feb 20, 2020",36.28,36.29,36.03,36.05,36.05,58500
"Feb 19, 2020",36.40,36.66,36.35,36.62,36.62,50700
"Feb 18, 2020",36.18,36.36,36.18,36.33,36.33,39900
"Feb 14, 2020",36.32,36.32,36.10,36.10,36.10,43200
"Feb 13, 2020",36.07,36.35,36.07,36.35,36.35,68300
"Feb 12, 2020",36.01,36.13,36.01,36.02,36.02,52400
"Feb 11, 2020",36.19,36.20,36.01,36.03,36.03,36500
"Feb 10, 2020",36.01,36.18,35.94,36.17,36.17,24600
"Feb 07, 2020",35.96,36.00,35.89,36.00,36.00,41500
"Feb 06, 2020",36.07,36.07,35.94,35.95,35.95,37100
"Feb 05, 2020",36.06,36.20,35.94,35.95,35.95,67300
"Feb 04, 2020",35.90,36.04,35.90,35.92,35.92,129300
"Feb 03, 2020",35.68,35.80,35.55,35.70,35.70,57300
"Jan 31, 2020",35.89,35.89,35.36,35.76,35.76,91900
"Jan 30, 2020",35.72,36.01,35.72,35.97,35.97,72900
"Jan 29, 2020",36.10,36.13,35.87,35.87,35.87,34300
"Jan 28, 2020",35.79,36.06,35.67,36.06,36.06,59200
"Jan 27, 2020",35.83,36.12,35.28,35.84,35.84,53600
"Jan 24, 2020",36.11,36.34,36.02,36.14,36.14,38100
"Jan 23, 2020",36.60,36.68,36.16,36.17,36.17,48100
"Jan 22, 2020",36.60,36.60,36.28,36.44,36.44,54600
"Jan 21, 2020",36.48,36.55,36.41,36.48,36.48,41300
"Jan 17, 2020",36.48,36.57,36.41,36.52,36.52,24300
"Jan 16, 2020",36.50,36.73,36.34,36.49,36.49,46700
"Jan 15, 2020",36.50,36.58,36.32,36.35,36.35,47000
"Jan 14, 2020",36.57,36.71,36.50,36.53,36.53,47500
"Jan 13, 2020",36.40,36.79,36.40,36.71,36.71,78100
"Jan 10, 2020",36.46,36.84,36.21,36.21,36.21,62800
"Jan 09, 2020",36.85,36.85,36.63,36.73,36.73,28900
"Jan 08, 2020",36.48,36.71,36.42,36.65,36.65,52400
