Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",433.24,440.62,425.99,433.80,433.80,1027900
"Apr 02, 2020",420.26,436.88,418.01,435.66,435.66,1377200
"Apr 01, 2020",418.30,434.83,413.39,424.03,424.03,1360900
"Mar 31, 2020",443.77,449.17,432.06,436.31,436.31,2072800
"Mar 30, 2020",440.74,454.51,440.74,450.78,450.78,2043900
"Mar 27, 2020",439.01,456.40,434.90,439.70,439.70,1909800
"Mar 26, 2020",424.47,460.54,422.05,454.17,454.17,2182700
"Mar 25, 2020",416.01,441.00,408.54,420.77,420.77,2222800
"Mar 24, 2020",396.52,421.21,396.52,419.40,419.40,2817600
"Mar 23, 2020",371.00,399.99,364.67,381.78,381.78,2462500
"Mar 20, 2020",394.81,404.56,370.00,371.70,371.70,3322200
"Mar 19, 2020",379.57,414.40,372.94,393.06,393.06,2466800
"Mar 18, 2020",374.78,390.75,345.67,381.52,381.52,4954800
"Mar 17, 2020",397.47,406.63,388.23,393.02,393.02,3736000
"Mar 16, 2020",414.98,418.38,388.13,389.11,389.11,3274200
"Mar 13, 2020",446.48,454.52,413.66,454.19,454.19,3147600
"Mar 12, 2020",434.00,446.74,421.86,427.54,427.54,3459100
"Mar 11, 2020",466.82,477.00,443.92,450.65,450.65,3023500
"Mar 10, 2020",467.80,477.87,460.36,476.76,476.76,2660500
"Mar 09, 2020",466.58,478.62,460.74,463.21,463.21,2565900
"Mar 06, 2020",486.84,498.62,480.65,496.72,496.72,2145300
"Mar 05, 2020",514.34,522.76,501.23,505.14,505.14,4485300
"Mar 04, 2020",502.38,524.65,498.81,522.84,522.84,2014000
"Mar 03, 2020",489.18,505.50,489.18,495.03,495.03,2884900
"Mar 02, 2020",494.47,500.70,490.34,497.13,497.13,2951700
"Feb 28, 2020",500.70,509.88,485.46,493.17,493.17,3590000
"Feb 27, 2020",513.21,520.49,507.51,508.55,508.55,2609100
"Feb 26, 2020",524.78,527.50,516.68,518.09,518.09,1617800
"Feb 25, 2020",530.84,534.83,517.01,517.99,517.99,1698000
"Feb 24, 2020",529.80,534.00,525.59,528.70,528.70,1410600
"Feb 21, 2020",537.34,538.43,529.24,535.34,535.34,1243500
"Feb 20, 2020",542.01,544.09,532.09,539.22,539.22,1049400
"Feb 19, 2020",539.73,546.54,536.94,542.46,542.46,1041500
"Feb 18, 2020",535.25,538.70,533.38,537.60,537.60,739500
"Feb 14, 2020",532.49,536.25,532.20,534.89,534.89,658200
"Feb 13, 2020",534.12,536.25,532.55,534.73,534.73,709400
"Feb 12, 2020",531.49,535.42,528.63,534.00,534.00,891300
"Feb 11, 2020",531.00,532.30,524.01,530.94,530.94,1098100
"Feb 10, 2020",525.75,531.75,524.42,530.34,530.34,1252900
"Feb 07, 2020",526.11,526.55,521.34,525.21,525.21,753600
"Feb 06, 2020",524.86,529.46,522.92,526.56,526.56,830700
"Feb 05, 2020",522.00,530.53,521.03,522.18,522.18,1819300
"Feb 04, 2020",528.85,532.65,519.85,531.75,531.75,1596200
"Feb 03, 2020",522.84,537.54,522.69,532.05,532.05,1666700
"Jan 31, 2020",504.76,521.69,495.00,517.46,517.46,2053600
"Jan 30, 2020",486.88,494.33,484.96,492.98,492.98,1067200
"Jan 29, 2020",498.32,499.07,487.82,490.74,490.74,1208800
"Jan 28, 2020",501.73,507.45,498.81,499.34,499.34,1326700
"Jan 27, 2020",499.14,507.36,497.42,504.08,504.08,1930900
"Jan 24, 2020",512.63,514.26,503.90,504.67,504.67,1183000
"Jan 23, 2020",509.63,516.70,505.45,513.14,513.14,1182300
"Jan 22, 2020",505.54,512.79,504.61,510.50,510.50,1878600
"Jan 21, 2020",501.28,506.73,498.94,503.59,503.59,1041000
"Jan 17, 2020",512.03,512.03,501.33,502.73,502.73,2252900
"Jan 16, 2020",507.00,513.71,506.16,508.78,508.78,1104100
"Jan 15, 2020",510.15,517.07,507.05,515.40,515.40,611200
"Jan 14, 2020",508.47,512.70,506.24,509.62,509.62,1656100
"Jan 13, 2020",506.04,512.65,504.89,510.15,510.15,933700
"Jan 10, 2020",507.79,509.03,503.52,505.03,505.03,912700
"Jan 09, 2020",501.50,508.86,501.50,507.28,507.28,924300
"Jan 08, 2020",499.00,509.99,498.55,500.77,500.77,1063200
"Jan 07, 2020",497.13,500.65,495.55,499.16,499.16,1050800
"Jan 06, 2020",492.66,498.15,490.93,497.45,497.45,829900
"Jan 03, 2020",485.53,496.59,485.53,494.47,494.47,974100
"Jan 02, 2020",487.41,491.41,480.49,490.43,490.43,1378800
"Dec 31, 2019",482.30,487.08,481.97,485.08,485.08,757100
"Dec 30, 2019",483.74,484.93,478.39,483.08,483.08,702500
"Dec 27, 2019",487.52,487.52,481.89,483.69,483.69,507500
"Dec 26, 2019",480.95,487.18,480.95,485.73,485.73,752900
"Dec 24, 2019",482.22,482.94,480.26,480.86,480.86,463700
"Dec 23, 2019",476.72,483.08,475.46,480.72,480.72,1225600
"Dec 20, 2019",479.96,480.85,473.49,476.22,476.22,2831200
"Dec 19, 2019",466.52,475.89,466.20,475.67,475.67,1063200
"Dec 18, 2019",472.64,476.18,466.14,466.52,466.52,1081200
"Dec 17, 2019",471.03,476.26,469.23,471.13,471.13,1494300
"Dec 16, 2019",477.87,478.83,468.06,470.23,470.23,1341000
"Dec 13, 2019",467.28,478.07,465.85,475.27,475.27,1258600
"Dec 12, 2019",466.70,472.93,464.88,469.60,469.60,1013600
"Dec 11, 2019",462.52,467.32,461.43,465.87,465.87,884500
"Dec 10, 2019",467.10,469.70,460.47,461.71,461.71,979900
"Dec 09, 2019",469.51,475.50,467.20,468.66,468.66,842900
"Dec 06, 2019",470.58,473.22,467.10,467.85,467.85,848400
"Dec 05, 2019",462.15,468.27,461.91,467.27,467.27,1098200
"Dec 04, 2019",466.64,469.28,460.96,462.05,462.05,1041000
"Dec 03, 2019",469.82,470.51,465.39,469.86,469.86,807700
