Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",34.10,34.64,33.41,33.95,33.95,19312300
"Apr 02, 2020",32.10,34.47,32.06,34.37,34.37,24683900
"Apr 01, 2020",33.16,33.76,32.05,32.42,32.42,26097200
"Mar 31, 2020",34.83,35.78,34.25,34.38,34.38,27786300
"Mar 31, 2020",0.23 Dividend,0.23 Dividend,0.23 Dividend,0.23 Dividend,0.23 Dividend,0.23 Dividend
"Mar 30, 2020",34.74,35.63,34.55,35.49,35.26,31400200
"Mar 27, 2020",35.59,35.79,34.41,34.57,34.35,27910400
"Mar 26, 2020",33.19,37.31,33.06,36.74,36.50,38329500
"Mar 25, 2020",33.78,34.56,31.78,33.57,33.35,57834100
"Mar 24, 2020",35.37,35.37,33.53,34.64,34.42,46492800
"Mar 23, 2020",33.17,34.67,31.71,34.17,33.95,38600900
"Mar 20, 2020",36.09,36.09,32.64,33.37,33.15,47309000
"Mar 19, 2020",35.64,39.31,34.60,35.94,35.71,36830400
"Mar 18, 2020",36.23,36.75,33.27,35.68,35.45,42533400
"Mar 17, 2020",36.58,38.35,36.21,38.22,37.97,38934900
"Mar 16, 2020",34.64,38.99,34.50,36.04,35.81,41485700
"Mar 13, 2020",36.23,39.72,34.48,39.33,39.08,66243400
"Mar 12, 2020",35.58,37.85,34.44,34.94,34.71,63254500
"Mar 11, 2020",37.80,38.49,37.38,37.91,37.66,38865100
"Mar 10, 2020",38.64,39.15,36.67,39.10,38.85,48724300
"Mar 09, 2020",38.17,38.89,37.15,37.88,37.63,46926200
"Mar 06, 2020",38.91,40.60,38.83,40.37,40.11,31302100
"Mar 05, 2020",41.42,41.78,40.42,40.77,40.51,25284600
"Mar 04, 2020",41.97,42.56,41.50,42.50,42.22,24996900
"Mar 03, 2020",42.07,43.45,41.10,41.44,41.17,43253400
"Mar 02, 2020",40.34,42.53,39.40,42.52,42.24,40006900
"Feb 28, 2020",40.00,40.98,38.97,40.43,40.17,62188700
"Feb 27, 2020",41.86,42.60,40.99,41.05,40.78,36098100
"Feb 26, 2020",44.18,44.18,42.19,42.22,41.95,30526000
"Feb 25, 2020",44.75,44.89,43.03,43.17,42.89,22440600
"Feb 24, 2020",45.12,46.01,44.47,44.60,44.31,21720800
"Feb 21, 2020",45.76,46.42,45.66,45.82,45.52,21235400
"Feb 20, 2020",45.80,46.15,45.50,46.02,45.72,12037800
"Feb 19, 2020",46.22,46.26,45.86,45.97,45.67,14814400
"Feb 18, 2020",46.14,46.39,45.81,46.15,45.85,13694500
"Feb 14, 2020",46.08,46.18,45.75,46.09,45.79,15930600
"Feb 13, 2020",45.90,46.35,45.69,46.07,45.77,17913100
"Feb 12, 2020",44.98,46.14,44.91,46.02,45.72,23638000
"Feb 11, 2020",44.82,44.85,44.36,44.79,44.50,11075700
"Feb 10, 2020",44.64,44.73,44.26,44.66,44.37,15016100
"Feb 07, 2020",44.52,44.85,44.27,44.74,44.45,14104200
"Feb 06, 2020",44.76,45.06,44.29,44.60,44.31,15222400
"Feb 05, 2020",44.65,45.14,44.48,44.59,44.30,20332100
"Feb 04, 2020",43.50,44.52,43.38,44.28,43.99,28143200
"Feb 03, 2020",43.56,43.65,42.62,42.66,42.38,26387900
"Jan 31, 2020",44.12,44.14,43.00,43.19,42.91,24008300
"Jan 30, 2020",42.87,44.19,42.70,44.14,43.85,25105100
"Jan 29, 2020",44.26,44.26,43.15,43.32,43.04,21913200
"Jan 28, 2020",44.07,44.42,43.81,44.04,43.75,15875700
"Jan 27, 2020",43.93,44.75,43.80,44.00,43.71,24048800
"Jan 24, 2020",44.90,45.06,44.21,44.59,44.30,39229300
"Jan 23, 2020",46.54,46.98,45.51,45.65,45.35,37753000
"Jan 22, 2020",47.50,47.70,47.27,47.44,47.13,18251600
"Jan 21, 2020",47.48,47.48,46.79,47.30,46.99,19141600
"Jan 17, 2020",47.68,47.74,47.11,47.50,47.19,27667100
"Jan 16, 2020",46.44,46.92,46.31,46.87,46.57,24424400
"Jan 15, 2020",46.06,46.55,46.01,46.28,45.98,15413500
"Jan 14, 2020",45.57,46.22,45.50,46.03,45.73,16711900
"Jan 13, 2020",44.92,45.87,44.90,45.80,45.50,21789300
"Jan 10, 2020",45.63,45.63,44.93,44.98,44.69,15896200
"Jan 09, 2020",45.39,45.61,45.18,45.51,45.22,14195400
"Jan 08, 2020",44.94,45.57,44.76,45.39,45.10,18097400
"Jan 07, 2020",44.25,45.01,44.22,44.93,44.64,24563700
"Jan 07, 2020",0.21 Dividend,0.21 Dividend,0.21 Dividend,0.21 Dividend,0.21 Dividend,0.21 Dividend
"Jan 06, 2020",44.66,44.87,44.55,44.67,44.17,17628200
"Jan 03, 2020",44.83,45.22,44.57,45.01,44.51,20496400
"Jan 02, 2020",45.36,45.40,44.93,45.37,44.86,20170500
