Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",96.31,96.92,92.71,93.88,93.88,14806200
"Apr 02, 2020",94.20,97.26,94.20,96.97,96.97,13936500
"Apr 01, 2020",93.50,97.40,92.56,94.92,94.92,18303900
"Mar 31, 2020",100.22,103.16,96.16,96.60,96.60,21563200
"Mar 30, 2020",96.00,100.46,92.10,99.80,99.80,23119200
"Mar 27, 2020",100.45,101.49,95.54,96.40,96.40,30591500
"Mar 26, 2020",100.83,107.73,100.80,105.36,105.36,24520300
"Mar 25, 2020",100.66,105.92,95.51,100.73,100.73,28533000
"Mar 24, 2020",92.33,99.17,91.80,98.12,98.12,32538100
"Mar 23, 2020",84.49,87.28,81.09,85.76,85.76,32246600
"Mar 20, 2020",95.99,96.99,85.84,85.98,85.98,31957800
"Mar 19, 2020",88.00,97.40,85.11,94.93,94.93,30866800
"Mar 18, 2020",87.59,89.34,79.07,88.80,88.80,43592500
"Mar 17, 2020",95.80,97.46,91.15,93.53,93.53,27526200
"Mar 16, 2020",91.80,98.28,90.00,95.01,95.01,35379500
"Mar 13, 2020",100.78,102.87,92.25,102.52,102.52,40960100
"Mar 12, 2020",97.62,100.00,91.64,91.81,91.81,40392900
"Mar 11, 2020",108.42,108.90,102.86,105.51,105.51,24771300
"Mar 10, 2020",108.10,111.58,102.43,111.46,111.46,24083700
"Mar 09, 2020",108.69,110.43,104.28,104.35,104.35,26233600
"Mar 06, 2020",110.76,115.87,110.32,115.27,115.27,22899600
"Mar 05, 2020",116.86,116.96,112.11,113.98,113.98,22397200
"Mar 04, 2020",118.96,119.24,115.48,119.18,119.18,13842100
"Mar 03, 2020",121.15,121.78,115.15,116.45,116.45,19529700
"Mar 02, 2020",119.13,119.98,116.03,119.98,119.98,21775900
"Feb 28, 2020",114.51,118.31,113.21,117.65,117.65,35453800
"Feb 27, 2020",119.81,122.90,117.92,118.04,118.04,30827500
"Feb 26, 2020",126.12,128.37,122.13,123.36,123.36,31195900
"Feb 25, 2020",133.75,133.94,127.98,128.19,128.19,21032500
"Feb 24, 2020",132.90,134.44,131.21,133.01,133.01,19336500
"Feb 21, 2020",139.86,139.88,138.58,138.97,138.97,7725800
"Feb 20, 2020",141.63,141.63,138.85,140.37,140.37,5981700
"Feb 19, 2020",139.63,141.87,139.23,141.30,141.30,7080900
"Feb 18, 2020",139.02,139.66,138.10,139.14,139.14,8214900
"Feb 14, 2020",141.10,141.28,139.13,139.54,139.54,9110500
"Feb 13, 2020",141.17,141.90,140.82,140.90,140.90,7543100
"Feb 12, 2020",141.34,142.22,140.87,141.85,141.85,8168200
"Feb 11, 2020",142.85,142.99,140.46,141.01,141.01,10790100
"Feb 10, 2020",141.03,142.59,140.46,142.59,142.59,8162100
"Feb 07, 2020",141.89,141.99,140.12,141.02,141.02,10948900
"Feb 06, 2020",141.92,143.95,141.22,142.70,142.70,9504600
"Feb 05, 2020",146.60,147.30,138.57,141.37,141.37,27824100
"Feb 04, 2020",145.49,145.59,143.25,144.73,144.73,23519700
"Feb 03, 2020",139.79,141.82,139.75,141.32,141.32,12660000
"Jan 31, 2020",138.40,138.67,137.06,138.31,138.31,12379100
"Jan 30, 2020",135.09,137.85,134.83,137.81,137.81,11847300
"Jan 29, 2020",138.60,138.68,135.79,136.06,136.06,9382700
"Jan 28, 2020",136.50,138.93,135.86,138.37,138.37,10390000
"Jan 27, 2020",135.86,137.73,135.00,135.90,135.90,12831800
"Jan 24, 2020",141.40,142.25,139.20,140.08,140.08,13076300
"Jan 23, 2020",143.60,143.61,140.65,142.20,142.20,11082000
"Jan 22, 2020",144.45,144.79,143.54,144.01,144.01,7550000
"Jan 21, 2020",144.24,144.59,143.01,143.56,143.56,9250200
"Jan 17, 2020",145.54,145.64,144.01,144.33,144.33,10355300
"Jan 16, 2020",145.09,145.43,144.44,145.12,145.12,6948400
"Jan 15, 2020",145.71,145.71,143.93,144.32,144.32,6818200
"Jan 14, 2020",143.41,146.72,142.29,145.20,145.20,14839100
"Jan 13, 2020",144.75,144.75,143.36,143.88,143.88,9921300
"Jan 10, 2020",145.30,145.50,144.26,144.62,144.62,5152500
"Jan 09, 2020",146.47,146.63,144.61,144.83,144.83,6664200
"Jan 08, 2020",145.49,146.13,144.82,145.40,145.40,6984200
"Jan 07, 2020",145.99,146.87,145.42,145.70,145.70,6906500
"Jan 06, 2020",145.54,146.03,144.31,145.65,145.65,8262500
"Jan 03, 2020",146.40,147.90,146.05,146.50,146.50,7320200
"Jan 02, 2020",145.29,148.20,145.10,148.20,148.20,9502100
"Dec 31, 2019",143.67,144.77,143.26,144.63,144.63,5662900
"Dec 30, 2019",145.75,145.87,143.40,143.77,143.77,6602800
"Dec 27, 2019",146.05,146.51,145.45,145.75,145.75,5495300
"Dec 26, 2019",145.40,145.86,145.17,145.70,145.70,4422000
"Dec 24, 2019",144.58,145.43,144.45,145.29,145.29,3508500
"Dec 23, 2019",145.91,146.33,144.33,144.68,144.68,9314000
"Dec 20, 2019",147.15,147.88,145.77,146.88,146.88,12629900
"Dec 19, 2019",146.18,146.80,145.32,146.15,146.15,10243900
"Dec 18, 2019",147.77,147.95,146.19,146.26,146.26,9467800
"Dec 17, 2019",148.10,148.46,147.62,147.73,147.73,8776100
"Dec 16, 2019",147.59,148.65,146.55,148.46,148.46,9134400
"Dec 13, 2019",147.43,147.80,146.31,146.38,146.38,9350100
