Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",102.81,104.35,100.79,102.83,102.83,4084300
"Apr 02, 2020",98.10,102.82,97.50,102.29,102.29,3793000
"Apr 01, 2020",98.38,99.84,96.70,97.53,97.53,4056500
"Mar 31, 2020",97.79,101.00,96.62,100.17,100.17,3762300
"Mar 30, 2020",96.77,99.29,96.17,97.69,97.69,3352700
"Mar 27, 2020",96.53,99.68,94.63,95.37,95.37,4519800
"Mar 26, 2020",90.47,99.57,90.08,99.20,99.20,5750300
"Mar 25, 2020",93.53,94.15,89.46,89.64,89.64,5005600
"Mar 24, 2020",100.00,103.10,90.81,94.30,94.30,5765200
"Mar 23, 2020",89.73,97.72,88.43,95.47,95.47,8149000
"Mar 20, 2020",92.24,94.37,86.75,86.94,86.94,6174400
"Mar 19, 2020",90.95,93.98,86.00,90.06,90.06,6549700
"Mar 18, 2020",91.50,97.69,85.92,90.21,90.21,7073400
"Mar 17, 2020",91.60,98.20,87.11,95.41,95.41,6370100
"Mar 16, 2020",89.19,96.12,85.69,88.67,88.67,6196600
"Mar 13, 2020",98.74,99.61,92.75,97.06,97.06,5842000
"Mar 12, 2020",94.79,99.42,92.55,93.35,93.35,6288700
"Mar 11, 2020",101.61,102.17,98.33,101.18,101.18,4906000
"Mar 10, 2020",101.40,103.57,96.65,103.38,103.38,6525600
"Mar 09, 2020",101.57,104.18,99.91,100.93,100.93,4784300
"Mar 06, 2020",106.45,108.76,105.00,107.67,107.67,3886200
"Mar 05, 2020",109.49,111.93,109.11,110.21,110.21,3029900
"Mar 04, 2020",108.29,111.94,108.06,111.83,111.83,4289700
"Mar 03, 2020",106.73,109.71,105.38,106.70,106.70,3984800
"Mar 02, 2020",101.92,106.93,101.71,106.89,106.89,4291500
"Feb 28, 2020",100.29,101.89,98.59,101.37,101.37,6853700
"Feb 27, 2020",104.35,106.40,102.72,102.74,102.74,4906200
"Feb 26, 2020",106.36,108.26,105.60,106.54,106.54,2858000
"Feb 25, 2020",107.72,109.22,105.24,105.38,105.38,3651300
"Feb 24, 2020",105.05,107.93,105.02,107.03,107.03,2817100
"Feb 21, 2020",108.49,108.94,106.80,108.01,108.01,2546900
"Feb 20, 2020",108.72,109.37,107.45,109.20,109.20,4034000
"Feb 19, 2020",110.10,110.90,109.40,109.78,109.78,1540000
"Feb 18, 2020",109.09,109.83,108.70,109.46,109.46,2171400
"Feb 14, 2020",108.90,109.89,108.75,109.69,109.69,1227500
"Feb 13, 2020",109.15,109.34,107.97,108.84,108.84,1627000
"Feb 12, 2020",109.67,109.98,108.59,109.72,109.72,1567200
"Feb 11, 2020",108.95,109.23,107.94,109.04,109.04,1195300
"Feb 10, 2020",109.02,109.76,108.23,108.70,108.70,2170800
"Feb 07, 2020",109.17,110.96,108.74,109.09,109.09,2231300
"Feb 06, 2020",108.80,110.35,108.41,110.00,110.00,2500600
"Feb 05, 2020",108.62,108.96,107.12,107.82,107.82,2895700
"Feb 04, 2020",106.44,107.42,105.33,107.07,107.07,4190500
"Feb 03, 2020",107.93,109.45,104.40,105.04,105.04,4156000
"Jan 31, 2020",110.75,110.75,105.50,107.92,107.92,6995800
"Jan 30, 2020",111.43,111.89,110.31,111.64,111.64,3838500
"Jan 29, 2020",112.51,112.96,111.24,112.21,112.21,2463900
"Jan 28, 2020",111.29,112.88,111.06,111.90,111.90,2961900
"Jan 27, 2020",110.24,111.19,109.95,110.56,110.56,2175500
"Jan 24, 2020",114.02,114.13,111.63,112.33,112.33,2304000
"Jan 23, 2020",112.92,113.73,112.00,113.48,113.48,1564900
"Jan 22, 2020",112.77,114.04,112.68,113.09,113.09,2423100
"Jan 21, 2020",112.55,112.97,111.77,112.41,112.41,2165000
"Jan 17, 2020",112.37,112.99,111.55,112.93,112.93,3053300
"Jan 16, 2020",110.00,111.29,109.95,111.26,111.26,2108300
"Jan 15, 2020",109.79,110.45,109.14,109.61,109.61,1479100
"Jan 14, 2020",109.66,110.17,108.71,109.58,109.58,1723400
"Jan 13, 2020",109.05,110.07,108.62,109.82,109.82,1857400
"Jan 10, 2020",109.20,109.27,108.20,108.59,108.59,1756000
"Jan 09, 2020",110.00,110.34,108.27,109.36,109.36,1818600
"Jan 08, 2020",108.18,110.00,107.78,109.49,109.49,2651600
"Jan 07, 2020",109.00,109.25,107.73,108.39,108.39,1692400
"Jan 06, 2020",106.95,109.31,106.63,108.78,108.78,2934200
"Jan 03, 2020",105.58,107.75,105.12,107.20,107.20,1840300
"Jan 02, 2020",107.94,108.35,106.76,107.34,107.34,1901000
"Dec 31, 2019",106.58,107.52,106.43,107.51,107.51,1436200
"Dec 30, 2019",108.11,108.37,106.76,106.93,106.93,1758400
"Dec 27, 2019",108.60,108.89,107.80,108.43,108.43,1163400
"Dec 26, 2019",108.56,108.89,108.11,108.51,108.51,1676500
"Dec 24, 2019",107.78,108.87,107.73,108.55,108.55,606100
"Dec 23, 2019",108.27,108.92,107.67,107.79,107.79,1622600
"Dec 20, 2019",108.02,108.45,107.06,107.95,107.95,3320200
"Dec 19, 2019",107.00,107.88,106.64,107.34,107.34,1541800
"Dec 18, 2019",106.00,107.25,105.64,107.08,107.08,1573400
"Dec 17, 2019",105.86,106.23,105.12,105.75,105.75,1374300
"Dec 16, 2019",105.01,105.92,104.82,105.72,105.72,1849000
"Dec 13, 2019",105.34,105.84,103.81,104.55,104.55,2451600
"Dec 12, 2019",103.54,105.17,103.19,105.09,105.09,2518500
"Dec 11, 2019",101.87,103.51,101.82,103.20,103.20,2096800
"Dec 10, 2019",101.84,102.50,101.29,101.84,101.84,2006000
"Dec 09, 2019",103.34,103.50,101.93,102.03,102.03,1992800
"Dec 06, 2019",102.89,103.30,102.35,103.23,103.23,2564100
"Dec 05, 2019",101.45,102.27,100.36,102.12,102.12,2261600
"Dec 04, 2019",101.77,102.39,100.42,100.63,100.63,2735200
"Dec 03, 2019",99.54,101.47,99.10,101.27,101.27,2609900
"Dec 02, 2019",101.42,101.60,99.57,100.40,100.40,2723600
"Nov 29, 2019",100.03,102.00,100.02,101.01,101.01,1271600
"Nov 27, 2019",100.09,100.97,98.75,100.79,100.79,1862700
"Nov 26, 2019",99.87,100.14,98.71,99.28,99.28,2827300
"Nov 25, 2019",99.28,101.24,99.28,99.80,99.80,2812400
"Nov 22, 2019",99.66,99.93,98.32,99.19,99.19,2690200
"Nov 21, 2019",98.25,99.23,98.21,99.01,99.01,2817300
"Nov 20, 2019",96.12,98.91,96.12,98.12,98.12,3035700
"Nov 19, 2019",97.21,97.87,96.32,96.69,96.69,3415400
"Nov 18, 2019",97.43,98.10,96.70,97.39,97.39,2646600
"Nov 15, 2019",98.85,99.39,97.37,97.54,97.54,3315500
"Nov 14, 2019",96.20,98.48,96.12,97.54,97.54,3300700
"Nov 13, 2019",96.62,96.97,95.54,96.00,96.00,2860000
"Nov 12, 2019",96.41,96.83,95.25,96.33,96.33,3684300
"Nov 11, 2019",97.55,98.90,96.31,96.39,96.39,2159800
*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.
