Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",157.15,157.91,150.83,154.18,154.18,25972900
"Apr 02, 2020",159.10,161.35,155.92,158.19,158.19,20886300
"Apr 01, 2020",161.62,164.15,158.04,159.60,159.60,19507600
"Mar 31, 2020",165.48,170.93,164.20,166.80,166.80,23676300
"Mar 30, 2020",159.18,166.75,158.06,165.95,165.95,22515200
"Mar 27, 2020",158.20,160.09,154.75,156.79,156.79,24879900
"Mar 26, 2020",158.25,164.00,157.02,163.34,163.34,26556800
"Mar 25, 2020",158.92,162.99,153.06,156.21,156.21,35184300
"Mar 24, 2020",155.21,161.31,152.57,160.98,160.98,30440400
"Mar 23, 2020",149.66,152.31,142.25,148.10,148.10,29830800
"Mar 20, 2020",156.02,159.27,148.00,149.73,149.73,32568400
"Mar 19, 2020",146.62,159.93,144.80,153.13,153.13,39862300
"Mar 18, 2020",139.75,148.18,137.10,146.96,146.96,37553100
"Mar 17, 2020",150.74,153.94,140.00,149.42,149.42,34255600
"Mar 16, 2020",152.32,159.13,143.10,146.01,146.01,39120400
"Mar 13, 2020",163.53,170.79,157.60,170.28,170.28,35028600
"Mar 12, 2020",159.54,166.60,154.34,154.47,154.47,43266300
"Mar 11, 2020",174.01,175.88,167.66,170.24,170.24,20373900
"Mar 10, 2020",174.67,178.29,169.50,178.19,178.19,24517800
"Mar 09, 2020",169.60,175.00,165.19,169.50,169.50,29949000
"Mar 06, 2020",178.33,183.78,176.26,181.09,181.09,24559600
"Mar 05, 2020",186.78,188.99,183.89,185.17,185.17,19333400
"Mar 04, 2020",189.17,191.83,186.39,191.76,191.76,23062500
"Mar 03, 2020",196.22,197.24,183.97,185.89,185.89,27984100
"Mar 02, 2020",194.03,196.57,188.85,196.44,196.44,24949000
"Feb 28, 2020",182.70,192.74,181.82,192.47,192.47,32583500
"Feb 27, 2020",191.82,195.88,189.50,189.75,189.75,21682600
"Feb 26, 2020",197.19,201.21,195.49,197.20,197.20,16524500
"Feb 25, 2020",202.25,203.50,195.95,196.77,196.77,21433500
"Feb 24, 2020",201.80,203.65,198.17,200.72,200.72,23080100
"Feb 21, 2020",213.48,214.24,208.83,210.18,210.18,14092300
"Feb 20, 2020",216.52,218.77,212.95,214.58,214.58,13109200
"Feb 19, 2020",217.99,218.32,216.11,217.49,217.49,12135100
"Feb 18, 2020",213.55,217.98,213.40,217.80,217.80,15609200
"Feb 14, 2020",214.00,214.93,212.65,214.18,214.18,10741700
"Feb 13, 2020",209.52,214.33,209.18,213.14,213.14,15396600
"Feb 12, 2020",207.85,211.22,207.40,210.76,210.76,13813700
"Feb 11, 2020",210.19,210.86,206.51,207.19,207.19,25030800
"Feb 10, 2020",211.52,213.80,210.66,213.06,213.06,11856400
"Feb 07, 2020",210.30,212.82,209.93,212.33,212.33,12242500
"Feb 06, 2020",210.47,211.19,209.34,210.85,210.85,10567500
"Feb 05, 2020",212.51,212.73,208.71,210.11,210.11,12538200
"Feb 04, 2020",206.62,210.60,205.20,209.83,209.83,19628900
"Feb 03, 2020",203.44,205.14,202.50,204.19,204.19,15510500
"Jan 31, 2020",208.43,208.69,201.06,201.91,201.91,31359900
"Jan 30, 2020",206.53,211.43,204.75,209.53,209.53,48775500
"Jan 29, 2020",221.44,224.20,218.45,223.23,223.23,33181300
"Jan 28, 2020",216.14,218.74,213.52,217.79,217.79,13413800
"Jan 27, 2020",213.10,216.06,212.50,214.87,214.87,13810700
"Jan 24, 2020",220.80,221.78,216.11,217.94,217.94,11905800
"Jan 23, 2020",220.75,221.49,219.27,219.76,219.76,11195000
"Jan 22, 2020",222.31,222.75,221.28,221.32,221.32,12212800
"Jan 21, 2020",222.16,222.37,219.12,221.44,221.44,14275800
"Jan 17, 2020",222.03,222.29,220.53,222.14,222.14,15905900
"Jan 16, 2020",222.57,222.63,220.39,221.77,221.77,10015300
"Jan 15, 2020",220.61,221.68,220.14,221.15,221.15,10036500
"Jan 14, 2020",221.61,222.38,218.63,219.06,219.06,13288900
"Jan 13, 2020",219.60,221.97,219.21,221.91,221.91,14463400
"Jan 10, 2020",219.20,219.88,217.42,218.06,218.06,12119400
"Jan 09, 2020",217.54,218.38,216.28,218.30,218.30,12642800
"Jan 08, 2020",213.00,216.24,212.61,215.22,215.22,13475000
"Jan 07, 2020",212.82,214.58,211.75,213.06,213.06,14912400
"Jan 06, 2020",206.70,212.78,206.52,212.60,212.60,17058900
"Jan 03, 2020",207.21,210.40,206.95,208.67,208.67,11188400
"Jan 02, 2020",206.75,209.79,206.27,209.78,209.78,12077100
"Dec 31, 2019",204.00,205.56,203.60,205.25,205.25,8953500
"Dec 30, 2019",207.86,207.90,203.90,204.41,204.41,10524300
"Dec 27, 2019",208.67,208.93,206.59,208.10,208.10,10284200
"Dec 26, 2019",205.57,207.82,205.31,207.79,207.79,9350700
"Dec 24, 2019",206.30,206.79,205.00,205.12,205.12,6046300
"Dec 23, 2019",206.70,208.59,205.68,206.18,206.18,13348900
"Dec 20, 2019",207.48,207.71,203.43,206.30,206.30,27306900
"Dec 19, 2019",202.78,206.30,202.51,206.06,206.06,16514600
"Dec 18, 2019",200.09,204.30,200.09,202.50,202.50,23274400
"Dec 17, 2019",198.84,199.00,196.13,198.39,198.39,10175700
"Dec 16, 2019",195.27,199.12,194.81,197.92,197.92,14911500
"Dec 13, 2019",196.40,196.80,193.17,194.11,194.11,18798000
"Dec 12, 2019",202.35,203.66,194.10,196.75,196.75,23734800
"Dec 11, 2019",200.28,202.63,200.28,202.26,202.26,8036800
"Dec 10, 2019",201.66,202.05,200.15,200.87,200.87,9475700
"Dec 09, 2019",200.65,203.14,200.21,201.34,201.34,11954800
"Dec 06, 2019",200.50,201.57,200.06,201.05,201.05,12270600
"Dec 05, 2019",199.86,201.29,198.21,199.36,199.36,9740400
"Dec 04, 2019",200.00,200.03,198.05,198.71,198.71,8456300
"Dec 03, 2019",197.60,198.93,195.08,198.82,198.82,11595300
"Dec 02, 2019",202.13,202.18,198.05,199.70,199.70,11503400
"Nov 29, 2019",201.60,203.80,201.21,201.64,201.64,7985200
"Nov 27, 2019",199.90,203.14,199.42,202.00,202.00,12736600
"Nov 26, 2019",200.00,200.15,198.04,198.97,198.97,11735500
"Nov 25, 2019",199.52,200.97,199.25,199.79,199.79,15272300
"Nov 22, 2019",198.38,199.30,197.62,198.82,198.82,9959800
"Nov 21, 2019",197.42,199.09,196.86,197.93,197.93,12131000
"Nov 20, 2019",198.58,199.59,195.43,197.51,197.51,12355400
"Nov 19, 2019",197.40,200.00,196.86,199.32,199.32,19056800
"Nov 18, 2019",194.56,198.63,193.05,197.40,197.40,16167200
"Nov 15, 2019",194.26,195.30,193.38,195.10,195.10,11524300
"Nov 14, 2019",192.93,194.03,191.45,193.15,193.15,9040500
"Nov 13, 2019",194.70,195.70,192.74,193.19,193.19,10860700
"Nov 12, 2019",190.00,195.06,189.74,194.47,194.47,17615500
"Nov 11, 2019",189.93,190.08,188.54,189.61,189.61,8631200
*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.
