Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",1119.02,1123.54,1079.81,1097.88,1097.88,2312200
"Apr 02, 2020",1098.26,1126.86,1096.40,1120.84,1120.84,1964900
"Apr 01, 2020",1122.00,1129.69,1097.45,1105.62,1105.62,2344200
"Mar 31, 2020",1147.30,1175.31,1138.14,1162.81,1162.81,2486400
"Mar 30, 2020",1125.04,1151.63,1096.48,1146.82,1146.82,2574100
"Mar 27, 2020",1125.67,1150.67,1105.91,1110.71,1110.71,3208500
"Mar 26, 2020",1111.80,1169.97,1093.53,1161.75,1161.75,3571700
"Mar 25, 2020",1126.47,1148.90,1086.01,1102.49,1102.49,4081500
"Mar 24, 2020",1103.77,1135.00,1090.62,1134.46,1134.46,3344500
"Mar 23, 2020",1061.32,1071.32,1013.54,1056.62,1056.62,4044100
"Mar 20, 2020",1135.72,1143.99,1065.49,1072.32,1072.32,3601800
"Mar 19, 2020",1093.05,1157.97,1060.11,1115.29,1115.29,3651100
"Mar 18, 2020",1056.51,1106.50,1037.28,1096.80,1096.80,4233400
"Mar 17, 2020",1093.11,1130.86,1056.01,1119.80,1119.80,3861500
"Mar 16, 2020",1096.00,1152.27,1074.44,1084.33,1084.33,4252400
"Mar 13, 2020",1179.00,1219.76,1117.14,1219.73,1219.73,3700100
"Mar 12, 2020",1126.00,1193.87,1113.30,1114.91,1114.91,4226700
"Mar 11, 2020",1249.70,1260.96,1196.07,1215.41,1215.41,2608500
"Mar 10, 2020",1260.00,1281.15,1218.77,1280.39,1280.39,2611400
"Mar 09, 2020",1205.30,1254.76,1200.00,1215.56,1215.56,3365400
"Mar 06, 2020",1277.06,1306.22,1261.05,1298.41,1298.41,2660600
"Mar 05, 2020",1350.20,1358.91,1305.10,1319.04,1319.04,2561300
"Mar 04, 2020",1359.23,1388.09,1343.11,1386.52,1386.52,1913300
"Mar 03, 2020",1399.42,1410.15,1332.00,1341.39,1341.39,2402300
"Mar 02, 2020",1351.61,1390.87,1326.81,1389.11,1389.11,2431500
"Feb 28, 2020",1277.50,1341.14,1271.00,1339.33,1339.33,3790600
"Feb 27, 2020",1362.06,1371.70,1317.17,1318.09,1318.09,2978300
"Feb 26, 2020",1396.14,1415.70,1379.00,1393.18,1393.18,2202400
"Feb 25, 2020",1433.00,1438.14,1382.40,1388.45,1388.45,2478300
"Feb 24, 2020",1426.11,1436.97,1411.39,1421.59,1421.59,2867100
"Feb 21, 2020",1508.03,1512.21,1480.44,1485.11,1485.11,1731700
"Feb 20, 2020",1522.00,1529.64,1506.82,1518.15,1518.15,1096600
"Feb 19, 2020",1525.07,1532.11,1521.40,1526.69,1526.69,949300
"Feb 18, 2020",1515.00,1531.63,1512.59,1519.67,1519.67,1120700
"Feb 14, 2020",1515.60,1520.74,1507.34,1520.74,1520.74,1197800
"Feb 13, 2020",1512.69,1527.18,1504.60,1514.66,1514.66,929500
