Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",1114.71,1118.79,1075.08,1092.70,1092.70,2567200
"Apr 02, 2020",1100.00,1122.77,1093.13,1117.03,1117.03,2820500
"Apr 01, 2020",1124.00,1129.42,1093.49,1102.10,1102.10,2598500
"Mar 31, 2020",1148.73,1173.40,1136.72,1161.95,1161.95,3261400
"Mar 30, 2020",1132.64,1151.00,1098.49,1146.31,1146.31,2936800
"Mar 27, 2020",1127.47,1151.05,1104.00,1110.26,1110.26,3139700
"Mar 26, 2020",1114.72,1171.48,1092.03,1162.92,1162.92,3828100
"Mar 25, 2020",1124.58,1146.17,1083.01,1101.62,1101.62,4516200
"Mar 24, 2020",1103.98,1133.33,1086.43,1130.01,1130.01,3623400
"Mar 23, 2020",1056.37,1066.91,1008.87,1054.13,1054.13,4183600
"Mar 20, 2020",1130.90,1138.48,1062.10,1068.21,1068.21,4143900
"Mar 19, 2020",1088.22,1152.61,1055.55,1111.67,1111.67,3703200
"Mar 18, 2020",1059.94,1104.99,1037.00,1091.19,1091.19,4652200
"Mar 17, 2020",1090.64,1126.00,1049.10,1118.06,1118.06,4159700
"Mar 16, 2020",1089.61,1145.47,1067.08,1073.00,1073.00,4826000
"Mar 13, 2020",1174.99,1214.40,1112.29,1214.27,1214.27,3970000
"Mar 12, 2020",1122.62,1188.75,1108.47,1111.55,1111.55,4716300
"Mar 11, 2020",1248.27,1256.93,1191.14,1210.90,1210.90,2736600
"Mar 10, 2020",1254.39,1275.85,1214.51,1275.17,1275.17,2743600
"Mar 09, 2020",1204.96,1252.73,1198.04,1215.79,1215.79,3462600
"Mar 06, 2020",1269.95,1302.75,1257.21,1295.74,1295.74,3232000
"Mar 05, 2020",1345.55,1353.63,1301.64,1314.76,1314.76,2719000
"Mar 04, 2020",1358.96,1382.78,1337.00,1381.60,1381.60,2379900
"Mar 03, 2020",1397.68,1408.19,1329.24,1337.72,1337.72,2830100
"Mar 02, 2020",1351.39,1387.47,1325.20,1386.32,1386.32,2771500
"Feb 28, 2020",1274.31,1342.45,1268.21,1339.25,1339.25,4010900
"Feb 27, 2020",1359.14,1369.40,1314.24,1314.95,1314.95,3114500
"Feb 26, 2020",1394.98,1413.67,1376.55,1390.47,1390.47,2488800
"Feb 25, 2020",1431.00,1436.85,1380.42,1386.32,1386.32,2579000
"Feb 24, 2020",1423.05,1436.38,1406.79,1419.86,1419.86,2478000
"Feb 21, 2020",1504.58,1510.95,1478.49,1483.46,1483.46,2126000
"Feb 20, 2020",1519.01,1527.07,1504.26,1516.99,1516.99,1298100
"Feb 19, 2020",1527.20,1530.74,1520.98,1524.87,1524.87,1137300
"Feb 18, 2020",1514.34,1530.56,1511.01,1519.44,1519.44,1282100
"Feb 14, 2020",1514.53,1520.05,1505.55,1518.73,1518.73,1159900
"Feb 13, 2020",1510.00,1525.95,1504.00,1513.39,1513.39,1145700
"Feb 12, 2020",1515.86,1520.30,1508.67,1518.63,1518.63,1552100
"Feb 11, 2020",1513.27,1529.88,1505.45,1510.06,1510.06,1742600
"Feb 10, 2020",1477.23,1508.88,1475.20,1508.66,1508.66,1915100
"Feb 07, 2020",1467.39,1485.25,1465.41,1479.11,1479.11,1418000
"Feb 06, 2020",1451.98,1481.56,1450.48,1475.97,1475.97,1891100
"Feb 05, 2020",1463.61,1464.58,1429.68,1446.05,1446.05,1818800
"Feb 04, 2020",1454.49,1467.34,1422.03,1445.41,1445.41,4794000
"Feb 03, 2020",1461.65,1486.30,1456.61,1482.60,1482.60,3608800
"Jan 31, 2020",1467.86,1469.67,1427.06,1432.78,1432.78,2191100
"Jan 30, 2020",1438.10,1455.25,1435.00,1454.25,1454.25,1355500
"Jan 29, 2020",1458.46,1464.14,1445.39,1456.70,1456.70,1078300
"Jan 28, 2020",1441.74,1454.80,1430.36,1450.50,1450.50,1486200
"Jan 27, 2020",1431.54,1436.58,1419.50,1431.73,1431.73,1706600
"Jan 24, 2020",1492.82,1494.20,1463.18,1466.17,1466.17,1489300
"Jan 23, 2020",1487.55,1493.50,1480.32,1484.69,1484.69,1332500
"Jan 22, 2020",1489.73,1500.58,1482.66,1483.87,1483.87,1422900
"Jan 21, 2020",1479.00,1489.88,1470.21,1482.25,1482.25,2446500
"Jan 17, 2020",1462.54,1480.55,1456.55,1479.52,1479.52,2621200
"Jan 16, 2020",1445.45,1450.70,1440.00,1450.16,1450.16,1304000
"Jan 15, 2020",1433.02,1440.78,1431.66,1439.20,1439.20,1077500
"Jan 14, 2020",1440.00,1442.63,1427.77,1430.59,1430.59,1303800
"Jan 13, 2020",1435.25,1441.48,1425.37,1440.03,1440.03,1536500
"Jan 10, 2020",1429.47,1434.94,1419.60,1428.96,1428.96,1312900
"Jan 09, 2020",1421.93,1428.68,1410.21,1419.79,1419.79,1660000
"Jan 08, 2020",1394.82,1411.85,1392.63,1405.04,1405.04,1765700
"Jan 07, 2020",1400.46,1403.50,1391.56,1395.11,1395.11,1716500
"Jan 06, 2020",1351.63,1398.32,1351.00,1397.81,1397.81,2338400
"Jan 03, 2020",1348.00,1373.75,1347.32,1361.52,1361.52,1170400
"Jan 02, 2020",1348.41,1368.68,1346.49,1368.68,1368.68,1363900
"Dec 31, 2019",1335.79,1340.66,1332.13,1339.39,1339.39,975700
"Dec 30, 2019",1356.81,1357.00,1337.84,1339.71,1339.71,999700
"Dec 27, 2019",1364.00,1367.05,1353.00,1354.64,1354.64,1160600
"Dec 26, 2019",1346.55,1363.20,1345.51,1362.47,1362.47,1183100
"Dec 24, 2019",1350.21,1352.01,1344.17,1344.43,1344.43,673400
"Dec 23, 2019",1358.73,1361.85,1348.00,1350.63,1350.63,996800
"Dec 20, 2019",1363.10,1364.00,1350.73,1351.22,1351.22,2504500
"Dec 19, 2019",1351.91,1357.53,1348.75,1356.44,1356.44,1446100
"Dec 18, 2019",1357.00,1359.43,1350.46,1351.91,1351.91,1166500
"Dec 17, 2019",1362.41,1364.33,1350.77,1354.89,1354.89,1647400
"Dec 16, 2019",1355.00,1363.53,1350.61,1360.70,1360.70,1406400
"Dec 13, 2019",1347.90,1351.35,1341.66,1346.87,1346.87,1658500
"Dec 12, 2019",1343.21,1354.58,1338.20,1348.49,1348.49,1455700
"Dec 11, 2019",1348.30,1349.89,1341.10,1344.25,1344.25,1024000
"Dec 10, 2019",1339.94,1348.00,1334.00,1342.89,1342.89,880300
"Dec 09, 2019",1338.86,1357.55,1336.07,1342.99,1342.99,1542100
"Dec 06, 2019",1332.75,1342.47,1331.23,1339.39,1339.39,1648400
"Dec 05, 2019",1327.00,1327.98,1314.32,1326.96,1326.96,1220400
"Dec 04, 2019",1306.10,1324.27,1303.05,1318.94,1318.94,1775300
"Dec 03, 2019",1278.66,1297.23,1277.05,1294.74,1294.74,1263500
"Dec 02, 2019",1302.56,1305.44,1280.38,1288.86,1288.86,1326900
"Nov 29, 2019",1306.60,1309.95,1303.23,1304.09,1304.09,640100
"Nov 27, 2019",1315.42,1317.64,1309.47,1312.13,1312.13,940400
"Nov 26, 2019",1309.91,1314.01,1304.04,1313.00,1313.00,1095500
"Nov 25, 2019",1296.26,1310.41,1295.61,1305.64,1305.64,1179500
"Nov 22, 2019",1303.00,1306.90,1289.36,1293.67,1293.67,1388800
"Nov 21, 2019",1299.25,1311.12,1290.75,1300.14,1300.14,1277100
"Nov 20, 2019",1311.36,1313.21,1289.21,1301.86,1301.86,1444600
"Nov 19, 2019",1326.63,1326.63,1311.77,1312.59,1312.59,1093200
"Nov 18, 2019",1332.34,1333.92,1316.16,1319.84,1319.84,1399200
"Nov 15, 2019",1315.05,1333.54,1311.89,1333.54,1333.54,1964300
"Nov 14, 2019",1295.00,1315.72,1293.94,1309.15,1309.15,1447400
"Nov 13, 2019",1293.18,1302.52,1292.15,1296.18,1296.18,1026900
"Nov 12, 2019",1298.57,1309.35,1294.24,1297.21,1297.21,1442600
"Nov 11, 2019",1304.00,1304.90,1295.87,1298.28,1298.28,861700
*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.
