Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",367.47,370.90,357.51,361.76,361.76,4856200
"Apr 02, 2020",364.08,370.99,360.06,370.08,370.08,4592500
"Apr 01, 2020",376.05,380.23,361.02,364.08,364.08,6672500
"Mar 31, 2020",367.93,383.01,366.44,375.50,375.50,9366500
"Mar 30, 2020",363.00,377.80,361.17,370.96,370.96,8622000
"Mar 27, 2020",359.09,368.56,353.00,357.12,357.12,7948800
"Mar 26, 2020",344.00,363.84,341.73,362.99,362.99,7229600
"Mar 25, 2020",361.02,362.00,339.17,342.39,342.39,8767200
"Mar 24, 2020",369.99,372.93,353.03,357.32,357.32,11638700
"Mar 23, 2020",347.89,366.11,340.88,360.27,360.27,13449400
"Mar 20, 2020",342.31,350.49,332.00,332.83,332.83,10853800
"Mar 19, 2020",324.33,348.51,316.82,332.03,332.03,10616000
"Mar 18, 2020",302.40,331.58,300.00,315.47,315.47,12593600
"Mar 17, 2020",306.19,322.90,290.25,319.75,319.75,10013900
"Mar 16, 2020",306.63,334.35,294.75,298.84,298.84,10559900
"Mar 13, 2020",330.51,336.42,307.39,336.30,336.30,9458200
"Mar 12, 2020",326.50,335.72,307.32,315.25,315.25,12071600
"Mar 11, 2020",358.92,362.98,344.79,349.92,349.92,6036000
"Mar 10, 2020",356.43,364.54,347.85,364.13,364.13,7604400
"Mar 09, 2020",343.86,357.47,341.72,346.49,346.49,7405500
"Mar 06, 2020",367.70,371.31,356.85,368.97,368.97,8147200
"Mar 05, 2020",381.00,391.40,368.64,372.78,372.78,8747000
"Mar 04, 2020",377.77,384.01,370.51,383.79,383.79,5487300
"Mar 03, 2020",381.03,393.52,367.40,368.77,368.77,8364600
"Mar 02, 2020",373.11,381.36,364.50,381.05,381.05,6997900
"Feb 28, 2020",364.21,376.77,356.80,369.03,369.03,11178600
"Feb 27, 2020",371.46,391.56,370.60,371.71,371.71,10967700
"Feb 26, 2020",366.31,382.00,365.00,379.24,379.24,8934100
"Feb 25, 2020",372.00,375.65,357.72,360.09,360.09,6481200
"Feb 24, 2020",364.76,372.82,361.00,368.70,368.70,6936400
"Feb 21, 2020",385.33,387.32,377.90,380.07,380.07,3930100
