Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",326.21,337.67,324.04,325.00,325.00,798000
"Apr 02, 2020",320.00,331.59,320.00,331.12,331.12,512800
"Apr 01, 2020",311.77,333.14,310.01,323.38,323.38,921400
"Mar 31, 2020",311.81,321.49,307.17,320.96,320.96,912100
"Mar 30, 2020",301.36,311.01,300.93,306.91,306.91,842200
"Mar 27, 2020",305.10,308.00,300.01,301.35,301.35,695200
"Mar 26, 2020",313.74,323.64,312.07,317.94,317.94,856000
"Mar 25, 2020",323.38,326.71,307.00,307.90,307.90,992100
"Mar 24, 2020",309.21,328.00,303.03,323.83,323.83,1077400
"Mar 23, 2020",291.72,306.84,285.24,298.80,298.80,1030000
"Mar 20, 2020",300.99,313.42,282.94,285.06,285.06,1304100
"Mar 19, 2020",270.69,300.05,270.69,291.18,291.18,1236900
"Mar 18, 2020",282.13,289.17,265.86,270.43,270.43,1373300
"Mar 17, 2020",289.03,302.00,281.49,295.77,295.77,1051800
"Mar 16, 2020",298.18,306.66,283.05,283.35,283.35,1580800
"Mar 13, 2020",314.48,320.00,302.16,319.90,319.90,1111600
"Mar 12, 2020",306.03,313.62,290.55,297.62,297.62,1409400
"Mar 12, 2020",1.02 Dividend,1.02 Dividend,1.02 Dividend,1.02 Dividend,1.02 Dividend,1.02 Dividend
"Mar 11, 2020",318.79,335.84,318.05,324.10,323.08,980600
"Mar 10, 2020",328.49,329.60,319.13,324.71,323.69,809100
"Mar 09, 2020",318.40,327.40,315.01,321.25,320.24,934500
"Mar 06, 2020",329.28,337.98,327.91,336.21,335.15,1008300
"Mar 05, 2020",333.00,348.46,332.50,340.94,339.87,1172900
"Mar 04, 2020",322.01,338.90,322.01,336.70,335.64,828800
"Mar 03, 2020",313.08,322.98,310.08,319.47,318.46,1517400
"Mar 02, 2020",319.33,321.43,306.76,310.06,309.08,1417600
"Feb 28, 2020",313.51,324.61,311.19,318.71,317.71,1161400
"Feb 27, 2020",332.21,336.24,315.41,321.93,320.92,1296200
"Feb 26, 2020",347.90,351.70,340.00,345.85,344.76,902200
"Feb 25, 2020",341.06,348.90,335.02,337.91,336.85,710100
"Feb 24, 2020",332.82,339.52,328.26,334.98,333.93,628700
"Feb 21, 2020",350.00,350.46,343.79,344.99,343.90,400600
"Feb 20, 2020",353.58,356.74,343.14,349.83,348.73,785400
"Feb 19, 2020",354.80,361.00,354.18,356.78,355.66,593600
"Feb 18, 2020",353.01,356.14,351.26,352.74,351.63,535000
"Feb 14, 2020",358.70,358.70,351.55,354.64,353.52,443700
"Feb 13, 2020",347.67,354.86,345.46,354.33,353.21,651100
"Feb 12, 2020",352.72,353.51,347.14,348.31,347.21,631200
"Feb 11, 2020",356.47,358.25,350.06,350.97,349.87,503700
"Feb 10, 2020",341.07,355.48,340.32,352.50,351.39,976600
"Feb 07, 2020",346.75,347.29,337.27,339.75,338.68,990700
"Feb 06, 2020",340.19,347.67,336.09,346.88,345.79,768700
"Feb 05, 2020",347.18,347.95,335.11,337.85,336.79,651700
"Feb 04, 2020",338.88,346.22,336.02,342.73,341.65,1086200
"Feb 03, 2020",323.98,332.37,323.27,329.50,328.46,930700
"Jan 31, 2020",326.73,326.73,319.72,320.76,319.75,803400
"Jan 30, 2020",328.90,332.47,327.15,328.00,326.97,519700
"Jan 29, 2020",331.46,333.60,329.07,333.35,332.30,612700
"Jan 28, 2020",324.57,328.68,322.67,327.89,326.86,672800
"Jan 27, 2020",317.85,324.51,317.48,322.11,321.10,1152100
"Jan 24, 2020",336.24,339.17,327.04,328.15,327.12,997200
"Jan 23, 2020",335.42,339.00,332.15,334.94,333.89,860000
"Jan 22, 2020",342.51,344.59,339.84,340.15,339.08,503000
"Jan 21, 2020",348.39,348.39,339.18,340.81,339.74,990200
"Jan 17, 2020",351.94,352.00,345.43,349.82,348.72,782400
"Jan 16, 2020",345.30,350.51,341.44,350.13,349.03,651000
"Jan 15, 2020",350.00,351.41,345.48,345.68,344.59,631100
"Jan 14, 2020",349.52,351.33,346.06,348.91,347.81,804600
"Jan 13, 2020",341.75,350.98,341.75,349.53,348.43,832100
"Jan 10, 2020",339.36,342.31,338.22,338.91,337.84,570000
"Jan 09, 2020",334.00,339.16,332.57,338.37,337.31,702000
"Jan 08, 2020",326.80,334.06,326.80,331.01,329.97,428200
"Jan 07, 2020",324.54,330.74,322.90,328.03,327.00,515400
"Jan 06, 2020",323.67,324.54,319.32,324.06,323.04,559200
"Jan 03, 2020",323.29,331.86,322.19,324.66,323.64,657500
"Jan 02, 2020",313.78,337.88,313.59,328.70,327.67,1374400
"Dec 31, 2019",305.63,307.16,302.58,306.64,305.67,342300
"Dec 30, 2019",307.25,307.33,302.96,303.59,302.63,342600
"Dec 27, 2019",308.13,308.13,303.29,306.11,305.15,376900
"Dec 26, 2019",302.47,308.39,302.04,306.28,305.32,834300
"Dec 24, 2019",304.32,304.32,300.71,300.87,299.92,257400
"Dec 23, 2019",304.78,305.99,302.34,303.37,302.42,413300
"Dec 20, 2019",308.84,308.86,303.99,305.18,304.22,673800
"Dec 19, 2019",303.10,310.60,301.94,307.19,306.22,847000
"Dec 18, 2019",305.45,305.69,300.64,301.62,300.67,746300
"Dec 17, 2019",304.75,305.75,298.46,304.57,303.61,745100
"Dec 16, 2019",306.50,309.03,302.07,304.66,303.70,782500
"Dec 13, 2019",306.00,306.36,302.09,304.00,303.04,833300
"Dec 12, 2019",308.18,311.43,301.52,304.25,303.29,773400
"Dec 11, 2019",312.89,315.52,310.19,310.50,309.52,539400
"Dec 10, 2019",309.36,310.93,307.49,309.24,308.27,613800
"Dec 09, 2019",309.00,311.25,307.28,308.04,307.07,487200
"Dec 06, 2019",316.49,316.49,308.69,309.67,308.70,435900
"Dec 05, 2019",315.20,320.93,312.92,314.20,313.21,658800
"Dec 05, 2019",7.59 Dividend,7.59 Dividend,7.59 Dividend,7.59 Dividend,7.59 Dividend,7.59 Dividend
"Dec 04, 2019",323.35,325.00,316.65,318.29,309.72,644500
"Dec 03, 2019",308.40,317.91,305.74,317.32,308.78,543300
"Dec 02, 2019",315.94,316.99,312.44,313.77,305.32,605500
"Nov 29, 2019",313.05,319.07,311.80,315.32,306.83,801300
"Nov 27, 2019",312.14,320.00,305.50,319.24,310.65,1021300
"Nov 26, 2019",303.61,315.98,301.94,314.51,306.04,1253900
"Nov 25, 2019",305.00,305.01,298.98,304.59,296.39,1324200
"Nov 22, 2019",298.38,311.77,298.38,310.40,302.04,1288800
"Nov 21, 2019",295.00,305.49,288.67,294.39,286.47,1451400
"Nov 20, 2019",285.00,289.43,283.56,287.81,280.06,592800
"Nov 19, 2019",292.11,292.54,285.83,288.50,280.73,524100
"Nov 18, 2019",290.36,292.53,288.00,290.24,282.43,325500
"Nov 15, 2019",291.75,294.71,290.43,291.23,283.39,270400
"Nov 14, 2019",295.66,295.66,287.22,289.68,281.88,445600
"Nov 13, 2019",290.90,296.73,290.13,295.01,287.07,472100
*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.
