Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",11.70,11.94,11.70,11.94,11.94,1060700
"Apr 02, 2020",11.58,12.04,11.49,12.04,12.04,711000
"Apr 01, 2020",12.04,12.06,11.74,11.81,11.81,1092800
"Mar 31, 2020",12.04,12.35,12.00,12.08,12.08,665800
"Mar 30, 2020",12.17,12.42,12.03,12.41,12.41,634400
"Mar 27, 2020",11.95,12.22,11.72,12.04,12.04,440400
"Mar 26, 2020",12.27,12.65,12.11,12.55,12.55,1377800
"Mar 25, 2020",12.15,12.48,11.87,12.45,12.45,691500
"Mar 24, 2020",12.35,12.60,12.07,12.55,12.55,558800
"Mar 23, 2020",12.09,12.32,11.91,12.08,12.08,886400
"Mar 20, 2020",11.97,12.47,11.62,11.67,11.67,772800
"Mar 19, 2020",11.88,12.37,11.51,11.67,11.67,770900
"Mar 18, 2020",11.61,12.10,10.98,11.29,11.29,943600
"Mar 17, 2020",10.62,11.56,10.38,11.45,11.45,1815100
"Mar 16, 2020",10.00,10.58,9.93,10.25,10.25,2093000
"Mar 13, 2020",11.41,11.43,10.52,11.01,11.01,1669200
"Mar 12, 2020",11.12,11.12,10.58,10.74,10.74,1395100
"Mar 11, 2020",12.32,12.38,11.87,11.98,11.98,1468500
"Mar 10, 2020",12.62,12.76,12.26,12.56,12.56,2263700
"Mar 09, 2020",13.01,13.25,12.61,12.72,12.72,1645600
"Mar 06, 2020",13.71,13.77,13.51,13.67,13.67,875900
"Mar 05, 2020",13.79,13.88,13.68,13.78,13.78,815000
"Mar 04, 2020",13.84,14.04,13.77,14.02,14.02,1056300
"Mar 03, 2020",13.57,13.78,13.33,13.44,13.44,1977100
"Mar 02, 2020",13.38,13.68,13.37,13.67,13.67,1356900
"Feb 28, 2020",13.23,13.46,13.09,13.38,13.38,1883500
"Feb 27, 2020",14.07,14.11,13.81,13.83,13.83,1182400
"Feb 26, 2020",13.95,14.04,13.89,13.92,13.92,534100
"Feb 25, 2020",14.12,14.12,13.91,13.92,13.92,880000
"Feb 24, 2020",14.21,14.33,14.20,14.24,14.24,599400
"Feb 21, 2020",14.48,14.59,14.46,14.59,14.59,569900
"Feb 20, 2020",14.57,14.61,14.42,14.51,14.51,609300
"Feb 19, 2020",14.54,14.54,14.46,14.49,14.49,552700
"Feb 18, 2020",14.42,14.48,14.39,14.43,14.43,624400
"Feb 14, 2020",14.45,14.57,14.42,14.47,14.47,958700
"Feb 13, 2020",14.25,14.39,14.22,14.31,14.31,1287100
"Feb 12, 2020",14.02,14.03,13.89,13.97,13.97,705800
"Feb 11, 2020",13.86,13.90,13.80,13.84,13.84,541200
"Feb 10, 2020",13.91,13.93,13.87,13.93,13.93,265600
"Feb 07, 2020",13.97,13.97,13.90,13.94,13.94,396300
"Feb 06, 2020",14.01,14.04,13.93,13.98,13.98,815800
"Feb 05, 2020",13.83,13.85,13.77,13.83,13.83,673300
"Feb 04, 2020",13.90,13.91,13.81,13.84,13.84,754200
"Feb 03, 2020",14.15,14.15,14.04,14.09,14.09,512400
"Jan 31, 2020",14.16,14.17,14.05,14.09,14.09,721600
"Jan 30, 2020",14.11,14.21,14.09,14.20,14.20,481200
"Jan 29, 2020",14.24,14.25,14.16,14.18,14.18,642600
"Jan 28, 2020",14.41,14.46,14.32,14.37,14.37,750600
"Jan 27, 2020",14.27,14.30,14.20,14.26,14.26,2452400
"Jan 24, 2020",14.45,14.47,14.34,14.36,14.36,1089100
"Jan 23, 2020",14.48,14.52,14.41,14.46,14.46,475700
"Jan 22, 2020",14.61,14.63,14.55,14.56,14.56,1471600
"Jan 21, 2020",14.54,14.84,14.51,14.58,14.58,3145600
"Jan 17, 2020",14.43,14.53,14.39,14.52,14.52,797900
"Jan 16, 2020",14.29,14.35,14.24,14.35,14.35,625300
"Jan 15, 2020",14.50,14.56,14.49,14.53,14.53,427800
"Jan 14, 2020",14.55,14.56,14.50,14.55,14.55,616100
"Jan 13, 2020",14.50,14.60,14.46,14.57,14.57,644100
"Jan 10, 2020",14.56,14.69,14.54,14.55,14.55,973200
"Jan 09, 2020",14.59,14.60,14.53,14.60,14.60,576400
"Jan 08, 2020",14.58,14.60,14.51,14.52,14.52,749500
"Jan 07, 2020",14.68,14.72,14.59,14.71,14.71,497000
"Jan 06, 2020",14.72,14.81,14.69,14.79,14.79,491100
"Jan 03, 2020",14.70,14.80,14.70,14.75,14.75,456800
"Jan 02, 2020",14.73,14.78,14.65,14.71,14.71,507700
"Dec 31, 2019",14.64,14.68,14.57,14.59,14.59,911700
"Dec 30, 2019",14.78,14.79,14.64,14.64,14.64,598600
"Dec 27, 2019",14.72,14.75,14.68,14.68,14.68,533900
"Dec 26, 2019",14.61,14.69,14.53,14.64,14.64,519100
"Dec 24, 2019",14.65,14.71,14.59,14.59,14.59,221100
"Dec 23, 2019",14.66,14.73,14.63,14.68,14.68,564000
"Dec 20, 2019",14.78,14.80,14.69,14.69,14.69,558900
"Dec 19, 2019",14.64,14.85,14.62,14.76,14.76,1474400
"Dec 18, 2019",14.86,15.03,14.70,14.85,14.85,899800
"Dec 17, 2019",14.94,15.00,14.80,14.88,14.88,708200
"Dec 16, 2019",14.83,14.84,14.75,14.79,14.79,463300
"Dec 13, 2019",14.80,14.84,14.69,14.69,14.69,372200
"Dec 12, 2019",14.90,14.95,14.81,14.84,14.84,836900
"Dec 11, 2019",14.84,14.87,14.72,14.77,14.77,499300
"Dec 10, 2019",14.78,14.81,14.71,14.72,14.72,715200
"Dec 09, 2019",14.91,15.01,14.84,14.85,14.85,468300
"Dec 06, 2019",15.09,15.12,15.00,15.02,15.02,327200
"Dec 05, 2019",15.18,15.19,15.05,15.08,15.08,495300
"Dec 04, 2019",15.51,15.51,15.16,15.17,15.17,708900
"Dec 03, 2019",15.94,16.02,15.90,16.01,16.01,334100
"Dec 02, 2019",16.07,16.08,15.88,15.98,15.98,537500
"Nov 29, 2019",16.22,16.32,16.19,16.32,16.32,148400
"Nov 27, 2019",16.21,16.32,16.20,16.31,16.31,376400
"Nov 27, 2019",0.332176 Dividend,0.332176 Dividend,0.332176 Dividend,0.332176 Dividend,0.332176 Dividend,0.332176 Dividend
"Nov 26, 2019",16.49,16.58,16.45,16.58,16.25,489100
"Nov 25, 2019",16.43,16.58,16.38,16.53,16.20,727400
"Nov 22, 2019",16.45,16.47,16.36,16.37,16.04,254200
"Nov 21, 2019",16.40,16.41,16.31,16.35,16.02,332900
"Nov 20, 2019",16.24,16.31,16.20,16.31,15.98,314700
"Nov 19, 2019",16.25,16.27,16.19,16.23,15.90,311300
"Nov 18, 2019",16.29,16.41,16.24,16.31,15.98,891000
"Nov 15, 2019",16.00,16.52,15.98,16.50,16.17,1491000
"Nov 14, 2019",15.79,16.13,15.76,15.97,15.65,799000
"Nov 13, 2019",15.93,15.96,15.88,15.89,15.57,233100
"Nov 12, 2019",16.05,16.09,15.93,15.93,15.61,390800
*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.
