Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",20.59,20.88,20.52,20.74,20.74,856800
"Apr 02, 2020",20.24,20.54,20.10,20.44,20.44,1110200
"Apr 01, 2020",20.45,20.85,20.40,20.48,20.48,978400
"Mar 31, 2020",21.05,21.75,21.05,21.40,21.40,1312100
"Mar 30, 2020",21.18,21.56,21.12,21.52,21.52,1163900
"Mar 27, 2020",20.53,21.44,20.23,21.05,21.05,3362300
"Mar 26, 2020",20.31,21.47,20.31,21.39,21.39,2625000
"Mar 25, 2020",19.53,20.41,19.28,20.03,20.03,1774200
"Mar 24, 2020",18.17,18.70,18.04,18.63,18.63,1411200
"Mar 23, 2020",17.04,17.48,16.81,16.92,16.92,1818400
"Mar 20, 2020",18.40,18.53,16.90,16.95,16.95,1546400
"Mar 19, 2020",17.16,18.23,17.12,17.80,17.80,801700
"Mar 18, 2020",17.61,18.08,17.06,17.64,17.64,1309300
"Mar 17, 2020",17.93,18.97,17.58,18.96,18.96,2364900
"Mar 16, 2020",17.57,18.74,17.51,18.08,18.08,2355400
"Mar 13, 2020",19.71,19.71,18.61,19.43,19.43,1459700
"Mar 12, 2020",20.15,20.15,17.70,19.27,19.27,1250500
"Mar 11, 2020",22.03,22.12,21.43,21.69,21.69,2551900
"Mar 10, 2020",22.63,22.73,21.92,22.70,22.70,1514800
"Mar 09, 2020",22.89,23.30,22.19,22.37,22.37,1689400
"Mar 06, 2020",23.84,24.28,23.82,24.21,24.21,842500
"Mar 05, 2020",24.43,24.72,24.36,24.50,24.50,758600
"Mar 04, 2020",24.79,25.12,24.55,25.11,25.11,682100
"Mar 03, 2020",24.61,24.96,24.31,24.45,24.45,1057100
"Mar 02, 2020",24.12,24.45,23.90,24.44,24.44,931500
"Feb 28, 2020",23.98,24.23,23.56,24.15,24.15,1251400
"Feb 27, 2020",25.24,25.38,24.69,24.69,24.69,772800
"Feb 26, 2020",25.53,25.83,25.47,25.53,25.53,491300
"Feb 25, 2020",25.90,25.97,25.52,25.54,25.54,528500
"Feb 24, 2020",25.84,26.03,25.82,25.90,25.90,614600
"Feb 21, 2020",26.99,27.02,26.81,26.89,26.89,367100
"Feb 20, 2020",26.90,27.08,26.84,27.05,27.05,309800
"Feb 19, 2020",27.22,27.23,27.14,27.16,27.16,267600
"Feb 18, 2020",27.10,27.26,27.09,27.18,27.18,290700
"Feb 14, 2020",26.94,27.09,26.90,27.06,27.06,267500
"Feb 13, 2020",26.81,27.10,26.69,26.98,26.98,436300
"Feb 12, 2020",26.47,26.62,26.31,26.55,26.55,584600
"Feb 11, 2020",26.94,26.95,26.78,26.79,26.79,358400
"Feb 10, 2020",26.84,26.96,26.81,26.96,26.96,295500
"Feb 07, 2020",26.99,27.03,26.89,26.89,26.89,269500
"Feb 06, 2020",27.11,27.18,27.08,27.13,27.13,240900
"Feb 05, 2020",27.09,27.14,27.00,27.08,27.08,789500
"Feb 04, 2020",26.82,26.92,26.78,26.87,26.87,357100
"Feb 03, 2020",26.35,26.44,26.20,26.23,26.23,378900
"Jan 31, 2020",26.70,26.70,26.45,26.54,26.54,347700
"Jan 30, 2020",26.59,26.73,26.53,26.71,26.71,636400
"Jan 29, 2020",26.50,26.55,26.38,26.46,26.46,268100
"Jan 28, 2020",26.50,26.66,26.45,26.63,26.63,229700
"Jan 27, 2020",26.38,26.46,26.34,26.36,26.36,285100
"Jan 24, 2020",26.94,26.99,26.67,26.69,26.69,568900
"Jan 23, 2020",26.32,26.41,26.22,26.39,26.39,343100
"Jan 22, 2020",26.37,26.50,26.33,26.37,26.37,259300
"Jan 21, 2020",25.98,26.13,25.96,26.06,26.06,292300
"Jan 17, 2020",26.22,26.23,26.11,26.20,26.20,233000
"Jan 16, 2020",26.09,26.18,26.01,26.16,26.16,281500
"Jan 15, 2020",25.90,26.13,25.90,26.03,26.03,244500
"Jan 14, 2020",25.67,25.77,25.65,25.69,25.69,267100
"Jan 13, 2020",25.30,25.45,25.26,25.45,25.45,250900
"Jan 10, 2020",25.32,25.40,25.28,25.28,25.28,253200
"Jan 09, 2020",25.23,25.36,25.20,25.25,25.25,326100
"Jan 08, 2020",24.83,25.08,24.81,25.01,25.01,204700
"Jan 07, 2020",24.91,24.95,24.84,24.89,24.89,282800
"Jan 06, 2020",24.95,25.17,24.94,25.17,25.17,245300
"Jan 03, 2020",24.88,25.12,24.88,25.02,25.02,373900
"Jan 02, 2020",25.11,25.24,25.08,25.23,25.23,372300
"Dec 31, 2019",25.17,25.29,25.16,25.27,25.27,138400
"Dec 30, 2019",25.28,25.31,25.08,25.14,25.14,178100
"Dec 27, 2019",25.28,25.32,25.17,25.30,25.30,295100
"Dec 26, 2019",25.05,25.23,24.99,25.22,25.22,164500
"Dec 24, 2019",24.97,25.08,24.92,25.04,25.04,129000
"Dec 23, 2019",24.88,24.98,24.82,24.98,24.98,304700
"Dec 20, 2019",25.03,25.08,24.96,25.01,25.01,344900
"Dec 19, 2019",24.92,24.94,24.77,24.87,24.87,189300
"Dec 18, 2019",24.93,24.94,24.78,24.89,24.89,234500
"Dec 17, 2019",24.78,24.90,24.72,24.82,24.82,343300
"Dec 16, 2019",25.15,25.31,25.00,25.01,25.01,408000
"Dec 13, 2019",24.13,24.26,24.07,24.26,24.26,345400
"Dec 12, 2019",23.82,24.02,23.80,23.98,23.98,346800
"Dec 11, 2019",24.01,24.14,23.93,24.14,24.14,349100
"Dec 10, 2019",24.12,24.23,24.09,24.20,24.20,280300
"Dec 09, 2019",24.07,24.10,24.00,24.02,24.02,178800
"Dec 06, 2019",23.98,24.12,23.88,24.06,24.06,263500
"Dec 05, 2019",23.84,23.86,23.72,23.85,23.85,272800
"Dec 04, 2019",23.82,23.91,23.77,23.82,23.82,359400
"Dec 03, 2019",23.68,23.84,23.63,23.82,23.82,817300
"Dec 02, 2019",24.09,24.09,23.80,23.96,23.96,531300
"Nov 29, 2019",24.32,24.40,24.30,24.38,24.38,160700
"Nov 27, 2019",24.26,24.33,24.22,24.31,24.31,261600
"Nov 26, 2019",24.31,24.40,24.21,24.22,24.22,270000
"Nov 25, 2019",24.49,24.52,24.32,24.34,24.34,329800
"Nov 22, 2019",23.99,24.01,23.91,23.95,23.95,234500
"Nov 21, 2019",23.72,23.79,23.61,23.74,23.74,227100
"Nov 20, 2019",23.99,24.08,23.91,23.92,23.92,255500
"Nov 19, 2019",24.48,24.50,24.22,24.32,24.32,300200
"Nov 18, 2019",24.10,24.21,24.05,24.18,24.18,258700
"Nov 15, 2019",24.01,24.08,23.94,24.07,24.07,310200
"Nov 14, 2019",24.10,24.29,24.10,24.29,24.29,227200
"Nov 13, 2019",23.89,23.99,23.88,23.99,23.99,252700
"Nov 12, 2019",23.93,24.03,23.91,23.92,23.92,221800
"Nov 11, 2019",23.67,23.76,23.64,23.70,23.70,294000
