Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 02, 2020",8.62,8.62,8.62,8.62,8.62,-
"Apr 01, 2020",8.62,8.62,8.62,8.62,8.62,-
"Mar 31, 2020",8.45,8.66,8.34,8.62,8.62,27087838
"Mar 30, 2020",8.27,8.53,8.24,8.44,8.44,26624657
"Mar 27, 2020",8.43,8.52,8.22,8.29,8.29,21187500
"Mar 26, 2020",8.01,8.63,8.00,8.61,8.61,22238400
"Mar 25, 2020",7.97,8.63,7.83,7.99,7.99,30863500
"Mar 24, 2020",8.00,8.07,7.65,8.02,8.02,24500600
"Mar 23, 2020",7.50,7.71,7.12,7.63,7.63,37014900
"Mar 20, 2020",8.14,8.28,7.40,7.50,7.50,38540000
"Mar 19, 2020",7.39,8.27,7.39,8.01,8.01,47558800
"Mar 18, 2020",7.52,7.65,6.39,7.51,7.51,32556300
"Mar 17, 2020",7.86,8.00,7.54,7.91,7.91,31637100
"Mar 16, 2020",7.76,8.21,7.65,7.73,7.73,16161000
"Mar 13, 2020",8.10,8.71,7.80,8.71,8.71,21074100
"Mar 12, 2020",8.35,8.66,7.73,7.73,7.73,46993200
"Mar 11, 2020",8.39,8.93,8.37,8.85,8.85,41290600
"Mar 10, 2020",8.26,8.60,8.11,8.59,8.59,26156700
"Mar 09, 2020",8.47,8.58,8.06,8.06,8.06,39472900
"Mar 06, 2020",8.86,8.98,8.67,8.94,8.94,22151000
"Mar 05, 2020",9.36,9.48,9.10,9.14,9.14,22889600
"Mar 04, 2020",9.19,9.57,9.18,9.57,9.57,22301800
"Mar 03, 2020",9.42,9.56,9.05,9.10,9.10,22675300
"Mar 02, 2020",9.17,9.52,9.04,9.52,9.52,25690300
"Feb 28, 2020",9.09,9.20,8.90,9.19,9.19,43602400
"Feb 27, 2020",9.44,9.52,9.29,9.30,9.30,35647100
"Feb 26, 2020",9.63,9.76,9.53,9.55,9.55,24136400
"Feb 25, 2020",9.80,9.89,9.63,9.64,9.64,28886500
"Feb 24, 2020",9.76,9.92,9.75,9.82,9.82,30147200
"Feb 21, 2020",10.09,10.16,9.84,10.05,10.05,111246400
"Feb 20, 2020",9.49,9.71,9.30,9.48,9.48,64830500
"Feb 19, 2020",9.25,9.55,9.20,9.49,9.49,39929400
"Feb 18, 2020",8.71,9.44,8.69,9.17,9.17,48282000
"Feb 14, 2020",8.64,8.76,8.63,8.69,8.69,25435800
"Feb 13, 2020",8.51,8.77,8.41,8.67,8.67,46004900
"Feb 12, 2020",8.45,8.78,8.39,8.60,8.60,73055100
"Feb 11, 2020",8.35,8.53,8.11,8.52,8.52,227290500
"Feb 10, 2020",4.92,4.95,4.75,4.80,4.80,23102600
"Feb 07, 2020",4.73,4.98,4.69,4.93,4.93,16805700
"Feb 06, 2020",4.69,4.72,4.60,4.71,4.71,10764300
"Feb 05, 2020",4.54,4.71,4.51,4.62,4.62,13996500
"Feb 04, 2020",4.33,4.56,4.30,4.54,4.54,14855600
"Feb 03, 2020",4.39,4.42,4.26,4.28,4.28,10323900
"Jan 31, 2020",4.45,4.50,4.31,4.37,4.37,11579700
"Jan 30, 2020",4.50,4.51,4.37,4.46,4.46,9318600
"Jan 29, 2020",4.67,4.68,4.46,4.56,4.56,15998700
"Jan 28, 2020",4.66,4.71,4.59,4.65,4.65,15451900
"Jan 27, 2020",4.83,4.85,4.59,4.63,4.63,16601300
"Jan 24, 2020",5.06,5.06,4.82,4.83,4.83,18846700
"Jan 23, 2020",5.01,5.09,4.97,5.04,5.04,9754800
"Jan 22, 2020",5.04,5.13,4.96,5.02,5.02,12563000
"Jan 21, 2020",4.84,5.24,4.72,4.99,4.99,36864700
"Jan 17, 2020",4.92,4.94,4.75,4.82,4.82,27158400
"Jan 16, 2020",4.88,4.98,4.84,4.92,4.92,13504600
"Jan 15, 2020",4.87,4.99,4.83,4.86,4.86,14274500
"Jan 14, 2020",4.88,4.88,4.78,4.86,4.86,12791400
"Jan 13, 2020",4.90,4.91,4.76,4.89,4.89,15176200
"Jan 10, 2020",5.03,5.03,4.86,4.88,4.88,17646400
"Jan 09, 2020",5.18,5.20,4.94,5.00,5.00,22593400
"Jan 08, 2020",5.11,5.17,5.08,5.15,5.15,12549600
"Jan 07, 2020",5.21,5.24,5.09,5.14,5.14,16311300
"Jan 06, 2020",5.16,5.24,5.16,5.23,5.23,10543700
"Jan 03, 2020",5.18,5.22,5.15,5.18,5.18,9405600
"Jan 02, 2020",5.25,5.27,5.19,5.22,5.22,8496100
"Dec 31, 2019",5.20,5.25,5.19,5.21,5.21,8974600
"Dec 30, 2019",5.21,5.25,5.20,5.22,5.22,6231400
"Dec 27, 2019",5.19,5.25,5.18,5.20,5.20,4732900
"Dec 26, 2019",5.27,5.28,5.18,5.19,5.19,6443700
"Dec 24, 2019",5.22,5.33,5.22,5.26,5.26,5520900
"Dec 23, 2019",5.41,5.42,5.22,5.23,5.23,12104600
"Dec 20, 2019",5.32,5.41,5.26,5.39,5.39,19248900
"Dec 19, 2019",5.26,5.32,5.23,5.29,5.29,14875000
"Dec 18, 2019",5.20,5.31,5.18,5.25,5.25,17558500
"Dec 17, 2019",5.22,5.24,5.17,5.20,5.20,7242000
"Dec 16, 2019",5.20,5.25,5.15,5.19,5.19,11984800
"Dec 13, 2019",5.19,5.25,5.16,5.21,5.21,14355100
"Dec 12, 2019",5.28,5.29,5.16,5.19,5.19,12262000
"Dec 11, 2019",5.30,5.35,5.25,5.25,5.25,9108100
"Dec 10, 2019",5.40,5.45,5.30,5.34,5.34,9150300
"Dec 09, 2019",5.50,5.52,5.30,5.40,5.40,25195100
"Dec 06, 2019",5.47,5.67,5.42,5.53,5.53,27573000
"Dec 05, 2019",5.68,5.68,5.39,5.41,5.41,16237300
"Dec 04, 2019",5.73,5.74,5.61,5.65,5.65,9544300
"Dec 03, 2019",5.70,5.77,5.59,5.69,5.69,18472400
"Dec 02, 2019",5.88,5.90,5.58,5.74,5.74,22900100
"Nov 29, 2019",5.91,5.95,5.88,5.92,5.92,4664500
"Nov 27, 2019",5.99,6.00,5.89,5.91,5.91,9304100
"Nov 26, 2019",5.94,6.09,5.88,5.96,5.96,13917000
"Nov 25, 2019",5.73,5.97,5.66,5.94,5.94,29815300
"Nov 22, 2019",5.63,5.76,5.61,5.74,5.74,11380900
"Nov 21, 2019",5.66,5.76,5.57,5.63,5.63,10078000
"Nov 20, 2019",5.74,5.79,5.55,5.63,5.63,10510600
"Nov 19, 2019",5.90,5.90,5.72,5.74,5.74,8259400
"Nov 18, 2019",5.82,5.90,5.76,5.86,5.86,17799900
"Nov 15, 2019",5.87,5.97,5.81,5.83,5.83,18639900
"Nov 14, 2019",5.99,6.01,5.82,5.87,5.87,10669800
"Nov 13, 2019",5.83,6.08,5.78,6.06,6.06,16648600
"Nov 12, 2019",5.92,5.95,5.77,5.87,5.87,15201200
"Nov 11, 2019",6.06,6.12,5.84,5.91,5.91,19909200
"Nov 08, 2019",6.17,6.17,6.06,6.11,6.11,10131800
*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.
