Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",28.53,28.74,27.25,27.46,27.46,53410600
"Apr 02, 2020",28.00,28.87,28.00,28.76,28.76,33818400
"Apr 01, 2020",28.38,28.58,27.70,28.05,28.05,54646000
"Mar 31, 2020",30.04,30.13,29.05,29.15,29.15,69813400
"Mar 30, 2020",29.90,30.41,29.48,30.23,30.23,41629900
"Mar 27, 2020",29.69,30.82,29.22,29.84,29.84,46386000
"Mar 26, 2020",28.68,30.96,28.68,30.60,30.60,64038000
"Mar 25, 2020",28.08,29.93,27.37,28.40,28.40,68027700
"Mar 24, 2020",28.00,28.30,26.84,28.09,28.09,76300900
"Mar 23, 2020",27.39,27.71,26.08,26.77,26.77,96884100
"Mar 20, 2020",30.46,30.50,28.18,28.45,28.45,116732300
"Mar 19, 2020",31.36,32.49,30.50,31.15,31.15,60817200
"Mar 18, 2020",32.00,32.91,30.25,32.85,32.85,76034400
"Mar 17, 2020",32.12,34.06,32.01,33.74,33.74,59642000
"Mar 16, 2020",31.00,33.89,30.92,31.81,31.81,58776600
"Mar 13, 2020",32.92,34.61,31.86,34.47,34.47,64688800
"Mar 12, 2020",31.86,33.43,31.06,31.33,31.33,84215200
"Mar 11, 2020",34.85,35.07,34.16,34.52,34.52,45296100
"Mar 10, 2020",35.51,35.89,34.24,35.85,35.85,56660600
"Mar 09, 2020",35.01,36.15,34.38,34.69,34.69,67968700
"Mar 06, 2020",36.71,37.25,36.18,37.03,37.03,48883100
"Mar 05, 2020",37.40,37.92,36.97,37.18,37.18,45298100
"Mar 04, 2020",37.02,38.22,36.72,38.18,38.18,42070400
"Mar 03, 2020",37.26,37.96,35.87,36.30,36.30,63808000
"Mar 02, 2020",35.37,37.42,35.29,37.18,37.18,68432800
"Feb 28, 2020",34.00,35.72,33.01,35.22,35.22,121099700
"Feb 27, 2020",36.58,36.91,35.36,35.73,35.73,66325700
"Feb 26, 2020",37.19,37.78,36.92,37.10,37.10,40261900
"Feb 25, 2020",38.11,38.28,37.26,37.35,37.35,48886200
"Feb 24, 2020",37.99,38.51,37.98,38.05,38.05,34886900
"Feb 21, 2020",38.52,38.68,38.37,38.55,38.55,28468200
"Feb 20, 2020",38.40,38.67,38.31,38.61,38.61,27176100
"Feb 19, 2020",38.24,38.65,38.16,38.44,38.44,22601200
"Feb 18, 2020",38.18,38.32,38.04,38.26,38.26,24273900
"Feb 14, 2020",38.28,38.47,38.11,38.25,38.25,27388900
"Feb 13, 2020",37.88,38.43,37.85,38.31,38.31,24627600
"Feb 12, 2020",38.19,38.33,38.02,38.04,38.04,31309400
"Feb 11, 2020",38.49,38.82,37.90,38.17,38.17,31978000
"Feb 10, 2020",38.42,38.54,38.10,38.34,38.34,18544300
"Feb 07, 2020",38.45,38.72,38.36,38.45,38.45,25198700
"Feb 06, 2020",37.86,38.48,37.86,38.44,38.44,26212600
"Feb 05, 2020",37.73,37.95,37.52,37.81,37.81,24637500
"Feb 04, 2020",37.08,37.74,36.94,37.63,37.63,31958800
"Feb 03, 2020",37.96,37.97,36.80,36.96,36.96,40785800
"Jan 31, 2020",37.32,37.76,37.25,37.62,37.62,41160000
"Jan 30, 2020",36.47,37.45,36.32,37.43,37.43,50680300
"Jan 29, 2020",38.50,38.56,37.03,37.05,37.05,57955000
"Jan 28, 2020",38.32,38.80,38.27,38.58,38.58,30847800
"Jan 27, 2020",38.02,38.57,38.01,38.25,38.25,35221600
"Jan 24, 2020",38.60,38.78,38.23,38.50,38.50,34465300
"Jan 23, 2020",38.96,38.99,38.55,38.63,38.63,29008000
"Jan 22, 2020",38.68,39.14,38.64,39.04,39.04,36134800
"Jan 21, 2020",38.35,38.64,38.18,38.52,38.52,43754600
"Jan 17, 2020",38.05,38.44,37.98,38.38,38.38,33593600
"Jan 16, 2020",37.99,38.13,37.77,38.03,38.03,27320300
"Jan 15, 2020",37.97,38.03,37.79,37.87,37.87,26077200
"Jan 14, 2020",38.06,38.19,37.95,38.09,38.09,26532700
"Jan 13, 2020",38.54,38.55,38.02,38.10,38.10,33066900
"Jan 10, 2020",38.81,38.95,38.57,38.57,38.57,29720800
"Jan 09, 2020",38.92,39.00,38.55,38.80,38.80,39447800
"Jan 09, 2020",0.52 Dividend,0.52 Dividend,0.52 Dividend,0.52 Dividend,0.52 Dividend,0.52 Dividend
"Jan 08, 2020",39.33,39.55,39.29,39.37,38.85,40518000
"Jan 07, 2020",39.08,39.30,38.98,39.25,38.73,28200500
"Jan 06, 2020",38.99,39.15,38.82,39.10,38.58,38693200
"Jan 03, 2020",38.58,39.20,38.57,39.06,38.54,27414400
"Jan 02, 2020",39.16,39.22,38.71,38.86,38.35,32602300
"Dec 31, 2019",39.01,39.11,38.86,39.08,38.56,20216500
"Dec 30, 2019",39.27,39.28,38.98,39.04,38.52,17665900
"Dec 27, 2019",39.24,39.36,39.20,39.24,38.72,15430700
"Dec 26, 2019",38.99,39.20,38.97,39.16,38.64,19818000
"Dec 24, 2019",39.10,39.12,38.90,38.96,38.45,8697200
"Dec 23, 2019",39.25,39.43,39.04,39.07,38.55,29139800
"Dec 20, 2019",39.21,39.26,38.89,39.15,38.63,48368200
"Dec 19, 2019",38.79,38.93,38.66,38.93,38.42,25075300
"Dec 18, 2019",38.60,38.93,38.59,38.74,38.23,28433500
"Dec 17, 2019",38.60,38.70,38.45,38.50,37.99,34739300
"Dec 16, 2019",38.37,38.65,38.37,38.59,38.08,24043100
"Dec 13, 2019",38.21,38.28,37.95,38.26,37.75,24892400
"Dec 12, 2019",38.20,38.57,38.20,38.35,37.84,23593400
"Dec 11, 2019",38.02,38.25,38.00,38.17,37.67,18526700
"Dec 10, 2019",38.07,38.27,37.82,38.06,37.56,21777500
"Dec 09, 2019",38.12,38.43,38.03,38.04,37.54,20603200
"Dec 06, 2019",38.29,38.58,38.14,38.20,37.70,22606100
"Dec 05, 2019",38.12,38.36,38.01,38.19,37.69,21764300
"Dec 04, 2019",37.59,38.36,37.51,38.10,37.60,38236900
"Dec 03, 2019",37.20,37.55,36.91,37.55,37.05,24870000
"Dec 02, 2019",37.48,37.48,37.23,37.32,36.83,24887600
"Nov 29, 2019",37.74,37.96,37.36,37.38,36.89,18172500
"Nov 27, 2019",37.44,37.82,37.40,37.66,37.16,17069500
"Nov 26, 2019",37.28,37.44,36.77,37.40,36.91,54029500
"Nov 25, 2019",37.90,37.90,37.18,37.26,36.77,32466100
"Nov 22, 2019",37.75,37.93,37.69,37.75,37.25,19877100
"Nov 21, 2019",37.03,37.70,37.03,37.60,37.10,31358500
"Nov 20, 2019",37.09,37.61,36.40,37.18,36.69,69861400
"Nov 19, 2019",38.92,38.97,37.37,38.00,37.50,64556800
"Nov 18, 2019",39.30,39.70,39.21,39.63,39.11,25969700
"Nov 15, 2019",39.13,39.51,39.06,39.50,38.98,31476800
"Nov 14, 2019",38.97,39.08,38.69,38.95,38.44,27469000
"Nov 13, 2019",39.19,39.31,39.05,39.16,38.64,16596900
"Nov 12, 2019",39.35,39.48,39.07,39.17,38.65,16550100
*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.
