Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",84.56,84.99,81.04,81.98,81.98,8376300
"Apr 02, 2020",85.05,88.52,84.02,84.41,84.41,22956100
"Apr 01, 2020",82.99,86.71,82.70,85.13,85.13,11018800
"Mar 31, 2020",83.04,84.75,81.98,83.90,83.90,6920600
"Mar 30, 2020",82.29,83.86,81.24,83.12,83.12,5625200
"Mar 27, 2020",82.54,83.90,81.02,81.72,81.72,4309600
"Mar 26, 2020",80.00,84.99,79.73,84.63,84.63,4821300
"Mar 25, 2020",77.77,85.47,77.75,79.17,79.17,6252700
"Mar 24, 2020",78.50,79.71,75.83,78.65,78.65,5929100
"Mar 23, 2020",74.98,76.66,70.83,75.70,75.70,8328800
"Mar 20, 2020",80.00,82.00,73.16,74.55,74.55,6836600
"Mar 19, 2020",74.77,81.99,73.61,79.45,79.45,8906200
"Mar 18, 2020",74.60,76.10,63.50,74.32,74.32,11114200
"Mar 17, 2020",77.60,80.40,75.45,78.35,78.35,7609100
"Mar 16, 2020",78.34,80.55,74.84,76.53,76.53,6787700
"Mar 13, 2020",80.15,85.52,76.61,85.39,85.39,7401700
"Mar 12, 2020",82.02,85.00,76.41,76.76,76.76,9075300
"Mar 11, 2020",82.86,87.83,82.85,86.45,86.45,8840300
"Mar 10, 2020",81.98,85.01,80.21,84.98,84.98,6713600
"Mar 09, 2020",83.27,84.89,79.58,79.75,79.75,7946600
"Mar 06, 2020",86.10,88.28,85.42,87.86,87.86,5978500
"Mar 05, 2020",91.61,93.16,89.19,89.86,89.86,4941300
"Mar 04, 2020",90.43,93.96,90.25,93.81,93.81,5222200
"Mar 03, 2020",92.63,93.92,88.77,89.37,89.37,5702000
"Mar 02, 2020",90.28,93.36,88.98,93.29,93.29,5160600
"Feb 28, 2020",89.44,90.50,87.48,90.16,90.16,6958100
"Feb 27, 2020",92.83,93.32,91.16,91.24,91.24,5856400
"Feb 26, 2020",94.68,95.66,93.44,93.65,93.65,4371300
"Feb 25, 2020",96.56,97.00,94.45,94.58,94.58,5117500
