Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",13.42,13.62,13.37,13.54,13.54,3035000
"Apr 02, 2020",13.49,14.25,13.27,13.61,13.61,4748800
"Apr 01, 2020",13.50,13.68,13.31,13.36,13.36,3958900
"Mar 31, 2020",13.92,14.21,13.58,13.77,13.77,5619800
"Mar 30, 2020",14.07,14.24,13.73,14.14,14.14,3840000
"Mar 27, 2020",14.27,14.62,13.80,14.32,14.32,3712000
"Mar 26, 2020",13.71,14.98,13.70,14.79,14.79,7670300
"Mar 25, 2020",13.51,14.08,13.33,13.64,13.64,4920100
"Mar 24, 2020",13.20,13.29,12.69,13.02,13.02,4741900
"Mar 23, 2020",12.92,13.05,12.41,12.54,12.54,9663300
"Mar 20, 2020",13.74,13.86,12.67,12.68,12.68,8081400
"Mar 19, 2020",12.94,13.92,12.85,13.65,13.65,9365300
"Mar 18, 2020",12.75,13.15,12.08,12.60,12.60,8357300
"Mar 17, 2020",11.78,13.21,11.60,13.08,13.08,6074400
"Mar 16, 2020",11.58,12.11,11.46,11.59,11.59,6378000
"Mar 13, 2020",13.94,13.97,12.98,13.70,13.70,6007200
"Mar 12, 2020",13.46,13.79,12.73,13.40,13.40,7672300
"Mar 11, 2020",15.29,15.40,14.82,14.97,14.97,5542800
"Mar 10, 2020",16.33,16.40,15.62,16.14,16.14,8574700
"Mar 09, 2020",16.50,16.92,15.90,15.91,15.91,5375600
"Mar 06, 2020",17.66,17.87,17.50,17.76,17.76,2843100
"Mar 05, 2020",17.97,18.30,17.83,18.05,18.05,4682500
"Mar 04, 2020",17.66,18.24,17.51,18.22,18.22,4978800
"Mar 03, 2020",17.23,17.46,16.76,16.88,16.88,5366200
"Mar 02, 2020",17.01,17.36,16.87,17.36,17.36,7753100
"Feb 28, 2020",17.21,17.50,16.91,17.50,17.50,8288300
"Feb 27, 2020",18.04,18.38,17.98,17.99,17.99,4687700
"Feb 26, 2020",18.64,18.93,18.61,18.63,18.63,2705800
"Feb 25, 2020",19.30,19.33,18.74,18.82,18.82,2516800
"Feb 24, 2020",19.31,19.46,19.15,19.30,19.30,2947600
"Feb 21, 2020",20.02,20.08,19.94,20.06,20.06,1925400
"Feb 20, 2020",20.03,20.10,19.90,20.00,20.00,2714700
"Feb 19, 2020",20.18,20.25,20.04,20.04,20.04,3322200
"Feb 18, 2020",19.51,20.22,19.48,20.20,20.20,8361700
"Feb 14, 2020",19.58,19.58,19.43,19.46,19.46,1541900
"Feb 13, 2020",19.63,19.86,19.61,19.67,19.67,2062500
"Feb 12, 2020",19.70,19.77,19.63,19.73,19.73,2308700
"Feb 11, 2020",19.40,19.52,19.36,19.38,19.38,2110700
"Feb 10, 2020",19.52,19.54,19.27,19.33,19.33,2101600
"Feb 07, 2020",19.93,19.95,19.67,19.69,19.69,4180500
"Feb 06, 2020",19.33,19.57,19.33,19.56,19.56,3761600
"Feb 05, 2020",19.31,19.35,18.78,18.94,18.94,5586600
"Feb 04, 2020",19.75,19.78,19.59,19.64,19.64,2927600
"Feb 03, 2020",19.60,19.74,19.52,19.58,19.58,1772600
"Jan 31, 2020",19.69,19.71,19.54,19.61,19.61,1654600
"Jan 30, 2020",19.61,19.77,19.51,19.76,19.76,3235400
"Jan 29, 2020",20.21,20.26,20.11,20.15,20.15,2067500
"Jan 28, 2020",20.19,20.37,20.18,20.33,20.33,2004500
"Jan 27, 2020",20.17,20.20,19.97,20.07,20.07,2921700
"Jan 24, 2020",20.40,20.42,20.23,20.40,20.40,4358500
"Jan 23, 2020",20.18,20.31,20.05,20.29,20.29,2429400
"Jan 22, 2020",20.16,20.17,19.92,19.94,19.94,2750800
"Jan 21, 2020",20.19,20.22,20.11,20.16,20.16,2303500
"Jan 17, 2020",20.17,20.19,19.97,20.09,20.09,2420000
"Jan 16, 2020",20.37,20.38,20.22,20.30,20.30,3229500
"Jan 15, 2020",20.40,20.53,20.39,20.43,20.43,2214700
"Jan 14, 2020",20.21,20.46,20.13,20.37,20.37,4800900
"Jan 13, 2020",19.55,19.70,19.51,19.70,19.70,2324000
"Jan 10, 2020",19.89,19.95,19.69,19.69,19.69,2460800
"Jan 09, 2020",19.66,19.88,19.62,19.88,19.88,3800100
"Jan 08, 2020",19.21,19.36,19.20,19.30,19.30,1546900
"Jan 07, 2020",19.36,19.36,19.13,19.21,19.21,2543400
"Jan 06, 2020",19.24,19.39,19.20,19.34,19.34,1809400
"Jan 03, 2020",19.34,19.40,19.29,19.29,19.29,1453100
"Jan 02, 2020",19.38,19.46,19.34,19.43,19.43,1734600
"Dec 31, 2019",19.28,19.35,19.23,19.33,19.33,2213500
"Dec 30, 2019",19.53,19.59,19.33,19.34,19.34,2273800
"Dec 27, 2019",19.59,19.72,19.56,19.62,19.62,2387000
"Dec 26, 2019",19.30,19.44,19.30,19.41,19.41,1815800
"Dec 24, 2019",19.33,19.42,19.32,19.35,19.35,1059800
"Dec 23, 2019",19.39,19.42,19.30,19.36,19.36,2586300
"Dec 20, 2019",19.72,19.74,19.51,19.54,19.54,3687200
"Dec 19, 2019",19.49,19.64,19.49,19.55,19.55,2981500
"Dec 18, 2019",19.56,19.69,19.55,19.61,19.61,2688700
"Dec 17, 2019",19.41,19.59,19.34,19.52,19.52,3774100
"Dec 16, 2019",19.96,19.97,19.69,19.69,19.69,4175000
"Dec 13, 2019",19.45,19.61,19.38,19.53,19.53,4740200
"Dec 12, 2019",19.02,19.12,18.81,18.94,18.94,3600200
"Dec 11, 2019",18.88,18.94,18.83,18.90,18.90,2814900
"Dec 10, 2019",18.73,18.86,18.73,18.79,18.79,4240500
"Dec 09, 2019",18.81,18.95,18.79,18.87,18.87,3003600
"Dec 06, 2019",18.91,18.95,18.81,18.93,18.93,2239500
"Dec 05, 2019",18.95,19.04,18.90,18.95,18.95,3504700
"Dec 04, 2019",19.01,19.15,18.94,19.08,19.08,2854400
"Dec 03, 2019",18.80,19.02,18.76,19.00,19.00,3737100
"Dec 02, 2019",19.47,19.50,19.09,19.18,19.18,4539100
"Nov 29, 2019",19.73,19.83,19.70,19.82,19.82,2142100
"Nov 27, 2019",19.99,20.13,19.92,20.12,20.12,3110400
"Nov 27, 2019",0.497 Dividend,0.497 Dividend,0.497 Dividend,0.497 Dividend,0.497 Dividend,0.497 Dividend
"Nov 26, 2019",20.26,20.30,20.15,20.24,19.74,3849400
"Nov 25, 2019",20.22,20.25,20.14,20.23,19.73,3650800
"Nov 22, 2019",19.95,20.03,19.89,20.02,19.53,3000600
"Nov 21, 2019",19.64,19.65,19.55,19.61,19.13,1863600
"Nov 20, 2019",19.56,19.70,19.51,19.58,19.10,2639300
"Nov 19, 2019",19.85,19.87,19.73,19.83,19.34,3109800
"Nov 18, 2019",19.80,19.85,19.65,19.67,19.19,2926400
"Nov 15, 2019",19.92,20.04,19.83,19.85,19.36,5142700
"Nov 14, 2019",20.65,20.72,20.43,20.51,20.01,3318300
"Nov 13, 2019",20.87,21.17,20.87,21.11,20.59,2567000
"Nov 12, 2019",21.35,21.72,21.12,21.25,20.73,5490400
