Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",55.00,55.24,54.28,54.70,54.70,17604300
"Apr 02, 2020",53.56,55.50,53.09,55.25,55.25,20159400
"Apr 01, 2020",52.50,53.45,52.16,52.92,52.92,18672600
"Mar 31, 2020",54.07,54.54,53.55,53.73,53.73,21251800
"Mar 30, 2020",53.49,55.03,52.94,54.77,54.77,20660200
"Mar 27, 2020",52.15,53.84,51.54,52.77,52.77,25363600
"Mar 26, 2020",49.59,53.90,49.51,53.54,53.54,32610900
"Mar 25, 2020",49.36,51.91,48.84,49.94,49.94,38551300
"Mar 24, 2020",51.96,51.96,49.18,49.99,49.99,40626900
"Mar 23, 2020",50.61,53.27,49.13,50.31,50.31,39225100
"Mar 20, 2020",52.72,53.04,50.71,51.80,51.80,46013800
"Mar 19, 2020",53.76,54.92,52.78,53.62,53.62,33024900
"Mar 18, 2020",53.99,55.93,50.88,54.32,54.32,38417400
"Mar 17, 2020",51.50,55.48,51.49,54.31,54.31,33898000
"Mar 16, 2020",50.90,53.20,49.02,50.99,50.99,36990400
"Mar 13, 2020",53.00,54.37,51.45,54.17,54.17,45744000
"Mar 12, 2020",51.95,54.00,50.75,51.20,51.20,45610600
"Mar 11, 2020",55.36,55.53,54.19,54.83,54.83,21147400
"Mar 10, 2020",56.07,56.89,53.92,56.52,56.52,34330900
"Mar 09, 2020",54.37,57.58,54.01,55.83,55.83,31862200
"Mar 06, 2020",55.29,57.21,55.10,56.87,56.87,22510800
"Mar 05, 2020",56.87,57.52,56.49,57.16,57.16,21249900
"Mar 04, 2020",56.61,58.25,56.11,58.12,58.12,17626400
"Mar 03, 2020",57.21,58.05,55.22,55.70,55.70,27500200
"Mar 02, 2020",55.16,57.54,54.88,57.32,57.32,30736200
"Feb 28, 2020",53.74,54.18,52.18,54.16,54.16,45881200
"Feb 27, 2020",56.78,57.38,55.03,55.06,55.06,25907200
"Feb 26, 2020",57.38,57.87,56.90,57.14,57.14,16803600
"Feb 25, 2020",58.04,58.40,56.86,57.12,57.12,19384900
"Feb 24, 2020",58.17,58.69,57.98,57.99,57.99,18520900
"Feb 21, 2020",57.91,58.25,57.80,58.20,58.20,15704300
"Feb 20, 2020",58.09,58.36,57.94,58.09,58.09,16748600
"Feb 19, 2020",58.13,58.58,57.76,58.22,58.22,13642800
"Feb 18, 2020",58.76,58.76,57.81,57.91,57.91,12427300
"Feb 14, 2020",58.70,58.81,58.28,58.51,58.51,9138900
"Feb 13, 2020",58.37,58.83,57.95,58.65,58.65,19460100
"Feb 12, 2020",58.58,58.86,58.12,58.23,58.23,20938000
"Feb 11, 2020",60.19,60.35,58.26,58.69,58.69,22488200
"Feb 10, 2020",59.93,60.24,59.77,60.24,60.24,8270200
"Feb 07, 2020",59.66,60.15,59.54,59.94,59.94,9418100
"Feb 06, 2020",59.20,59.67,59.06,59.44,59.44,10283700
"Feb 05, 2020",58.53,59.19,58.42,59.13,59.13,10271900
"Feb 04, 2020",58.07,58.57,57.65,58.29,58.29,13924600
"Feb 03, 2020",59.61,59.68,58.01,58.05,58.05,15571000
"Jan 31, 2020",59.34,60.05,59.11,59.44,59.44,14283600
"Jan 30, 2020",58.70,59.39,58.34,59.36,59.36,16719600
"Jan 29, 2020",60.85,60.92,59.44,59.53,59.53,13408900
"Jan 28, 2020",59.98,61.00,59.87,60.70,60.70,15367500
"Jan 27, 2020",59.84,60.36,59.62,59.91,59.91,11482300
"Jan 24, 2020",60.50,60.66,60.11,60.28,60.28,10182800
"Jan 23, 2020",60.38,60.53,60.00,60.51,60.51,11109000
"Jan 22, 2020",60.45,60.82,60.28,60.48,60.48,8847100
"Jan 21, 2020",60.20,60.47,60.10,60.32,60.32,12857600
"Jan 17, 2020",59.69,60.15,59.64,60.13,60.13,15615700
"Jan 16, 2020",59.38,59.85,59.22,59.67,59.67,10689600
"Jan 15, 2020",59.25,59.42,58.87,59.10,59.10,10291300
"Jan 14, 2020",59.00,59.13,58.76,59.04,59.04,12697100
"Jan 13, 2020",59.02,59.37,58.78,59.15,59.15,14158400
"Jan 10, 2020",59.02,59.30,58.84,58.99,58.99,11786700
"Jan 09, 2020",58.89,59.40,58.80,58.85,58.85,20134600
"Jan 09, 2020",0.615 Dividend,0.615 Dividend,0.615 Dividend,0.615 Dividend,0.615 Dividend,0.615 Dividend
"Jan 08, 2020",59.67,60.10,59.63,59.71,59.09,15926500
"Jan 07, 2020",60.10,60.18,59.58,59.60,58.99,14293100
"Jan 06, 2020",60.11,60.59,60.08,60.27,59.65,15094500
"Jan 03, 2020",60.59,60.79,60.07,60.40,59.78,13263200
"Jan 02, 2020",61.38,61.45,60.81,61.05,60.42,11447900
"Dec 31, 2019",61.21,61.40,60.94,61.40,60.77,8466700
"Dec 30, 2019",61.65,61.69,61.09,61.21,60.58,6765400
"Dec 27, 2019",61.39,61.62,61.25,61.53,60.90,8166800
"Dec 26, 2019",61.28,61.37,61.11,61.29,60.66,8117800
"Dec 24, 2019",61.46,61.46,61.02,61.28,60.65,6640100
"Dec 23, 2019",62.01,62.15,61.32,61.40,60.77,9477500
"Dec 20, 2019",61.46,62.22,61.14,62.07,61.43,42977900
"Dec 19, 2019",60.90,61.13,60.69,60.80,60.17,11901600
"Dec 18, 2019",61.51,61.70,60.82,60.86,60.23,17292600
"Dec 17, 2019",61.40,61.71,61.35,61.49,60.86,13648700
"Dec 16, 2019",60.73,61.27,60.71,61.23,60.60,11493000
"Dec 13, 2019",61.12,61.19,60.25,60.81,60.18,10585900
"Dec 12, 2019",61.10,61.63,61.10,61.17,60.54,8571600
"Dec 11, 2019",61.36,61.42,60.99,61.08,60.45,9657500
"Dec 10, 2019",61.15,61.23,60.79,61.23,60.60,8290900
"Dec 09, 2019",60.98,61.11,60.87,61.01,60.38,9370200
"Dec 06, 2019",61.00,61.28,60.91,61.19,60.56,9296900
"Dec 05, 2019",60.63,60.92,60.32,60.82,60.19,9812500
"Dec 04, 2019",60.02,60.63,59.85,60.53,59.91,8237500
"Dec 03, 2019",59.99,60.20,59.58,60.14,59.52,10289400
"Dec 02, 2019",60.20,60.23,59.63,59.96,59.34,9142000
"Nov 29, 2019",60.16,60.53,60.16,60.24,59.62,6791400
"Nov 27, 2019",60.01,60.27,59.99,60.10,59.48,8795300
"Nov 26, 2019",59.55,59.91,59.13,59.89,59.27,11936900
"Nov 25, 2019",59.83,59.85,59.22,59.38,58.77,10644500
"Nov 22, 2019",59.66,60.03,59.66,59.75,59.13,10741300
"Nov 21, 2019",59.61,59.69,59.27,59.61,59.00,8056000
"Nov 20, 2019",59.49,59.66,59.09,59.48,58.87,12362100
"Nov 19, 2019",59.43,59.75,59.28,59.50,58.89,10492700
"Nov 18, 2019",59.46,59.46,59.05,59.44,58.83,10165100
"Nov 15, 2019",59.48,59.53,59.06,59.51,58.90,11758800
"Nov 14, 2019",58.93,59.34,58.84,59.34,58.73,9530200
"Nov 13, 2019",59.15,59.52,58.80,59.41,58.80,10255600
"Nov 12, 2019",59.91,59.94,59.14,59.32,58.71,7709400
*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.
