Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",124.30,128.48,120.11,128.20,128.20,12212800
"Apr 02, 2020",125.30,133.49,114.50,121.93,121.93,27313800
"Apr 01, 2020",144.50,144.60,135.18,137.00,137.00,11453300
"Mar 31, 2020",147.02,149.79,143.36,146.12,146.12,10023700
"Mar 30, 2020",160.76,161.69,147.20,150.88,150.88,15762200
"Mar 27, 2020",145.70,154.97,145.60,151.70,151.70,13271900
"Mar 26, 2020",140.51,146.65,138.20,141.15,141.15,9252700
"Mar 25, 2020",140.10,149.00,136.20,138.11,138.11,14743000
"Mar 24, 2020",154.00,155.00,133.88,135.18,135.18,22401300
"Mar 23, 2020",142.00,164.94,137.25,159.56,159.56,27681500
"Mar 20, 2020",129.00,135.98,124.00,130.55,130.55,13872600
"Mar 19, 2020",122.95,132.23,119.10,123.77,123.77,16248400
"Mar 18, 2020",111.00,119.00,108.85,118.71,118.71,13594300
"Mar 17, 2020",107.33,113.83,102.00,111.10,111.10,18721500
"Mar 16, 2020",105.00,119.87,103.20,107.86,107.86,17210700
"Mar 13, 2020",113.00,113.80,104.16,107.47,107.47,9233500
"Mar 12, 2020",106.25,113.87,104.39,109.47,109.47,12097900
"Mar 11, 2020",108.41,113.99,107.00,110.30,110.30,12576700
"Mar 10, 2020",113.80,113.80,105.00,108.49,108.49,10244000
"Mar 09, 2020",105.00,116.50,100.88,113.75,113.75,14571300
"Mar 06, 2020",119.65,122.00,107.00,114.32,114.32,22975700
"Mar 05, 2020",110.25,129.83,110.00,125.00,125.00,28149400
"Mar 04, 2020",118.51,119.97,113.11,116.80,116.80,12102600
"Mar 03, 2020",114.55,119.20,112.11,117.47,117.47,11033700
"Mar 02, 2020",109.35,114.50,102.50,113.11,113.11,10157400
"Feb 28, 2020",121.07,121.93,97.37,105.00,105.00,21711000
"Feb 27, 2020",109.43,118.00,107.60,113.55,113.55,13511800
"Feb 26, 2020",109.94,111.30,105.60,106.88,106.88,6867500
"Feb 25, 2020",108.52,111.80,104.47,107.08,107.08,13425900
"Feb 24, 2020",97.80,110.00,97.02,105.01,105.01,12172800
"Feb 21, 2020",104.03,104.29,98.09,101.76,101.76,5519200
"Feb 20, 2020",104.00,110.75,101.43,105.29,105.29,11293200
"Feb 19, 2020",100.32,105.08,99.75,103.93,103.93,7793800
"Feb 18, 2020",93.02,98.14,92.40,96.39,96.39,5608200
"Feb 14, 2020",90.88,91.71,89.81,90.95,90.95,2295000
"Feb 13, 2020",87.61,91.93,87.00,89.86,89.86,3406400
"Feb 12, 2020",88.66,89.50,86.52,88.28,88.28,1671100
