Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",1911.15,1926.33,1889.15,1906.59,1906.59,3603100
"Apr 02, 2020",1901.64,1927.53,1890.00,1918.83,1918.83,4336000
"Apr 01, 2020",1932.97,1944.96,1893.00,1907.70,1907.70,4121900
"Mar 31, 2020",1964.35,1993.02,1944.01,1949.72,1949.72,5123600
"Mar 30, 2020",1922.83,1973.63,1912.34,1963.95,1963.95,6126100
"Mar 27, 2020",1930.86,1939.79,1899.92,1900.10,1900.10,5387900
"Mar 26, 2020",1902.00,1956.49,1889.29,1955.49,1955.49,6221300
"Mar 25, 2020",1920.69,1950.26,1885.78,1885.84,1885.84,6479100
"Mar 24, 2020",1951.50,1955.00,1900.34,1940.10,1940.10,7147100
"Mar 23, 2020",1827.75,1919.40,1812.00,1902.83,1902.83,7808500
"Mar 20, 2020",1926.31,1957.00,1820.73,1846.09,1846.09,9817900
"Mar 19, 2020",1860.00,1945.00,1832.65,1880.93,1880.93,10399900
"Mar 18, 2020",1750.00,1841.66,1745.00,1830.00,1830.00,9645200
"Mar 17, 2020",1775.47,1857.78,1689.24,1807.84,1807.84,10917100
"Mar 16, 2020",1641.51,1759.45,1626.03,1689.15,1689.15,8917300
"Mar 13, 2020",1755.00,1786.31,1680.62,1785.00,1785.00,8809700
"Mar 12, 2020",1721.98,1765.00,1675.00,1676.61,1676.61,11346200
"Mar 11, 2020",1857.85,1871.32,1801.50,1820.86,1820.86,5624800
"Mar 10, 2020",1870.88,1894.27,1818.17,1891.82,1891.82,7133300
"Mar 09, 2020",1773.86,1862.77,1761.29,1800.61,1800.61,7813200
"Mar 06, 2020",1875.00,1910.87,1869.50,1901.09,1901.09,5273600
"Mar 05, 2020",1933.00,1960.72,1910.00,1924.03,1924.03,4748200
"Mar 04, 2020",1946.57,1978.00,1922.00,1975.83,1975.83,4772900
"Mar 03, 2020",1975.37,1996.33,1888.09,1908.99,1908.99,7534500
"Mar 02, 2020",1906.49,1954.51,1870.00,1953.95,1953.95,6761700
"Feb 28, 2020",1814.63,1889.76,1811.13,1883.75,1883.75,9493800
"Feb 27, 2020",1934.38,1975.00,1882.76,1884.30,1884.30,8144000
"Feb 26, 2020",1970.28,2014.67,1960.45,1979.59,1979.59,5224600
"Feb 25, 2020",2026.42,2034.60,1958.42,1972.74,1972.74,6219100
"Feb 24, 2020",2003.18,2039.30,1987.97,2009.29,2009.29,6547000
"Feb 21, 2020",2142.15,2144.55,2088.00,2095.97,2095.97,4646300
"Feb 20, 2020",2173.07,2176.79,2127.45,2153.10,2153.10,3131300
"Feb 19, 2020",2167.80,2185.10,2161.12,2170.22,2170.22,2561200
"Feb 18, 2020",2125.02,2166.07,2124.11,2155.67,2155.67,2945600
"Feb 14, 2020",2155.68,2159.04,2125.89,2134.87,2134.87,2606200
"Feb 13, 2020",2144.99,2170.28,2142.00,2149.87,2149.87,3031800
"Feb 12, 2020",2163.20,2180.25,2155.29,2160.00,2160.00,3334300
"Feb 11, 2020",2150.90,2185.95,2136.00,2150.80,2150.80,5746000
"Feb 10, 2020",2085.01,2135.60,2084.96,2133.91,2133.91,5056200
"Feb 07, 2020",2041.99,2098.53,2038.10,2079.28,2079.28,5095300
"Feb 06, 2020",2041.02,2056.30,2024.80,2050.23,2050.23,3183000
"Feb 05, 2020",2071.02,2071.02,2032.00,2039.87,2039.87,4376200
"Feb 04, 2020",2029.88,2059.80,2015.37,2049.67,2049.67,5289300
"Feb 03, 2020",2010.60,2048.50,2000.25,2004.20,2004.20,5899100
"Jan 31, 2020",2051.47,2055.72,2002.27,2008.72,2008.72,15567300
