Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",190.12,190.55,185.41,187.11,187.11,9478700
"Apr 02, 2020",186.08,191.30,185.69,188.90,188.90,13412100
"Apr 01, 2020",189.50,192.87,185.04,187.56,187.56,17948600
"Mar 31, 2020",192.00,196.79,190.60,194.48,194.48,19084800
"Mar 30, 2020",187.48,191.48,187.01,191.27,191.27,12254400
"Mar 27, 2020",189.97,192.74,188.00,188.59,188.59,13376400
"Mar 26, 2020",188.64,196.32,187.60,195.32,195.32,15416800
"Mar 25, 2020",185.82,195.19,184.51,188.56,188.56,19605200
"Mar 24, 2020",183.09,188.80,181.18,185.75,185.75,20801500
"Mar 23, 2020",175.27,178.50,169.95,176.34,176.34,22554700
"Mar 20, 2020",187.74,188.30,180.00,181.30,181.30,21006100
"Mar 19, 2020",179.26,187.25,177.39,180.88,180.88,20905700
"Mar 18, 2020",176.00,182.41,170.00,180.00,180.00,22054200
"Mar 17, 2020",181.26,189.39,179.69,184.81,184.81,19276500
"Mar 16, 2020",176.15,188.00,174.50,178.85,178.85,26628500
"Mar 13, 2020",194.90,195.99,187.81,194.00,194.00,23650500
"Mar 12, 2020",186.50,190.49,183.93,185.10,185.10,30247100
"Mar 11, 2020",201.65,203.10,196.11,198.91,198.91,18908200
"Mar 10, 2020",205.53,207.45,200.80,206.39,206.39,19022600
"Mar 09, 2020",195.62,199.89,193.93,197.66,197.66,25502600
"Mar 06, 2020",206.70,207.00,201.10,204.64,204.64,21700500
"Mar 05, 2020",210.00,215.15,209.14,211.46,211.46,13462900
"Mar 04, 2020",209.49,212.70,208.85,211.96,211.96,12474400
"Mar 03, 2020",211.08,211.39,202.24,207.41,207.41,20813800
"Mar 02, 2020",208.59,211.11,203.76,210.98,210.98,21542200
"Feb 28, 2020",198.98,208.92,198.56,208.00,208.00,31276200
"Feb 27, 2020",205.01,209.97,201.86,205.03,205.03,22741200
"Feb 26, 2020",206.80,213.08,206.79,208.74,208.74,19482100
"Feb 25, 2020",208.51,209.95,204.10,205.61,205.61,18132400
"Feb 24, 2020",203.55,207.28,202.51,206.16,206.16,19380200
"Feb 21, 2020",217.54,217.60,211.56,212.59,212.59,17681200
"Feb 20, 2020",222.50,222.50,214.22,218.04,218.04,14950100
"Feb 19, 2020",221.52,223.56,220.75,222.14,222.14,10798100
"Feb 18, 2020",218.55,220.85,217.51,220.52,220.52,12987000
"Feb 14, 2020",221.10,221.64,218.23,219.63,219.63,10690000
"Feb 13, 2020",220.00,225.00,218.99,220.36,220.36,28069700
"Feb 12, 2020",221.13,225.52,220.21,224.31,224.31,18671900
"Feb 11, 2020",219.91,220.01,215.29,217.21,217.21,16073500
"Feb 10, 2020",213.50,215.77,212.20,215.77,215.77,17420300
"Feb 07, 2020",217.46,217.84,214.88,216.53,216.53,13790300
"Feb 06, 2020",223.13,223.65,219.78,220.90,220.90,10790800
"Feb 05, 2020",226.52,226.70,217.54,220.22,220.22,15766100
"Feb 04, 2020",221.35,224.38,220.49,222.88,222.88,16695100
"Feb 03, 2020",208.67,215.02,208.67,213.10,213.10,14131900
"Jan 31, 2020",206.50,207.93,204.73,206.59,206.59,18181400
"Jan 30, 2020",207.88,209.86,205.03,208.58,208.58,14376000
"Jan 29, 2020",212.56,213.98,209.52,212.02,212.02,12871900
