Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",1244.18,1279.16,1203.08,1230.68,1230.68,442300
"Apr 02, 2020",1270.97,1334.99,1241.22,1260.00,1260.00,573800
"Apr 01, 2020",1293.81,1328.34,1248.18,1271.63,1271.63,562800
"Mar 31, 2020",1303.01,1390.39,1296.01,1345.32,1345.32,770300
"Mar 30, 2020",1261.27,1321.89,1216.98,1308.23,1308.23,600800
"Mar 27, 2020",1344.87,1355.46,1253.61,1255.15,1255.15,701500
"Mar 26, 2020",1380.33,1429.48,1353.52,1406.00,1406.00,616500
"Mar 25, 2020",1259.47,1449.48,1246.95,1365.85,1365.85,998700
"Mar 24, 2020",1218.62,1279.00,1200.58,1259.47,1259.47,854000
"Mar 23, 2020",1166.98,1226.14,1107.29,1152.24,1152.24,859900
"Mar 20, 2020",1216.34,1299.95,1157.41,1177.43,1177.43,1146500
"Mar 19, 2020",1211.16,1236.64,1150.00,1191.48,1191.48,980600
"Mar 18, 2020",1277.86,1327.09,1165.02,1233.75,1233.75,933400
"Mar 17, 2020",1309.56,1370.52,1252.91,1368.26,1368.26,1080100
"Mar 16, 2020",1275.00,1411.83,1252.22,1289.67,1289.67,986900
"Mar 13, 2020",1336.80,1421.67,1270.87,1421.33,1421.33,1153100
"Mar 12, 2020",1297.00,1369.99,1280.00,1280.40,1280.40,1282100
"Mar 11, 2020",1522.29,1528.53,1420.56,1442.50,1442.50,829800
"Mar 10, 2020",1589.95,1615.00,1499.94,1559.00,1559.00,742000
"Mar 09, 2020",1483.99,1588.67,1476.51,1527.80,1527.80,770300
"Mar 06, 2020",1603.09,1684.00,1584.00,1612.09,1612.09,1077500
"Mar 05, 2020",1662.99,1680.04,1632.58,1647.44,1647.44,788800
"Mar 04, 2020",1697.15,1736.89,1671.24,1732.13,1732.13,593500
"Mar 03, 2020",1726.63,1749.99,1646.93,1683.02,1683.02,704300
"Mar 02, 2020",1709.75,1732.92,1651.76,1728.98,1728.98,869200
"Feb 28, 2020",1643.64,1718.00,1634.54,1695.66,1695.66,977000
"Feb 27, 2020",1612.98,1730.00,1592.45,1659.85,1659.85,1338000
"Feb 26, 2020",1731.22,1742.94,1659.64,1678.20,1678.20,903300
"Feb 25, 2020",1803.00,1811.31,1711.01,1726.58,1726.58,958300
"Feb 24, 2020",1830.93,1835.50,1777.88,1792.54,1792.54,886000
"Feb 21, 2020",1965.00,1968.10,1922.16,1928.72,1928.72,358500
"Feb 20, 2020",1960.00,1987.76,1956.39,1970.91,1970.91,359200
"Feb 19, 2020",1982.76,1989.99,1962.32,1968.49,1968.49,241300
"Feb 18, 2020",1972.25,1988.19,1961.95,1976.28,1976.28,363500
"Feb 14, 2020",1998.44,2024.88,1984.66,1990.96,1990.96,535900
"Feb 13, 2020",1944.00,1960.88,1929.10,1959.94,1959.94,388800
"Feb 12, 2020",1923.95,1967.00,1911.21,1960.36,1960.36,473200
