Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",63.83,66.48,61.81,62.17,62.17,2608700
"Apr 02, 2020",63.73,66.88,63.73,64.56,64.56,3559800
"Apr 01, 2020",62.00,65.34,61.57,64.17,64.17,3267400
"Mar 31, 2020",65.55,66.43,63.74,64.66,64.66,4810000
"Mar 30, 2020",64.83,66.90,64.13,65.99,65.99,3774700
"Mar 27, 2020",61.08,65.79,60.69,64.38,64.38,3738400
"Mar 26, 2020",59.80,63.37,58.00,62.56,62.56,3414000
"Mar 25, 2020",58.06,59.89,55.73,56.02,56.02,3144900
"Mar 24, 2020",54.17,59.58,53.79,58.22,58.22,3478200
"Mar 23, 2020",54.24,54.79,51.26,51.94,51.94,4180800
"Mar 20, 2020",59.77,59.77,54.33,54.89,54.89,3951200
"Mar 19, 2020",63.92,64.58,55.15,60.11,60.11,3830000
"Mar 18, 2020",60.45,64.78,58.73,64.45,64.45,3188500
"Mar 17, 2020",59.70,67.63,57.85,64.63,64.63,5024000
"Mar 16, 2020",59.25,59.90,53.91,58.43,58.43,3641200
"Mar 13, 2020",65.24,65.72,59.58,63.84,63.84,5489700
"Mar 12, 2020",66.49,68.85,61.67,63.18,63.18,3204100
"Mar 11, 2020",71.12,71.84,68.82,69.76,69.76,2321100
"Mar 10, 2020",73.99,74.47,69.25,72.96,72.96,3415300
"Mar 09, 2020",72.03,74.52,69.99,72.51,72.51,3092900
"Mar 06, 2020",75.22,76.46,73.64,76.05,76.05,2418000
"Mar 05, 2020",77.60,77.63,75.88,77.03,77.03,2258600
"Mar 04, 2020",77.17,78.73,76.66,78.56,78.56,2327500
"Mar 03, 2020",75.30,77.20,74.39,76.15,76.15,2494200
"Mar 02, 2020",70.92,75.20,70.79,75.17,75.17,2610800
"Feb 28, 2020",70.13,71.04,68.17,70.46,70.46,4412000
"Feb 28, 2020",0.15 Dividend,0.15 Dividend,0.15 Dividend,0.15 Dividend,0.15 Dividend,0.15 Dividend
"Feb 27, 2020",75.19,76.22,71.98,72.01,71.86,3990100
"Feb 26, 2020",75.10,76.91,74.98,75.67,75.51,4313700
"Feb 25, 2020",76.50,76.60,74.11,74.53,74.37,2524100
"Feb 24, 2020",76.00,77.36,75.49,76.37,76.21,2853700
"Feb 21, 2020",76.70,77.56,76.28,76.86,76.70,1403900
"Feb 20, 2020",76.43,77.45,76.04,76.60,76.44,1130400
"Feb 19, 2020",78.73,79.00,76.96,77.01,76.85,1386700
"Feb 18, 2020",77.40,78.04,77.01,78.04,77.88,1883400
"Feb 14, 2020",77.18,77.96,77.11,77.22,77.06,1889600
"Feb 13, 2020",76.53,77.52,75.85,77.17,77.01,1122300
"Feb 12, 2020",77.03,77.37,75.51,76.53,76.37,1769300
"Feb 11, 2020",76.74,77.86,76.59,77.64,77.48,1684300
"Feb 10, 2020",77.06,77.18,75.99,76.72,76.56,2515200
"Feb 07, 2020",77.80,78.06,76.16,76.92,76.76,2665000
"Feb 06, 2020",75.99,82.82,73.99,78.00,77.84,5057900
"Feb 05, 2020",75.62,76.63,74.86,76.63,76.47,2922100
"Feb 04, 2020",74.31,75.27,73.57,75.01,74.85,2472300
"Feb 03, 2020",72.55,74.37,72.44,74.15,74.00,2747700
"Jan 31, 2020",72.72,73.16,71.86,72.18,72.03,1999200
"Jan 30, 2020",72.45,73.16,71.00,73.10,72.95,2674800
"Jan 29, 2020",72.79,72.99,72.43,72.59,72.44,1656800
"Jan 28, 2020",73.95,74.00,72.33,72.67,72.52,2743800
"Jan 27, 2020",71.06,74.66,70.89,73.96,73.81,4428500
"Jan 24, 2020",72.08,72.74,71.24,71.93,71.78,2035700
"Jan 23, 2020",71.52,72.45,71.11,71.87,71.72,2422700
"Jan 22, 2020",69.70,72.13,69.66,71.85,71.70,3200300
"Jan 21, 2020",68.69,69.42,68.55,69.26,69.12,1592800
