Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",24.73,24.86,24.62,24.77,24.77,62400
"Apr 02, 2020",24.67,24.94,24.24,24.93,24.93,75700
"Apr 01, 2020",24.61,24.78,24.40,24.73,24.73,146800
"Mar 31, 2020",25.08,25.19,24.74,24.74,24.74,93000
"Mar 30, 2020",24.89,25.20,24.89,25.08,25.08,94600
"Mar 27, 2020",24.96,25.11,24.40,25.08,25.08,136700
"Mar 26, 2020",25.00,25.34,24.93,25.27,25.27,89800
"Mar 25, 2020",24.00,25.30,23.85,25.12,25.12,126100
"Mar 24, 2020",23.94,24.56,23.36,23.85,23.85,156100
"Mar 23, 2020",23.67,24.12,22.54,22.75,22.75,196700
"Mar 20, 2020",23.50,24.23,22.70,23.60,23.60,268900
"Mar 19, 2020",22.66,23.81,22.50,23.50,23.50,212600
"Mar 18, 2020",24.60,24.65,21.47,22.30,22.30,305000
"Mar 17, 2020",24.67,25.19,24.67,24.90,24.90,174400
"Mar 16, 2020",24.36,25.12,24.20,24.67,24.67,156100
"Mar 13, 2020",24.68,25.50,24.68,25.50,25.50,155100
"Mar 12, 2020",25.36,25.36,24.01,24.19,24.19,233000
"Mar 11, 2020",25.71,25.71,25.45,25.63,25.63,60200
"Mar 10, 2020",25.70,26.05,25.57,25.71,25.71,47700
"Mar 09, 2020",25.55,25.81,25.45,25.57,25.57,82800
"Mar 06, 2020",26.15,26.15,25.86,26.03,26.03,73700
"Mar 05, 2020",26.34,26.36,26.23,26.26,26.26,52500
"Mar 04, 2020",26.30,26.39,26.20,26.35,26.35,36400
"Mar 03, 2020",26.13,26.49,26.10,26.22,26.22,20900
"Mar 02, 2020",26.00,26.15,25.98,26.10,26.10,56000
"Feb 28, 2020",26.00,26.06,25.78,25.79,25.79,200700
"Feb 27, 2020",26.12,26.17,26.05,26.10,26.10,46600
"Feb 26, 2020",26.04,26.19,26.04,26.13,26.13,48600
"Feb 25, 2020",26.08,26.25,26.02,26.02,26.02,122700
"Feb 24, 2020",26.03,26.10,25.91,26.08,26.08,134200
"Feb 21, 2020",26.36,26.41,26.12,26.18,26.18,61300
"Feb 20, 2020",26.43,26.46,26.35,26.40,26.40,35800
"Feb 19, 2020",26.48,26.53,26.30,26.35,26.35,32600
"Feb 18, 2020",26.42,26.48,26.42,26.48,26.48,34000
"Feb 14, 2020",26.32,26.45,26.32,26.39,26.39,32000
"Feb 13, 2020",26.46,26.50,26.28,26.35,26.35,80100
"Feb 12, 2020",26.50,26.56,26.43,26.43,26.43,32500
"Feb 11, 2020",26.60,26.65,26.45,26.49,26.49,73600
"Feb 10, 2020",26.58,26.60,26.51,26.58,26.58,21700
"Feb 07, 2020",26.52,26.57,26.45,26.53,26.53,19100
"Feb 06, 2020",26.50,26.57,26.41,26.52,26.52,42200
"Feb 05, 2020",26.71,26.80,26.45,26.50,26.50,174500
"Feb 04, 2020",26.72,26.79,26.63,26.68,26.68,31100
"Feb 03, 2020",26.68,26.72,26.52,26.71,26.71,37600
"Jan 31, 2020",26.62,26.75,26.48,26.50,26.50,55600
"Jan 30, 2020",26.50,26.65,26.47,26.65,26.65,39200
"Jan 29, 2020",26.42,26.51,26.41,26.49,26.49,27300
"Jan 28, 2020",26.45,26.50,26.33,26.41,26.41,47600
"Jan 27, 2020",26.44,26.59,26.44,26.45,26.45,39200
