Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",18.40,18.78,17.85,18.04,18.04,13826000
"Apr 02, 2020",19.10,19.69,17.79,18.19,18.19,17920600
"Apr 01, 2020",19.50,20.17,18.99,19.26,19.26,17467100
"Mar 31, 2020",20.97,22.21,20.55,20.78,20.78,20303000
"Mar 30, 2020",22.31,22.48,20.63,21.32,21.32,18477800
"Mar 27, 2020",21.37,21.96,20.74,21.38,21.38,18349700
"Mar 26, 2020",21.64,22.97,21.06,22.56,22.56,16959000
"Mar 25, 2020",23.00,23.15,21.00,21.49,21.49,27617200
"Mar 24, 2020",19.32,21.67,18.60,21.11,21.11,24082900
"Mar 23, 2020",18.01,18.56,17.23,17.60,17.60,25419700
"Mar 20, 2020",18.42,18.96,17.68,18.14,18.14,35702000
"Mar 19, 2020",16.34,18.99,15.00,17.71,17.71,34361800
"Mar 18, 2020",18.83,19.05,14.33,16.80,16.80,39591100
"Mar 17, 2020",21.31,21.58,19.50,20.32,20.32,23544400
"Mar 16, 2020",21.51,22.41,21.00,21.00,21.00,18056800
"Mar 13, 2020",24.60,25.33,22.90,24.71,24.71,17909800
"Mar 12, 2020",23.60,24.35,22.50,23.04,23.04,20344500
"Mar 11, 2020",26.00,26.62,25.76,26.00,26.00,21309700
"Mar 10, 2020",25.98,27.14,24.59,27.12,27.12,18287700
"Mar 09, 2020",26.00,26.12,24.15,24.69,24.69,28350600
"Mar 06, 2020",29.21,29.54,28.45,28.69,28.69,20009500
"Mar 05, 2020",30.54,30.77,30.01,30.10,30.10,17921300
"Mar 05, 2020",0.38 Dividend,0.38 Dividend,0.38 Dividend,0.38 Dividend,0.38 Dividend,0.38 Dividend
"Mar 04, 2020",31.00,31.57,30.36,31.53,31.15,16227800
"Mar 03, 2020",31.50,32.30,30.26,30.52,30.15,15816200
"Mar 02, 2020",30.52,31.45,29.74,31.42,31.04,14994600
"Feb 28, 2020",29.78,30.50,29.33,30.50,30.13,20832300
"Feb 27, 2020",31.30,31.92,30.55,30.71,30.34,14940400
"Feb 26, 2020",32.10,32.61,31.89,32.00,31.61,14421900
"Feb 25, 2020",33.25,33.28,31.40,31.75,31.37,14621900
"Feb 24, 2020",33.64,33.75,32.79,33.09,32.69,14743100
"Feb 21, 2020",34.99,35.08,34.41,34.65,34.23,8431500
"Feb 20, 2020",34.66,35.40,34.59,35.29,34.86,7817900
"Feb 19, 2020",34.53,35.10,34.52,34.92,34.50,9079500
"Feb 18, 2020",34.25,34.74,33.96,34.41,34.00,10531000
"Feb 14, 2020",35.30,35.39,34.42,34.76,34.34,8946000
"Feb 13, 2020",35.21,35.53,35.16,35.29,34.86,7578400
"Feb 12, 2020",35.33,35.79,35.13,35.49,35.06,12076300
"Feb 11, 2020",34.34,35.26,34.07,35.01,34.59,12718600
"Feb 10, 2020",33.99,34.30,33.67,34.25,33.84,12260600
"Feb 07, 2020",34.08,34.16,33.42,33.63,33.22,14437100
"Feb 06, 2020",35.05,35.10,34.25,34.33,33.92,11866300
"Feb 05, 2020",34.90,35.45,34.19,35.03,34.61,19050400
"Feb 04, 2020",34.35,34.82,34.20,34.37,33.96,14346300
"Feb 03, 2020",33.56,34.34,33.52,33.72,33.31,17937100
"Jan 31, 2020",33.25,33.49,33.14,33.39,32.99,18631400
"Jan 30, 2020",33.40,33.45,32.97,33.33,32.93,11533000
"Jan 29, 2020",33.80,34.04,33.59,33.60,33.20,6977700
"Jan 28, 2020",33.57,33.86,33.34,33.64,33.23,8871000
"Jan 27, 2020",33.63,33.76,33.17,33.41,33.01,10359100
"Jan 24, 2020",34.90,34.99,34.01,34.31,33.90,9386600
"Jan 23, 2020",34.77,34.99,34.01,34.88,34.46,8595200
"Jan 22, 2020",35.13,35.35,34.86,34.91,34.49,7358400
"Jan 21, 2020",35.36,35.55,34.96,34.99,34.57,11550500
"Jan 17, 2020",35.57,35.73,35.41,35.60,35.17,9871700
"Jan 16, 2020",35.21,35.58,35.15,35.55,35.12,7280800
"Jan 15, 2020",35.00,35.32,34.89,35.15,34.73,7173900
"Jan 14, 2020",35.00,35.35,34.96,35.15,34.73,6827100
"Jan 13, 2020",34.69,35.00,34.49,34.98,34.56,7465700
"Jan 10, 2020",35.15,36.45,34.51,34.65,34.23,9644900
"Jan 09, 2020",34.99,35.10,34.53,35.08,34.66,9610400
"Jan 08, 2020",35.04,35.20,34.41,34.65,34.23,13229400
"Jan 07, 2020",35.75,35.84,34.74,35.15,34.73,17556800
"Jan 06, 2020",35.95,36.18,35.80,35.84,35.41,8408200
"Jan 03, 2020",36.73,36.92,36.11,36.32,35.88,9173000
"Jan 02, 2020",37.00,37.38,36.55,37.38,36.93,7454400
"Dec 31, 2019",36.37,36.74,36.32,36.60,36.16,5160200
"Dec 30, 2019",36.50,36.64,36.20,36.44,36.00,5353900
"Dec 27, 2019",36.56,36.71,36.43,36.56,36.12,5753500
"Dec 26, 2019",36.59,36.60,36.33,36.48,36.04,5439700
