Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",179.56,181.35,174.94,178.70,178.70,7299200
"Apr 02, 2020",174.95,182.72,174.00,181.31,181.31,6353900
"Apr 01, 2020",175.91,182.76,175.00,178.63,178.63,7858200
"Mar 31, 2020",194.80,195.49,185.45,186.71,186.71,7335400
"Mar 30, 2020",190.57,198.20,187.61,196.10,196.10,6936700
"Mar 27, 2020",188.49,196.38,186.50,190.55,190.55,7121700
"Mar 26, 2020",183.49,198.20,182.50,195.21,195.21,10170300
"Mar 25, 2020",184.42,191.55,180.00,181.76,181.76,11497400
"Mar 24, 2020",173.39,185.67,172.01,184.72,184.72,14676600
"Mar 23, 2020",150.06,164.93,146.34,162.39,162.39,12241600
"Mar 20, 2020",162.78,170.22,151.81,152.15,152.15,12602400
"Mar 19, 2020",153.16,162.91,142.00,161.13,161.13,13499100
"Mar 18, 2020",159.80,162.33,140.63,155.63,155.63,14681900
"Mar 17, 2020",168.21,174.78,155.30,173.64,173.64,16234400
"Mar 16, 2020",181.97,186.10,163.11,164.96,164.96,12536600
"Mar 13, 2020",200.45,205.82,190.00,205.67,205.67,10292300
"Mar 12, 2020",195.41,206.58,184.84,190.59,190.59,10928700
"Mar 11, 2020",217.30,219.15,210.50,212.89,212.89,7253900
"Mar 11, 2020",1.5 Dividend,1.5 Dividend,1.5 Dividend,1.5 Dividend,1.5 Dividend,1.5 Dividend
"Mar 10, 2020",217.21,225.83,211.00,225.70,224.20,7206600
"Mar 09, 2020",213.87,216.18,207.25,210.46,209.06,10120500
"Mar 06, 2020",227.57,230.29,222.25,228.51,226.99,7399900
"Mar 05, 2020",236.60,239.61,233.15,234.81,233.25,6473900
"Mar 04, 2020",233.01,241.32,231.80,241.08,239.48,6770000
"Mar 03, 2020",230.03,235.82,225.57,227.94,226.43,8432500
"Mar 02, 2020",219.98,230.00,218.49,229.94,228.41,7150800
"Feb 28, 2020",218.63,221.06,212.33,217.84,216.39,11814700
"Feb 27, 2020",231.07,234.82,224.57,224.73,223.24,7612800
"Feb 26, 2020",239.10,241.04,234.32,235.28,233.72,6963000
"Feb 25, 2020",246.10,246.97,236.48,237.38,235.80,8061500
"Feb 24, 2020",238.48,243.11,237.70,239.70,238.11,5350100
"Feb 21, 2020",246.50,247.36,244.00,245.34,243.71,3881100
"Feb 20, 2020",243.69,247.12,242.15,247.02,245.38,3701800
"Feb 19, 2020",244.91,245.50,243.01,243.64,242.02,2713300
"Feb 18, 2020",244.84,246.11,243.16,243.94,242.32,2892600
"Feb 14, 2020",243.44,245.20,242.63,245.03,243.40,2841600
"Feb 13, 2020",240.97,243.60,240.40,242.36,240.75,2468100
"Feb 12, 2020",242.13,242.30,238.84,241.59,239.98,3592100
"Feb 11, 2020",240.61,242.45,240.20,241.64,240.03,2692400
"Feb 10, 2020",236.60,240.61,236.18,240.61,239.01,2568000
"Feb 07, 2020",238.84,239.53,236.52,237.30,235.72,2456100
"Feb 06, 2020",238.00,239.41,237.48,238.84,237.25,3930300
"Feb 05, 2020",237.10,238.32,235.86,238.11,236.53,3868600
"Feb 04, 2020",234.03,236.36,234.03,235.00,233.44,3505100
"Feb 03, 2020",230.30,233.53,229.35,231.54,230.00,5100900
"Jan 31, 2020",232.96,233.23,227.89,228.10,226.58,5304700
"Jan 30, 2020",232.00,233.30,231.57,232.79,231.24,4685700
"Jan 29, 2020",234.90,235.88,233.40,234.02,232.46,2564000
"Jan 28, 2020",231.82,235.25,231.35,233.86,232.31,3621900
"Jan 27, 2020",228.20,232.47,228.20,231.19,229.65,3595600
"Jan 24, 2020",234.46,235.43,230.56,232.00,230.46,4467500
"Jan 23, 2020",232.13,234.82,230.64,233.65,232.10,4617900
"Jan 22, 2020",233.79,236.53,232.88,232.90,231.35,4030800
"Jan 21, 2020",231.53,233.66,231.06,232.95,231.40,4873500
"Jan 17, 2020",229.61,232.60,228.91,231.91,230.37,7979200
"Jan 16, 2020",225.93,228.86,225.40,228.82,227.30,5390800
"Jan 15, 2020",222.28,224.98,222.13,224.59,223.10,3444300
"Jan 14, 2020",222.48,224.95,222.31,222.81,221.33,3915100
"Jan 13, 2020",224.50,224.51,222.68,223.34,221.86,6060900
"Jan 10, 2020",224.75,225.49,223.03,224.22,222.73,4226600
"Jan 09, 2020",222.64,225.55,221.85,225.19,223.69,4843600
"Jan 08, 2020",218.80,222.97,218.67,221.79,220.32,4916200
"Jan 07, 2020",219.50,220.56,216.90,218.52,217.07,5685400
"Jan 06, 2020",216.49,220.00,216.40,219.96,218.50,5682800
"Jan 03, 2020",217.14,219.68,216.75,218.93,217.47,3423200
"Jan 02, 2020",219.08,219.76,217.84,219.66,218.20,3935700
"Dec 31, 2019",217.10,218.51,216.44,218.38,216.93,3789900
"Dec 30, 2019",220.37,220.49,216.55,217.31,215.87,3952400
"Dec 27, 2019",221.20,221.79,219.78,219.97,218.51,3082800
"Dec 26, 2019",220.74,221.15,219.59,220.82,219.35,2649200
"Dec 24, 2019",219.50,221.04,219.22,220.67,219.20,2260700
"Dec 23, 2019",222.00,222.00,219.14,219.21,217.75,3943700
"Dec 20, 2019",220.59,221.57,219.80,221.19,219.72,7778200
