Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",20.00,20.12,19.75,19.86,19.86,1424600
"Apr 02, 2020",20.56,20.99,20.43,20.88,20.88,1213100
"Apr 01, 2020",21.19,21.63,21.03,21.08,21.08,900200
"Mar 31, 2020",22.27,22.66,22.09,22.46,22.46,1011800
"Mar 30, 2020",23.06,23.42,22.90,23.41,23.41,1074300
"Mar 27, 2020",22.95,23.39,22.79,23.09,23.09,661800
"Mar 26, 2020",23.09,23.75,23.06,23.68,23.68,1100100
"Mar 25, 2020",22.97,23.28,22.29,22.78,22.78,1600300
"Mar 24, 2020",22.07,22.27,21.16,21.74,21.74,1620200
"Mar 23, 2020",20.51,20.60,19.38,19.86,19.86,2373900
"Mar 20, 2020",21.52,21.87,20.73,20.74,20.74,1582800
"Mar 19, 2020",21.20,21.50,20.77,21.14,21.14,1233400
"Mar 18, 2020",20.66,21.51,20.24,20.97,20.97,916700
"Mar 17, 2020",20.70,21.37,19.97,21.28,21.28,1594100
"Mar 16, 2020",20.26,21.11,20.20,20.26,20.26,1471800
"Mar 13, 2020",22.25,22.36,21.06,21.98,21.98,2451300
"Mar 12, 2020",22.37,22.94,21.23,21.45,21.45,1772600
"Mar 11, 2020",23.90,24.09,23.38,23.56,23.56,2182000
"Mar 10, 2020",24.23,24.38,23.61,24.27,24.27,2598600
"Mar 09, 2020",23.45,24.15,23.29,23.30,23.30,1520300
"Mar 06, 2020",25.01,25.25,24.87,25.07,25.07,882200
"Mar 05, 2020",25.59,25.92,25.57,25.78,25.78,943600
"Mar 04, 2020",25.72,25.99,25.43,25.98,25.98,521100
"Mar 03, 2020",25.91,26.27,25.33,25.58,25.58,1454100
"Mar 02, 2020",25.55,25.96,25.29,25.95,25.95,966600
"Feb 28, 2020",25.30,25.69,25.06,25.66,25.66,1327900
"Feb 27, 2020",26.34,26.48,25.89,25.92,25.92,1583300
"Feb 26, 2020",26.47,26.68,26.21,26.34,26.34,1328700
"Feb 25, 2020",26.37,26.50,25.71,25.86,25.86,905900
"Feb 24, 2020",25.95,26.19,25.90,26.04,26.04,770600
"Feb 21, 2020",27.15,27.18,26.98,27.05,27.05,379400
"Feb 20, 2020",27.29,27.38,27.17,27.33,27.33,493900
"Feb 19, 2020",27.10,27.15,27.03,27.08,27.08,304100
"Feb 18, 2020",27.09,27.16,26.94,27.05,27.05,422500
"Feb 14, 2020",26.95,26.96,26.71,26.78,26.78,342200
"Feb 13, 2020",27.07,27.13,27.03,27.08,27.08,438500
"Feb 12, 2020",27.07,27.16,27.00,27.16,27.16,413200
"Feb 11, 2020",26.91,27.03,26.84,26.92,26.92,450400
"Feb 10, 2020",26.71,26.73,26.54,26.72,26.72,644200
"Feb 07, 2020",26.37,27.10,26.32,26.49,26.49,736300
"Feb 06, 2020",26.70,26.73,26.48,26.55,26.55,576600
"Feb 05, 2020",26.35,26.44,26.29,26.31,26.31,698500
"Feb 04, 2020",26.13,26.20,26.03,26.07,26.07,723900
"Feb 03, 2020",25.86,25.98,25.73,25.89,25.89,637500
"Jan 31, 2020",25.86,25.86,25.52,25.60,25.60,797900
"Jan 30, 2020",26.26,26.43,26.18,26.41,26.41,622500
"Jan 29, 2020",26.72,26.72,26.55,26.55,26.55,445000
"Jan 28, 2020",26.30,26.55,26.16,26.49,26.49,1288200
"Jan 27, 2020",26.56,26.64,26.42,26.46,26.46,432400
"Jan 24, 2020",27.13,27.19,26.80,26.89,26.89,526900
"Jan 23, 2020",27.49,27.49,27.22,27.41,27.41,341000
"Jan 22, 2020",27.56,27.58,27.42,27.44,27.44,553200
"Jan 21, 2020",27.65,27.76,27.51,27.59,27.59,533200
"Jan 17, 2020",27.76,27.79,27.68,27.78,27.78,320200
"Jan 16, 2020",27.55,27.64,27.47,27.64,27.64,393500
"Jan 15, 2020",27.68,27.72,27.57,27.61,27.61,430600
"Jan 14, 2020",27.96,28.02,27.86,27.88,27.88,407400
"Jan 13, 2020",27.82,28.05,27.75,28.04,28.04,376000
"Jan 10, 2020",27.99,27.99,27.69,27.72,27.72,343600
"Jan 09, 2020",28.18,28.18,27.95,28.03,28.03,414700
"Jan 08, 2020",27.99,28.22,27.99,28.13,28.13,264200
"Jan 07, 2020",28.39,28.39,28.18,28.21,28.21,341800
"Jan 06, 2020",27.72,28.06,27.72,28.05,28.05,463000
"Jan 03, 2020",28.25,28.38,28.08,28.13,28.13,663600
"Jan 02, 2020",28.60,28.65,28.46,28.64,28.64,262800
"Dec 31, 2019",28.24,28.34,28.18,28.31,28.31,270500
"Dec 30, 2019",28.33,28.47,28.24,28.27,28.27,498600
"Dec 27, 2019",28.74,28.74,28.55,28.58,28.58,336500
"Dec 27, 2019",0.260163 Dividend,0.260163 Dividend,0.260163 Dividend,0.260163 Dividend,0.260163 Dividend,0.260163 Dividend
"Dec 26, 2019",28.75,28.78,28.70,28.76,28.50,230000
"Dec 24, 2019",28.61,28.68,28.55,28.66,28.40,157600
"Dec 23, 2019",28.69,28.82,28.68,28.82,28.56,337800
"Dec 20, 2019",28.96,29.06,28.87,28.91,28.65,331700
"Dec 19, 2019",28.94,29.01,28.88,28.96,28.70,344300
"Dec 18, 2019",29.06,29.13,29.02,29.07,28.81,343400
"Dec 17, 2019",29.25,29.25,29.15,29.18,28.92,290900
"Dec 16, 2019",29.31,29.38,29.29,29.35,29.08,475200
"Dec 13, 2019",29.29,29.39,29.12,29.22,28.96,657100
"Dec 12, 2019",28.61,28.97,28.51,28.96,28.70,746400
"Dec 11, 2019",28.86,28.93,28.76,28.86,28.60,1302400
"Dec 10, 2019",28.74,28.83,28.68,28.76,28.50,376700
"Dec 09, 2019",28.84,28.90,28.73,28.75,28.49,337500
"Dec 06, 2019",29.00,29.09,28.99,29.01,28.75,498100
"Dec 05, 2019",28.71,28.77,28.58,28.67,28.41,386600
"Dec 04, 2019",28.44,28.55,28.39,28.52,28.26,444800
"Dec 03, 2019",28.11,28.14,27.86,28.10,27.85,881100
"Dec 02, 2019",28.23,28.32,27.99,28.07,27.82,567200
