Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",82.13,84.24,81.15,82.20,82.20,6447200
"Apr 02, 2020",79.85,83.27,79.25,82.86,82.86,8246500
"Apr 01, 2020",80.74,83.92,79.08,80.42,80.42,8115400
"Mar 31, 2020",88.07,88.94,85.53,86.05,86.05,5523700
"Mar 30, 2020",87.40,89.54,85.43,88.71,88.71,5717100
"Mar 27, 2020",84.08,89.72,83.40,86.98,86.98,6885800
"Mar 26, 2020",86.08,90.94,85.95,88.11,88.11,10103600
"Mar 25, 2020",80.11,86.99,78.32,83.72,83.72,9907500
"Mar 24, 2020",72.76,77.59,72.05,77.30,77.30,9004100
"Mar 23, 2020",65.22,69.11,63.05,67.80,67.80,9594400
"Mar 20, 2020",72.25,72.98,65.53,66.36,66.36,11541400
"Mar 19, 2020",64.41,73.21,60.00,69.87,69.87,12141200
"Mar 18, 2020",68.51,70.12,61.00,65.02,65.02,11133900
"Mar 17, 2020",73.55,75.62,64.25,73.79,73.79,15323900
"Mar 16, 2020",85.55,87.60,71.18,72.59,72.59,14770800
"Mar 13, 2020",93.66,96.56,88.38,96.49,96.49,10007100
"Mar 12, 2020",91.21,94.90,89.11,89.92,89.92,9903400
"Mar 11, 2020",100.33,103.31,97.76,99.15,99.15,6205500
"Mar 10, 2020",98.25,104.14,95.05,104.02,104.02,9289500
"Mar 09, 2020",97.82,99.82,93.15,94.22,94.22,8188200
"Mar 06, 2020",103.95,106.05,102.17,105.31,105.31,7886900
"Mar 05, 2020",110.28,111.24,106.88,107.52,107.52,6619100
"Mar 04, 2020",110.71,113.55,109.56,113.29,113.29,5206700
"Mar 03, 2020",111.31,113.03,107.15,108.56,108.56,8337500
"Mar 02, 2020",107.20,111.18,105.09,111.04,111.04,8794000
"Feb 28, 2020",104.07,107.17,102.93,106.57,106.57,9987800
"Feb 27, 2020",110.10,112.54,107.53,107.62,107.62,8830100
"Feb 26, 2020",120.30,120.45,111.96,113.30,113.30,12739800
"Feb 25, 2020",124.39,124.39,118.52,118.52,118.52,6522600
"Feb 24, 2020",122.32,124.42,122.01,122.91,122.91,5399600
"Feb 21, 2020",125.75,126.20,124.42,125.31,125.31,3861600
"Feb 20, 2020",123.77,126.73,123.01,126.57,126.57,4696000
"Feb 19, 2020",123.67,124.48,123.16,123.44,123.44,3170500
"Feb 18, 2020",124.64,125.91,122.82,123.23,123.23,3430000
"Feb 14, 2020",125.15,125.56,124.49,125.42,125.42,2774700
"Feb 13, 2020",124.24,125.27,123.97,124.77,124.77,2532100
"Feb 12, 2020",123.90,125.20,123.62,125.03,125.03,2727500
"Feb 11, 2020",121.31,123.19,121.16,123.03,123.03,2316300
"Feb 10, 2020",120.90,121.82,120.46,121.21,121.21,2975800
"Feb 07, 2020",121.65,121.96,120.79,121.48,121.48,2068800
"Feb 06, 2020",122.44,122.87,121.50,121.51,121.51,2469100
"Feb 05, 2020",120.52,122.35,119.93,122.13,122.13,3215300
"Feb 04, 2020",118.81,120.31,118.32,119.35,119.35,4119600
"Feb 03, 2020",117.00,119.22,116.72,117.18,117.18,3979400
"Jan 31, 2020",119.47,119.67,116.09,116.24,116.24,4370300
"Jan 30, 2020",119.53,120.37,118.57,119.72,119.72,3471800
"Jan 29, 2020",121.40,122.41,120.36,120.42,120.42,2566900
"Jan 28, 2020",120.06,121.68,119.22,121.15,121.15,3228600
"Jan 27, 2020",118.25,120.86,118.25,119.76,119.76,3497400
"Jan 24, 2020",122.58,122.87,119.48,120.23,120.23,3670600
"Jan 23, 2020",121.23,123.14,121.05,122.71,122.71,3365200
"Jan 22, 2020",121.20,122.90,120.70,121.91,121.91,4843500
"Jan 21, 2020",121.17,121.75,120.16,120.93,120.93,3477800
"Jan 21, 2020",0.55 Dividend,0.55 Dividend,0.55 Dividend,0.55 Dividend,0.55 Dividend,0.55 Dividend
"Jan 17, 2020",119.75,122.49,119.58,122.36,121.81,5913800
"Jan 16, 2020",119.94,120.05,118.88,119.27,118.73,3781000
"Jan 15, 2020",119.95,120.19,119.20,119.52,118.98,3673700
"Jan 14, 2020",120.85,121.68,119.62,120.07,119.53,3823400
"Jan 13, 2020",120.97,121.71,120.70,121.05,120.51,3817200
"Jan 10, 2020",121.70,121.96,120.93,121.00,120.46,2391100
"Jan 09, 2020",121.57,122.88,121.50,122.05,121.50,2932400
"Jan 08, 2020",120.15,122.73,119.58,121.53,120.98,4030100
"Jan 07, 2020",120.49,120.66,119.21,119.63,119.09,4191100
"Jan 06, 2020",118.65,120.39,118.30,120.35,119.81,3635400
"Jan 03, 2020",118.71,119.82,118.05,119.60,119.06,2774200
"Jan 02, 2020",120.05,120.46,119.26,120.46,119.92,2788800
"Dec 31, 2019",119.57,119.83,118.44,119.76,119.22,2651300
"Dec 30, 2019",120.55,120.75,118.94,120.05,119.51,2327900
"Dec 27, 2019",119.86,120.68,119.62,120.23,119.69,2419700
"Dec 26, 2019",119.93,120.30,119.48,119.73,119.19,1714200
"Dec 24, 2019",119.59,120.13,119.39,119.77,119.23,1126000
"Dec 23, 2019",120.03,120.58,119.31,119.59,119.05,3190300
"Dec 20, 2019",119.73,120.28,119.30,119.73,119.19,5996100
"Dec 19, 2019",119.33,120.57,118.90,120.21,119.67,4501900
"Dec 18, 2019",119.66,120.19,119.27,119.31,118.77,3309500
"Dec 17, 2019",120.69,121.46,119.23,119.32,118.78,3533900
"Dec 16, 2019",119.47,121.17,119.28,120.08,119.54,3749100
"Dec 13, 2019",117.67,118.61,116.82,118.50,117.97,3118900
"Dec 12, 2019",117.67,118.79,117.20,118.20,117.67,2533200
"Dec 11, 2019",115.70,117.67,115.23,117.66,117.13,3611200
"Dec 10, 2019",117.78,117.86,116.38,116.48,115.96,2561600
"Dec 09, 2019",116.33,118.33,116.14,117.87,117.34,2589500
"Dec 06, 2019",116.18,117.32,116.03,116.28,115.76,2463100
"Dec 05, 2019",115.97,116.28,114.96,115.58,115.06,2651200
"Dec 04, 2019",115.00,117.46,114.87,115.46,114.94,4147400
"Dec 03, 2019",114.80,115.26,113.61,114.55,114.04,5091700
"Dec 02, 2019",117.60,117.89,115.96,116.00,115.48,3324300
"Nov 29, 2019",118.45,118.75,117.09,117.31,116.78,1596000
"Nov 27, 2019",118.06,118.96,117.70,118.46,117.93,2946000
"Nov 26, 2019",117.56,118.34,116.95,117.78,117.25,4752300
"Nov 25, 2019",118.82,119.15,116.69,117.00,116.47,4468900
"Nov 22, 2019",117.09,118.20,116.75,118.20,117.67,4473300
"Nov 21, 2019",118.99,119.00,116.68,117.02,116.49,5747800
"Nov 20, 2019",118.28,121.22,116.96,117.83,117.30,16114700
"Nov 19, 2019",115.12,115.12,112.88,113.40,112.89,7154000
"Nov 18, 2019",115.74,116.80,115.02,115.02,114.50,5506900
"Nov 15, 2019",115.12,115.70,113.50,115.52,115.00,3623200
"Nov 14, 2019",113.52,114.84,112.70,114.54,114.03,2852400
"Nov 13, 2019",112.97,114.41,111.94,112.85,112.34,4252300
"Nov 12, 2019",114.38,115.54,114.19,114.32,113.81,4174600
*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.
