Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",184.71,184.77,179.10,181.25,181.25,2208300
"Apr 02, 2020",182.00,185.50,177.77,185.49,185.49,2311300
"Apr 01, 2020",181.53,187.28,181.53,183.50,183.50,1767800
"Mar 31, 2020",193.03,194.20,188.19,189.55,189.55,2027200
"Mar 30, 2020",188.50,196.96,183.03,193.94,193.94,2197800
"Mar 27, 2020",192.50,195.55,184.06,188.84,188.84,3572100
"Mar 26, 2020",197.05,202.84,189.05,200.80,200.80,4117800
"Mar 25, 2020",195.50,202.86,192.43,193.62,193.62,3336400
"Mar 24, 2020",183.25,194.90,180.10,192.74,192.74,2912900
"Mar 23, 2020",165.55,180.36,165.05,172.30,172.30,4267500
"Mar 20, 2020",163.51,182.53,162.60,165.01,165.01,5338000
"Mar 19, 2020",136.33,162.78,136.33,154.86,154.86,2989600
"Mar 18, 2020",135.12,140.64,128.85,140.36,140.36,3809600
"Mar 17, 2020",141.70,156.80,136.09,144.88,144.88,3764700
"Mar 16, 2020",155.49,155.89,138.29,138.98,138.98,4568200
"Mar 13, 2020",175.90,176.79,162.32,176.75,176.75,2933300
"Mar 12, 2020",179.45,180.33,167.33,169.13,169.13,3906800
"Mar 11, 2020",199.39,201.49,191.39,193.74,193.74,2114700
"Mar 10, 2020",206.37,206.99,197.11,204.12,204.12,2274000
"Mar 09, 2020",202.00,208.33,194.24,199.77,199.77,2292500
"Mar 06, 2020",213.26,223.35,212.24,218.55,218.55,2494400
"Mar 05, 2020",225.40,227.38,216.15,221.19,221.19,2005000
"Mar 04, 2020",231.51,232.88,221.24,231.62,231.62,1723700
"Mar 03, 2020",228.87,235.42,225.96,227.13,227.13,3570700
"Mar 02, 2020",219.19,229.21,216.49,228.90,228.90,2333900
"Feb 28, 2020",210.00,217.70,208.90,217.41,217.41,3748400
"Feb 27, 2020",230.44,232.48,220.21,220.70,220.70,2834900
"Feb 26, 2020",239.15,244.13,237.04,238.56,238.56,1219000
"Feb 25, 2020",248.38,250.45,237.05,238.81,238.81,1550900
"Feb 24, 2020",245.39,247.87,235.69,246.21,246.21,1875000
"Feb 21, 2020",263.00,265.10,253.80,255.90,255.90,1587700
