Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",40.25,40.49,36.80,37.92,37.92,8801100
"Apr 02, 2020",39.90,41.31,39.63,40.27,40.27,6400200
"Apr 01, 2020",40.32,41.20,39.67,40.30,40.30,7348900
"Mar 31, 2020",43.44,43.93,41.80,42.47,42.47,5226500
"Mar 30, 2020",41.75,44.73,41.25,43.49,43.49,7415000
"Mar 27, 2020",45.55,46.20,42.00,42.10,42.10,11598500
"Mar 26, 2020",48.58,52.93,46.51,48.36,48.36,10423600
"Mar 25, 2020",46.85,51.67,44.77,47.35,47.35,10707200
"Mar 24, 2020",46.45,47.82,44.25,44.84,44.84,8884100
"Mar 23, 2020",43.51,45.33,41.61,43.45,43.45,8152100
"Mar 20, 2020",42.15,47.00,41.79,43.31,43.31,12859300
"Mar 19, 2020",36.75,44.67,33.86,40.36,40.36,11399000
"Mar 18, 2020",36.74,40.10,33.30,37.68,37.68,14302400
"Mar 17, 2020",40.76,43.29,35.92,40.86,40.86,12774700
"Mar 17, 2020",0.79 Dividend,0.79 Dividend,0.79 Dividend,0.79 Dividend,0.79 Dividend,0.79 Dividend
"Mar 16, 2020",40.52,45.10,39.20,40.39,39.60,12380000
"Mar 13, 2020",48.02,49.10,42.87,49.01,48.05,12515900
"Mar 12, 2020",42.40,46.59,39.06,44.15,43.29,13388200
"Mar 11, 2020",51.78,51.78,48.22,48.63,47.68,9930800
"Mar 10, 2020",51.82,53.51,49.58,53.38,52.34,6690500
"Mar 09, 2020",51.01,52.84,49.00,49.66,48.69,6998200
"Mar 06, 2020",53.00,56.09,52.54,54.86,53.79,10002600
"Mar 05, 2020",55.60,56.71,54.57,54.94,53.87,7765200
"Mar 04, 2020",56.77,57.84,55.47,57.25,56.13,6957900
"Mar 03, 2020",58.60,59.52,55.48,55.90,54.81,6564400
"Mar 02, 2020",58.90,58.90,56.60,58.26,57.12,6246600
"Feb 28, 2020",56.82,58.80,56.62,58.31,57.17,6558300
"Feb 27, 2020",57.72,61.01,56.28,58.43,57.29,8874500
"Feb 26, 2020",60.56,61.26,58.44,59.16,58.00,7137400
"Feb 25, 2020",63.04,63.27,59.51,60.16,58.98,6769600
"Feb 24, 2020",62.44,63.44,62.18,62.21,60.99,5799300
"Feb 21, 2020",66.80,66.98,65.56,65.60,64.32,5222700
"Feb 20, 2020",68.48,68.53,66.71,67.44,66.12,4068400
"Feb 19, 2020",68.44,69.93,68.26,69.10,67.75,3183600
"Feb 18, 2020",68.24,68.85,67.16,68.16,66.83,3797800
"Feb 14, 2020",69.00,69.20,67.98,68.07,66.74,3813700
"Feb 13, 2020",70.41,70.55,69.17,69.31,67.95,3572200
"Feb 12, 2020",69.91,71.38,69.66,71.13,69.74,5839000
"Feb 11, 2020",68.63,69.54,67.91,68.85,67.50,3078800
"Feb 10, 2020",66.09,68.25,66.09,68.16,66.83,3569300
"Feb 07, 2020",67.70,68.00,66.51,66.80,65.49,6581900
"Feb 06, 2020",68.40,69.60,68.33,69.47,68.11,5556800
"Feb 05, 2020",69.06,69.37,67.49,67.89,66.56,5040700
"Feb 04, 2020",67.05,69.08,66.86,67.84,66.51,5983500
"Feb 03, 2020",66.11,67.56,65.93,66.56,65.26,6054900
"Jan 31, 2020",65.60,65.61,64.48,65.31,64.03,6778700
"Jan 30, 2020",63.57,66.34,63.51,66.20,64.91,8015300
"Jan 29, 2020",65.00,65.37,63.90,64.70,63.43,5874900
"Jan 28, 2020",64.17,64.59,63.13,64.41,63.15,4731500
"Jan 27, 2020",62.72,64.33,61.08,63.27,62.03,12594300
"Jan 24, 2020",69.26,69.26,66.97,67.85,66.52,5362700
"Jan 23, 2020",67.68,69.65,67.47,69.45,68.09,7292600
"Jan 22, 2020",70.60,70.73,69.19,69.45,68.09,4340000
"Jan 21, 2020",69.52,71.34,68.85,70.06,68.69,10307100
"Jan 17, 2020",73.51,74.29,73.51,74.06,72.61,3296000
"Jan 16, 2020",73.11,73.41,72.81,73.40,71.96,3605300
"Jan 15, 2020",73.50,73.53,72.40,72.77,71.35,2602600
"Jan 14, 2020",72.41,73.49,72.23,73.36,71.93,3693000
"Jan 13, 2020",71.24,72.40,71.05,72.16,70.75,2563000
"Jan 10, 2020",71.72,71.94,70.76,70.91,69.52,2217100
"Jan 09, 2020",71.51,71.72,71.03,71.52,70.12,3011300
"Jan 08, 2020",70.00,71.30,69.89,70.80,69.42,3455300
"Jan 07, 2020",69.55,70.20,69.50,70.16,68.79,2262800
"Jan 06, 2020",69.18,70.12,69.04,70.09,68.72,2922500
"Jan 03, 2020",69.62,70.15,69.39,69.72,68.36,2822400
"Jan 02, 2020",69.88,70.94,69.79,70.80,69.42,5299600
"Dec 31, 2019",69.10,69.28,68.89,69.04,67.69,1846900
"Dec 30, 2019",69.88,69.98,69.15,69.30,67.94,1703500
"Dec 27, 2019",70.06,70.34,69.33,69.74,68.38,3001800
"Dec 26, 2019",69.52,69.96,69.31,69.94,68.57,1463200
"Dec 24, 2019",69.39,69.59,69.01,69.29,67.93,630400
"Dec 23, 2019",68.63,69.72,68.63,69.42,68.06,4064200
"Dec 20, 2019",69.68,69.68,68.43,68.53,67.19,4474300
"Dec 19, 2019",68.97,69.50,68.72,69.18,67.83,2779400
"Dec 18, 2019",69.58,69.90,68.36,68.97,67.62,5833200
"Dec 17, 2019",68.42,68.50,67.79,68.21,66.88,4262900
"Dec 16, 2019",68.90,69.37,68.03,68.10,66.77,3394600
"Dec 16, 2019",0.77 Dividend,0.77 Dividend,0.77 Dividend,0.77 Dividend,0.77 Dividend,0.77 Dividend
"Dec 13, 2019",68.50,69.74,68.50,69.04,66.93,5350700
"Dec 12, 2019",66.31,69.19,65.91,68.70,66.61,6772200
"Dec 11, 2019",64.38,65.58,64.15,65.44,63.44,3450200
"Dec 10, 2019",64.05,64.64,63.65,64.15,62.19,2342600
"Dec 09, 2019",64.10,64.51,63.87,64.17,62.21,2846100
"Dec 06, 2019",63.82,64.52,63.77,64.15,62.19,2983200
"Dec 05, 2019",62.92,63.49,62.47,63.27,61.34,2934500
"Dec 04, 2019",62.07,63.08,62.02,62.69,60.78,2285700
"Dec 03, 2019",61.59,62.02,61.14,61.93,60.04,3114600
"Dec 02, 2019",62.70,63.22,62.53,62.69,60.78,2074600
"Nov 29, 2019",62.96,63.10,62.57,62.75,60.84,1407400
"Nov 27, 2019",63.02,63.75,63.02,63.42,61.49,1532600
"Nov 26, 2019",63.54,63.66,62.67,62.98,61.06,2684900
"Nov 25, 2019",61.65,63.46,61.50,63.41,61.48,3025600
"Nov 22, 2019",60.60,61.45,60.54,61.30,59.43,2289900
"Nov 21, 2019",60.86,61.05,60.31,60.35,58.51,2968700
"Nov 20, 2019",61.45,61.93,60.54,60.69,58.84,2994700
"Nov 19, 2019",62.40,62.53,61.26,61.91,60.02,2341000
"Nov 18, 2019",62.60,62.60,61.66,62.14,60.25,3805800
"Nov 15, 2019",62.70,62.89,62.23,62.67,60.76,2377300
"Nov 14, 2019",62.19,62.45,61.95,62.39,60.49,1611800
"Nov 13, 2019",62.22,62.55,62.00,62.16,60.26,2517000
*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.
