Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",160.31,162.23,156.15,160.33,160.33,5049100
"Apr 02, 2020",155.00,161.95,155.00,161.50,161.50,4803200
"Apr 01, 2020",160.22,161.44,156.35,158.17,158.17,4668900
"Mar 31, 2020",166.84,169.51,165.00,165.35,165.35,4519900
"Mar 30, 2020",164.92,170.31,163.57,168.13,168.13,5621700
"Mar 27, 2020",162.78,169.74,159.22,164.01,164.01,6441400
"Mar 26, 2020",163.99,170.93,161.00,167.35,167.35,8259900
"Mar 25, 2020",165.00,171.36,159.22,162.98,162.98,9708700
"Mar 24, 2020",149.00,162.98,146.10,161.95,161.95,11678400
"Mar 23, 2020",142.95,153.21,136.50,137.10,137.10,10660400
"Mar 20, 2020",153.59,161.54,147.77,148.49,148.49,12000000
"Mar 19, 2020",135.20,154.84,128.21,149.50,149.50,12773400
"Mar 18, 2020",137.50,141.71,124.23,137.30,137.30,12627600
"Mar 17, 2020",148.02,149.48,135.00,147.62,147.62,13708200
"Mar 16, 2020",157.10,161.92,147.63,149.01,149.01,9341300
"Mar 13, 2020",178.26,179.47,168.20,177.13,177.13,8042600
"Mar 12, 2020",174.78,179.84,169.38,170.13,170.13,9079300
"Mar 11, 2020",192.94,195.74,185.83,188.25,188.25,5625100
"Mar 10, 2020",190.95,200.00,187.89,199.86,199.86,5835200
"Mar 09, 2020",187.67,194.47,184.10,186.86,186.86,7788500
"Mar 06, 2020",192.90,199.58,191.21,198.86,198.86,6360100
"Mar 05, 2020",202.64,203.91,196.33,198.32,198.32,4107200
"Mar 04, 2020",201.93,207.16,200.90,207.02,207.02,4260400
"Mar 03, 2020",202.00,205.67,197.16,199.51,199.51,5115200
"Mar 02, 2020",193.81,202.55,193.18,202.55,202.55,6154200
"Feb 28, 2020",196.00,198.44,188.81,194.17,194.17,11377800
"Feb 28, 2020",1.25 Dividend,1.25 Dividend,1.25 Dividend,1.25 Dividend,1.25 Dividend,1.25 Dividend
"Feb 27, 2020",207.70,210.00,200.93,201.00,199.75,6406200
"Feb 26, 2020",212.89,214.56,209.75,210.10,208.79,4190800
