Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",452.72,460.96,443.01,454.47,454.47,868500
"Apr 02, 2020",445.47,472.20,443.00,462.87,462.87,795000
"Apr 01, 2020",466.00,468.99,435.04,447.34,447.34,965500
"Mar 31, 2020",475.86,499.90,473.50,488.58,488.58,662000
"Mar 30, 2020",474.54,489.34,470.01,473.29,473.29,640000
"Mar 27, 2020",479.41,485.90,455.41,471.43,471.43,578200
"Mar 26, 2020",489.35,500.79,467.15,489.56,489.56,1047700
"Mar 25, 2020",497.43,518.85,480.00,482.65,482.65,880000
"Mar 24, 2020",490.00,505.22,477.02,490.00,490.00,839200
"Mar 23, 2020",453.34,486.08,425.38,457.65,457.65,897700
"Mar 20, 2020",472.88,525.53,451.50,452.88,452.88,822200
"Mar 19, 2020",450.00,474.09,436.23,463.53,463.53,673000
"Mar 18, 2020",455.00,498.10,422.22,452.17,452.17,1072100
"Mar 17, 2020",472.08,500.00,425.65,490.69,490.69,1124600
"Mar 16, 2020",455.00,507.16,451.00,467.32,467.32,906800
"Mar 13, 2020",534.43,549.97,493.80,535.69,535.69,1229400
"Mar 12, 2020",496.22,520.00,472.25,502.00,502.00,1437400
"Mar 11, 2020",578.01,583.44,539.79,550.72,550.72,579800
"Mar 10, 2020",566.35,599.08,546.03,599.07,599.07,808800
"Mar 09, 2020",547.36,581.98,537.99,539.64,539.64,1046300
"Mar 06, 2020",600.00,618.06,585.89,614.51,614.51,599800
"Mar 05, 2020",629.25,647.66,622.05,627.88,627.88,403400
"Mar 04, 2020",647.60,658.95,642.39,653.63,653.63,471600
"Mar 03, 2020",649.99,670.00,615.91,624.73,624.73,606500
"Mar 02, 2020",621.24,643.40,613.40,642.11,642.11,644400
"Feb 28, 2020",577.03,617.00,572.77,616.03,616.03,1053000
"Feb 27, 2020",614.86,633.17,600.00,600.00,600.00,869700
"Feb 26, 2020",635.94,661.84,626.01,632.05,632.05,1290200
"Feb 25, 2020",698.64,702.00,626.90,630.00,630.00,1260900
"Feb 24, 2020",701.01,701.01,666.67,673.46,673.46,1280900
"Feb 21, 2020",739.88,747.42,721.49,735.60,735.60,562800
"Feb 20, 2020",742.79,756.48,728.00,742.59,742.59,730800
"Feb 19, 2020",733.76,745.00,732.15,742.74,742.74,530000
"Feb 18, 2020",734.38,734.38,725.00,728.45,728.45,914800
"Feb 14, 2020",720.87,735.24,718.06,735.01,735.01,967900
"Feb 13, 2020",697.87,720.69,684.07,718.53,718.53,1111000
"Feb 12, 2020",656.88,700.96,655.81,699.82,699.82,926500
"Feb 11, 2020",633.31,661.99,608.87,651.62,651.62,1452100
"Feb 10, 2020",647.10,660.97,646.15,658.23,658.23,696300
"Feb 07, 2020",671.00,678.22,642.92,646.02,646.02,960400
"Feb 06, 2020",689.40,689.40,668.49,671.00,671.00,395500
"Feb 05, 2020",725.19,725.19,674.01,675.84,675.84,654300
"Feb 04, 2020",691.44,711.17,684.22,709.86,709.86,506100
"Feb 03, 2020",667.00,680.62,665.54,677.98,677.98,341100
"Jan 31, 2020",670.99,670.99,660.93,663.00,663.00,302000
"Jan 30, 2020",663.30,672.50,656.68,671.08,671.08,266800
"Jan 29, 2020",678.99,681.00,666.02,668.61,668.61,367400
"Jan 28, 2020",661.22,676.31,657.77,674.72,674.72,359600
"Jan 27, 2020",647.00,655.41,636.37,653.86,653.86,338200
"Jan 24, 2020",666.40,674.89,654.04,660.58,660.58,272900
"Jan 23, 2020",660.93,669.99,653.38,663.33,663.33,265900
"Jan 22, 2020",667.46,677.77,662.34,663.15,663.15,357200
"Jan 21, 2020",665.00,666.77,647.00,658.46,658.46,590900
