Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",300.97,302.97,289.31,295.38,295.38,1019700
"Apr 02, 2020",288.94,303.94,288.94,303.49,303.49,1139400
"Apr 01, 2020",288.42,300.97,283.59,287.25,287.25,1184700
"Mar 31, 2020",309.81,313.61,299.37,301.05,301.05,1101200
"Mar 30, 2020",315.25,320.85,306.56,318.19,318.19,760100
"Mar 27, 2020",315.10,325.52,307.22,313.43,313.43,902900
"Mar 26, 2020",300.00,329.00,300.00,326.74,326.74,1602200
"Mar 25, 2020",279.51,314.74,274.93,298.92,298.92,2171600
"Mar 24, 2020",272.27,294.99,271.00,277.13,277.13,2921500
"Mar 23, 2020",255.85,270.84,251.52,260.92,260.92,1900500
"Mar 20, 2020",290.73,291.53,261.00,263.77,263.77,1104200
"Mar 19, 2020",291.27,306.32,277.36,290.53,290.53,936800
"Mar 18, 2020",291.21,312.48,274.94,293.72,293.72,1187500
"Mar 17, 2020",307.18,331.29,301.89,327.54,327.54,1111300
"Mar 16, 2020",325.72,336.00,298.53,299.65,299.65,1148800
"Mar 13, 2020",344.00,354.92,328.71,354.30,354.30,952400
"Mar 12, 2020",359.89,361.66,330.24,330.29,330.29,1616600
"Mar 11, 2020",385.51,387.47,370.99,374.35,374.35,1231700
"Mar 10, 2020",381.68,394.55,381.13,393.52,393.52,1284100
"Mar 09, 2020",358.56,380.00,355.00,373.63,373.63,1476900
"Mar 06, 2020",354.03,369.57,352.24,368.08,368.08,1175800
"Mar 05, 2020",368.87,371.94,358.45,361.33,361.33,810200
"Mar 04, 2020",368.02,377.50,363.62,377.20,377.20,734300
"Mar 03, 2020",368.43,380.48,362.25,364.17,364.17,1406900
"Mar 02, 2020",367.01,378.39,364.45,378.39,378.39,1222300
"Feb 28, 2020",360.91,372.50,358.87,368.72,368.72,1691800
"Feb 27, 2020",371.24,380.93,370.06,370.47,370.47,1110200
"Feb 26, 2020",379.50,384.21,376.72,377.69,377.69,809600
"Feb 25, 2020",389.71,390.90,376.75,377.35,377.35,1005800
"Feb 24, 2020",386.15,391.29,385.48,387.77,387.77,758200
"Feb 21, 2020",393.30,394.21,389.37,391.50,391.50,642000
"Feb 20, 2020",391.15,395.72,388.69,395.18,395.18,1096000
"Feb 19, 2020",394.96,398.11,390.50,392.15,392.15,781900
"Feb 18, 2020",393.23,399.36,391.31,395.99,395.99,1095300
"Feb 14, 2020",393.59,396.01,389.77,390.89,390.89,898900
"Feb 13, 2020",391.84,396.23,391.84,392.60,392.60,723700
"Feb 12, 2020",391.19,393.26,389.33,392.47,392.47,840800
"Feb 11, 2020",388.13,394.33,387.77,389.76,389.76,1255400
"Feb 10, 2020",385.33,392.00,385.33,391.31,391.31,845700
"Feb 07, 2020",396.28,397.49,386.18,387.69,387.69,1187900
"Feb 06, 2020",404.28,412.49,388.43,398.13,398.13,2185100
"Feb 05, 2020",410.53,421.71,410.27,419.21,419.21,938000
"Feb 04, 2020",409.78,415.96,407.47,407.59,407.59,666500
"Feb 03, 2020",407.84,412.07,405.87,406.23,406.23,775100
"Jan 31, 2020",415.28,417.95,405.00,406.10,406.10,1274900
"Jan 30, 2020",420.70,420.79,417.00,419.88,419.88,623700
"Jan 29, 2020",427.70,429.53,423.90,424.13,424.13,368300
"Jan 28, 2020",427.35,429.84,425.59,428.06,428.06,457000
"Jan 27, 2020",425.88,428.85,425.88,426.81,426.81,448300
"Jan 24, 2020",437.46,439.12,429.71,430.77,430.77,374900
"Jan 23, 2020",432.74,436.91,430.89,436.05,436.05,685400
"Jan 22, 2020",441.18,443.86,433.52,435.71,435.71,754200
"Jan 21, 2020",439.92,446.83,439.81,440.60,440.60,622300
"Jan 17, 2020",442.68,442.80,436.16,440.68,440.68,606900
"Jan 16, 2020",439.90,443.99,438.45,441.07,441.07,875600
"Jan 15, 2020",436.87,440.34,436.78,438.15,438.15,349100
"Jan 14, 2020",434.16,438.79,432.50,438.51,438.51,432800
"Jan 13, 2020",436.63,437.84,433.07,435.50,435.50,574500
"Jan 10, 2020",437.88,438.39,434.90,436.85,436.85,569400
"Jan 09, 2020",434.99,439.54,433.45,437.37,437.37,561200
"Jan 08, 2020",428.87,437.57,428.87,431.90,431.90,479500
"Jan 07, 2020",433.94,434.51,425.28,428.77,428.77,661500
