Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",36.40,37.65,36.22,36.90,36.90,7495000
"Apr 02, 2020",33.90,36.77,33.90,36.28,36.28,7576200
"Apr 01, 2020",35.73,37.33,35.42,35.90,35.90,9897000
"Mar 31, 2020",35.71,36.71,35.43,36.03,36.03,9930700
"Mar 30, 2020",35.53,36.16,35.24,35.63,35.63,7140100
"Mar 27, 2020",36.20,36.20,34.72,35.32,35.32,11250400
"Mar 26, 2020",37.02,38.48,36.71,37.01,37.01,6214400
"Mar 25, 2020",35.85,38.78,35.80,37.26,37.26,8268200
"Mar 24, 2020",35.05,36.13,34.76,36.05,36.05,6223000
"Mar 23, 2020",34.15,34.75,32.66,34.10,34.10,5547200
"Mar 20, 2020",34.00,35.74,33.38,33.57,33.57,6836500
"Mar 19, 2020",31.55,33.84,31.41,33.80,33.80,7070300
"Mar 18, 2020",31.56,32.79,31.00,31.77,31.77,6655400
"Mar 17, 2020",32.79,34.06,31.65,33.39,33.39,6050900
"Mar 16, 2020",31.14,33.48,30.20,32.19,32.19,8836400
"Mar 13, 2020",34.50,34.65,32.96,33.76,33.76,9429600
"Mar 12, 2020",33.90,34.20,32.50,32.81,32.81,13354500
"Mar 11, 2020",35.50,37.28,34.67,35.06,35.06,19546600
"Mar 10, 2020",37.14,38.14,36.70,37.69,37.69,13048100
"Mar 09, 2020",35.01,37.48,34.79,36.51,36.51,9547500
"Mar 06, 2020",35.74,36.78,35.29,36.76,36.76,7009100
"Mar 05, 2020",35.70,37.35,35.55,36.12,36.12,8622400
"Mar 04, 2020",36.43,36.48,35.76,36.29,36.29,5476700
"Mar 03, 2020",37.50,37.62,35.40,35.79,35.79,6544900
"Mar 02, 2020",37.00,37.57,36.46,37.51,37.51,9240300
"Feb 28, 2020",34.00,35.84,33.85,35.78,35.78,7468600
"Feb 27, 2020",34.08,35.84,33.90,35.18,35.18,13402100
"Feb 26, 2020",33.02,34.90,33.02,34.53,34.53,9441800
"Feb 25, 2020",34.18,34.26,32.78,32.80,32.80,12772600
"Feb 24, 2020",33.00,33.98,32.90,33.14,33.14,15338200
"Feb 21, 2020",36.06,36.25,34.41,34.57,34.57,11399000
"Feb 20, 2020",37.12,37.68,35.96,36.32,36.32,5855600
"Feb 19, 2020",36.82,37.42,36.69,37.13,37.13,4194700
"Feb 18, 2020",37.00,37.08,36.11,36.44,36.44,6619100
"Feb 14, 2020",37.30,37.64,36.93,37.12,37.12,4137600
"Feb 13, 2020",36.20,37.72,36.00,37.42,37.42,6320100
"Feb 12, 2020",36.57,37.08,36.00,36.81,36.81,5152000
"Feb 11, 2020",34.95,36.30,34.74,36.00,36.00,8975100
"Feb 10, 2020",34.50,35.37,34.25,34.50,34.50,11215600
"Feb 07, 2020",36.21,36.21,34.00,34.28,34.28,10138800
"Feb 06, 2020",36.27,36.95,36.01,36.38,36.38,5644000
"Feb 05, 2020",37.09,37.09,35.21,35.72,35.72,4953000
"Feb 04, 2020",36.43,37.29,36.26,36.51,36.51,6504300
"Feb 03, 2020",35.00,35.97,34.35,35.79,35.79,7039100
"Jan 31, 2020",35.73,35.82,34.62,35.22,35.22,4919000
"Jan 30, 2020",35.65,36.00,34.60,35.93,35.93,7195800
"Jan 29, 2020",37.51,37.51,36.61,36.74,36.74,1673000
"Jan 28, 2020",37.30,37.40,36.63,36.96,36.96,3040600
