Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",78.58,79.23,74.17,74.75,74.75,3534700
"Apr 02, 2020",80.00,82.27,75.63,79.40,79.40,4137500
"Apr 01, 2020",82.30,85.37,79.89,81.09,81.09,4468900
"Mar 31, 2020",84.10,88.79,83.74,86.97,86.97,4875800
"Mar 30, 2020",82.59,85.50,80.58,84.87,84.87,3237400
"Mar 27, 2020",81.78,85.78,80.00,82.55,82.55,3493000
"Mar 26, 2020",82.34,86.83,81.31,85.60,85.60,5436500
"Mar 25, 2020",73.95,84.86,72.80,81.29,81.29,5655300
"Mar 24, 2020",67.82,71.80,66.07,71.58,71.58,8351500
"Mar 23, 2020",62.69,66.43,60.50,62.92,62.92,5970200
"Mar 20, 2020",65.43,70.00,63.85,63.90,63.90,10008700
"Mar 19, 2020",59.46,69.33,57.67,65.00,65.00,7958700
"Mar 18, 2020",65.30,65.95,56.30,59.97,59.97,8149600
"Mar 17, 2020",74.43,74.67,67.69,69.56,69.56,7862800
"Mar 16, 2020",84.34,84.34,73.19,73.93,73.93,4883700
"Mar 16, 2020",0.285 Dividend,0.285 Dividend,0.285 Dividend,0.285 Dividend,0.285 Dividend,0.285 Dividend
"Mar 13, 2020",95.63,97.13,87.48,92.83,92.55,4298400
"Mar 12, 2020",92.67,96.46,91.03,91.35,91.07,5273900
"Mar 11, 2020",99.42,100.97,97.83,98.56,98.26,3731100
"Mar 10, 2020",97.16,101.92,95.78,101.85,101.54,3921200
"Mar 09, 2020",96.99,97.82,94.41,94.81,94.52,4067500
"Mar 06, 2020",97.59,103.42,97.34,102.51,102.20,3940100
"Mar 05, 2020",106.34,107.16,100.70,101.69,101.38,3136700
"Mar 04, 2020",109.38,110.50,105.81,109.56,109.22,4938700
"Mar 03, 2020",111.00,114.31,107.59,109.22,108.88,3487300
"Mar 02, 2020",109.22,112.00,105.95,111.98,111.64,3138100
"Feb 28, 2020",108.62,110.65,106.76,108.78,108.45,4152000
"Feb 27, 2020",117.80,119.02,111.85,111.94,111.60,2738900
"Feb 26, 2020",118.40,121.41,117.96,119.20,118.83,2432000
"Feb 25, 2020",121.99,122.21,116.56,116.75,116.39,2295700
"Feb 24, 2020",122.00,123.18,121.05,121.62,121.25,1816400
"Feb 21, 2020",123.26,123.87,122.12,123.24,122.86,1316400
"Feb 20, 2020",122.84,124.16,121.94,123.81,123.43,1065400
"Feb 19, 2020",122.96,123.63,122.57,122.94,122.56,1061200
"Feb 18, 2020",121.58,123.01,121.02,122.49,122.11,1497200
"Feb 14, 2020",120.91,121.97,120.68,121.78,121.41,1307700
"Feb 13, 2020",119.76,120.75,119.48,120.60,120.23,1290300
"Feb 12, 2020",120.48,120.60,119.67,120.06,119.69,1388800
"Feb 11, 2020",119.04,119.93,118.67,119.70,119.33,1260900
