Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",64.47,64.75,60.90,63.05,63.05,14663100
"Apr 02, 2020",65.75,68.70,62.91,65.00,65.00,18175000
"Apr 01, 2020",63.00,64.76,61.58,62.62,62.62,12880400
"Mar 31, 2020",67.18,68.32,65.31,65.74,65.74,20109800
"Mar 30, 2020",66.56,68.22,64.58,67.86,67.86,14199700
"Mar 27, 2020",66.68,68.25,64.82,66.34,66.34,18950500
"Mar 26, 2020",66.71,71.58,66.25,69.90,69.90,20997500
"Mar 25, 2020",66.83,69.64,63.49,65.81,65.81,22977200
"Mar 24, 2020",62.61,65.16,61.00,64.88,64.88,28286200
"Mar 23, 2020",57.23,57.44,54.00,56.55,56.55,24905800
"Mar 20, 2020",62.30,65.68,57.91,58.03,58.03,28420600
"Mar 19, 2020",56.23,63.36,53.55,61.41,61.41,25167400
"Mar 18, 2020",55.55,57.65,50.02,56.33,56.33,28770600
"Mar 17, 2020",59.55,59.62,53.61,58.98,58.98,25045200
"Mar 16, 2020",60.63,63.95,58.11,58.59,58.59,23354300
"Mar 13, 2020",65.65,70.18,63.51,69.92,69.92,19247200
"Mar 12, 2020",62.95,66.79,61.46,62.10,62.10,25170600
"Mar 11, 2020",72.83,74.27,67.40,68.30,68.30,17138000
"Mar 10, 2020",72.56,74.95,70.03,74.87,74.87,18414000
"Mar 09, 2020",70.58,74.03,70.08,70.83,70.83,15930300
"Mar 06, 2020",73.46,75.71,72.05,75.34,75.34,18080100
"Mar 05, 2020",77.90,77.90,75.28,76.19,76.19,12545300
"Mar 04, 2020",79.29,80.20,77.88,79.67,79.67,10999600
"Mar 03, 2020",82.30,82.62,78.11,78.60,78.60,12395900
"Mar 02, 2020",77.92,82.41,77.66,82.38,82.38,14258700
"Feb 28, 2020",76.17,78.81,75.72,78.43,78.43,19120200
"Feb 27, 2020",78.83,80.87,77.36,78.29,78.29,17120800
"Feb 26, 2020",82.60,83.24,80.64,80.67,80.67,10541500
"Feb 25, 2020",85.02,85.35,81.67,82.19,82.19,9404000
"Feb 24, 2020",84.53,86.05,84.26,84.52,84.52,8313600
"Feb 21, 2020",88.00,88.39,87.00,87.36,87.36,5800500
"Feb 20, 2020",89.73,90.25,87.73,88.60,88.60,5969200
"Feb 19, 2020",89.49,90.44,89.30,90.14,90.14,5210800
"Feb 18, 2020",89.37,89.47,88.29,89.23,89.23,5288800
"Feb 14, 2020",90.18,90.41,88.99,89.28,89.28,5686900
"Feb 13, 2020",88.50,90.51,88.26,89.93,89.93,8576600
"Feb 12, 2020",87.71,89.10,87.39,88.57,88.57,7747800
"Feb 11, 2020",87.86,88.23,87.35,87.51,87.51,5098500
"Feb 10, 2020",86.43,87.62,86.17,87.53,87.53,7289300
"Feb 07, 2020",85.76,86.62,85.32,86.42,86.42,8073900
"Feb 06, 2020",87.65,87.70,86.15,86.15,86.15,8901400
"Feb 05, 2020",88.88,89.20,86.63,87.56,87.56,9982700
"Feb 05, 2020",0.41 Dividend,0.41 Dividend,0.41 Dividend,0.41 Dividend,0.41 Dividend,0.41 Dividend
"Feb 04, 2020",87.14,89.00,86.62,88.38,87.97,9997100
"Feb 03, 2020",85.07,86.79,85.07,86.01,85.61,9092600
"Jan 31, 2020",85.79,85.99,84.52,84.83,84.44,11693900
"Jan 30, 2020",85.45,86.59,84.69,85.84,85.44,12224900
"Jan 29, 2020",88.15,88.44,85.60,86.72,86.32,17678700
"Jan 28, 2020",89.05,89.19,87.72,88.60,88.19,11922400
"Jan 27, 2020",88.63,89.45,87.55,88.73,88.32,11066500
"Jan 24, 2020",94.00,94.13,91.34,92.03,91.60,7815500
"Jan 23, 2020",91.92,93.85,90.74,93.75,93.32,6100600
"Jan 22, 2020",93.14,93.75,92.47,92.53,92.10,6157400
"Jan 21, 2020",92.83,93.60,92.19,92.53,92.10,7094600
"Jan 17, 2020",92.93,93.75,92.81,93.62,93.19,6962800
"Jan 16, 2020",91.99,92.61,91.63,92.58,92.15,5180300
"Jan 15, 2020",91.00,92.06,91.00,91.54,91.12,6145300
"Jan 14, 2020",91.19,91.44,90.86,90.99,90.57,5855200
"Jan 13, 2020",90.62,91.72,90.21,91.08,90.66,7382500
"Jan 10, 2020",90.80,90.89,89.63,90.16,89.74,7097900
"Jan 09, 2020",90.25,91.16,90.07,90.53,90.11,9443500
"Jan 08, 2020",87.94,89.35,87.78,88.88,88.47,7296300
"Jan 07, 2020",87.96,88.03,87.13,87.86,87.45,6514700
"Jan 06, 2020",88.11,88.41,87.47,88.13,87.72,5409800
"Jan 03, 2020",88.66,89.10,88.10,88.83,88.42,4874100
"Jan 02, 2020",88.12,89.35,88.05,89.35,88.94,6473800
"Dec 31, 2019",87.44,87.99,87.31,87.92,87.51,4115600
"Dec 30, 2019",88.01,88.20,87.06,87.44,87.03,4655600
"Dec 27, 2019",88.11,88.46,87.69,88.13,87.72,4129300
"Dec 26, 2019",88.73,88.76,87.79,88.08,87.67,4177700
"Dec 24, 2019",88.20,88.60,88.00,88.52,88.11,1847800
"Dec 23, 2019",88.62,88.85,88.18,88.23,87.82,4349700
"Dec 20, 2019",88.79,89.00,87.89,88.46,88.05,14271500
"Dec 19, 2019",87.83,88.59,87.58,88.52,88.11,6022100
"Dec 18, 2019",88.39,88.85,87.82,87.99,87.58,5859200
"Dec 17, 2019",88.87,88.97,87.47,88.13,87.72,7296900
"Dec 16, 2019",89.14,89.30,88.43,88.78,88.37,6705600
"Dec 13, 2019",88.02,88.79,87.58,88.67,88.26,6714100
"Dec 12, 2019",88.00,88.89,87.54,88.21,87.80,10282100
"Dec 11, 2019",86.26,86.87,85.85,86.59,86.19,4921900
"Dec 10, 2019",86.50,87.47,85.91,86.04,85.64,7944800
"Dec 09, 2019",86.31,86.63,85.96,86.28,85.88,7164700
"Dec 06, 2019",85.03,86.53,85.03,86.32,85.92,8499800
"Dec 05, 2019",85.44,85.48,84.32,84.45,84.06,5170800
"Dec 04, 2019",85.13,85.54,84.70,85.40,85.00,5940300
"Dec 03, 2019",84.03,85.00,83.82,84.82,84.43,6049800
"Dec 02, 2019",85.38,85.77,83.82,84.57,84.18,6425800
"Nov 29, 2019",85.91,86.73,85.25,85.43,85.03,3857000
"Nov 27, 2019",84.85,85.81,84.42,85.77,85.37,7502400
"Nov 26, 2019",84.13,84.65,84.00,84.56,84.17,7651500
"Nov 25, 2019",83.16,84.00,82.93,83.75,83.36,5450400
"Nov 22, 2019",82.69,83.39,82.66,83.02,82.63,6080400
"Nov 21, 2019",83.75,84.04,81.76,82.30,81.92,8300500
"Nov 20, 2019",83.54,84.49,82.98,83.60,83.21,6248700
"Nov 19, 2019",84.06,84.28,83.57,83.66,83.27,6008400
"Nov 18, 2019",83.92,84.11,83.25,84.02,83.63,6432200
"Nov 15, 2019",84.68,84.94,83.57,84.21,83.82,7533000
"Nov 14, 2019",84.10,84.52,83.80,84.38,83.99,5285100
"Nov 13, 2019",83.29,84.29,83.20,83.94,83.55,7407900
"Nov 12, 2019",82.69,83.98,82.61,83.32,82.93,8551400
*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.
