Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",43.25,43.34,40.72,40.96,40.96,12139900
"Apr 02, 2020",44.49,45.54,41.92,43.79,43.79,9665200
"Apr 01, 2020",44.28,46.65,43.93,44.62,44.62,8810000
"Mar 31, 2020",47.30,48.69,46.46,47.81,47.81,18375300
"Mar 30, 2020",47.17,48.18,45.40,47.55,47.55,12442400
"Mar 27, 2020",46.16,48.28,44.62,46.80,46.80,12743200
"Mar 26, 2020",44.62,48.76,44.22,47.96,47.96,17080100
"Mar 25, 2020",42.41,47.02,42.25,44.08,44.08,14331800
"Mar 24, 2020",39.45,41.75,38.86,41.04,41.04,14467600
"Mar 23, 2020",35.90,37.24,32.72,36.76,36.76,21303700
"Mar 20, 2020",42.73,42.75,37.00,37.37,37.37,13402000
"Mar 19, 2020",40.44,43.00,34.36,41.65,41.65,22567100
"Mar 18, 2020",39.27,41.05,36.96,40.85,40.85,18300900
"Mar 17, 2020",41.64,43.71,39.00,42.51,42.51,18604500
"Mar 16, 2020",45.92,45.93,40.81,41.05,41.05,13684100
"Mar 13, 2020",51.88,52.13,47.60,51.57,51.57,11254400
"Mar 12, 2020",51.95,52.12,48.00,49.36,49.36,13572800
"Mar 11, 2020",56.73,57.35,55.30,55.61,55.61,12107500
"Mar 10, 2020",58.56,59.13,55.68,57.97,57.97,12575500
"Mar 09, 2020",55.34,57.72,54.80,57.20,57.20,11188700
"Mar 06, 2020",57.26,59.26,57.02,58.56,58.56,10401300
"Mar 05, 2020",60.50,61.54,59.19,59.57,59.57,9162300
"Mar 04, 2020",61.09,62.44,60.14,62.27,62.27,6853500
"Mar 03, 2020",62.19,63.59,59.79,60.61,60.61,10092900
"Mar 02, 2020",60.22,62.32,59.37,62.19,62.19,10155000
"Feb 28, 2020",58.84,60.72,58.14,59.80,59.80,12936400
"Feb 27, 2020",61.76,63.70,60.06,60.12,60.12,12640100
"Feb 26, 2020",64.12,64.95,63.22,63.99,63.99,14677500
"Feb 25, 2020",61.97,62.12,59.62,59.72,59.72,8317600
"Feb 24, 2020",61.68,62.23,61.29,61.75,61.75,5638500
"Feb 21, 2020",63.52,63.92,63.05,63.31,63.31,4681000
"Feb 20, 2020",64.00,64.30,63.16,63.87,63.87,3015200
"Feb 19, 2020",63.58,63.92,63.39,63.81,63.81,3384500
"Feb 18, 2020",63.36,63.86,63.05,63.46,63.46,3498200
"Feb 14, 2020",63.63,63.89,63.15,63.38,63.38,5472300
"Feb 13, 2020",63.05,63.51,62.80,63.36,63.36,5195300
"Feb 12, 2020",62.79,63.37,62.39,63.29,63.29,4304700
"Feb 12, 2020",0.23 Dividend,0.23 Dividend,0.23 Dividend,0.23 Dividend,0.23 Dividend,0.23 Dividend
"Feb 11, 2020",62.26,62.56,61.84,62.46,62.23,4490100
"Feb 10, 2020",61.45,61.87,61.19,61.65,61.42,3449700
"Feb 07, 2020",61.60,61.85,61.14,61.38,61.15,3727200
"Feb 06, 2020",62.47,62.50,61.81,61.82,61.59,4588900
"Feb 05, 2020",62.00,62.45,61.86,62.22,61.99,4353200
"Feb 04, 2020",61.20,61.87,61.08,61.28,61.05,4266700
"Feb 03, 2020",59.62,60.77,59.46,60.24,60.02,6331700
"Jan 31, 2020",60.38,60.46,58.84,59.04,58.82,6151900
"Jan 30, 2020",60.68,61.01,60.00,60.50,60.28,5375600
"Jan 29, 2020",61.69,61.78,61.08,61.09,60.87,3449200
"Jan 28, 2020",60.92,61.64,60.78,61.30,61.07,3928500
"Jan 27, 2020",60.26,61.22,60.17,60.93,60.71,3795700
"Jan 24, 2020",62.45,62.50,60.99,61.19,60.96,3909500
"Jan 23, 2020",62.34,62.53,61.93,62.45,62.22,3529600
"Jan 22, 2020",62.78,63.01,62.42,62.43,62.20,2943100
"Jan 21, 2020",62.44,62.76,62.09,62.30,62.07,5090600
"Jan 17, 2020",62.82,62.98,62.47,62.68,62.45,5382300
"Jan 16, 2020",62.20,62.83,62.15,62.81,62.58,4114600
"Jan 15, 2020",62.57,62.85,61.71,61.80,61.57,5020500
"Jan 14, 2020",62.50,62.80,62.05,62.72,62.49,5316800
"Jan 13, 2020",62.32,62.66,62.03,62.52,62.29,3486500
"Jan 10, 2020",62.66,63.03,62.20,62.34,62.11,3853400
"Jan 09, 2020",62.07,62.84,62.01,62.64,62.41,5584400
"Jan 08, 2020",61.73,62.39,61.73,61.92,61.69,3658100
"Jan 07, 2020",61.23,61.67,61.14,61.59,61.36,4586700
"Jan 06, 2020",61.20,61.64,60.91,61.63,61.40,5223000
"Jan 03, 2020",61.05,61.57,60.77,61.24,61.01,3229200
"Jan 02, 2020",61.33,61.70,61.06,61.70,61.47,5190200
"Dec 31, 2019",61.10,61.23,60.66,61.06,60.84,3631000
"Dec 30, 2019",60.78,61.47,60.31,61.17,60.94,3493700
"Dec 27, 2019",61.01,61.30,60.59,60.85,60.63,2943800
"Dec 26, 2019",60.50,60.87,60.36,60.82,60.60,2584700
"Dec 24, 2019",60.08,60.41,59.91,60.38,60.16,1166500
"Dec 23, 2019",59.99,60.24,59.83,60.04,59.82,3907700
"Dec 20, 2019",61.04,61.15,59.95,59.98,59.76,8193200
"Dec 19, 2019",60.33,60.51,59.94,60.25,60.03,4318900
"Dec 18, 2019",60.92,61.04,60.44,60.50,60.28,6273600
"Dec 17, 2019",60.71,60.96,60.50,60.75,60.53,4755600
"Dec 16, 2019",60.72,61.26,60.53,60.60,60.38,6259400
"Dec 13, 2019",60.83,60.83,59.85,60.37,60.15,3525100
"Dec 12, 2019",60.55,61.08,60.14,60.86,60.64,3981100
"Dec 11, 2019",60.21,60.44,59.90,60.39,60.17,4059800
"Dec 10, 2019",60.40,60.51,59.99,60.24,60.02,4117700
"Dec 09, 2019",60.02,60.59,60.02,60.36,60.14,5364900
"Dec 06, 2019",60.06,60.49,59.75,59.84,59.62,4901700
"Dec 05, 2019",60.05,60.06,59.18,59.57,59.35,5160500
"Dec 04, 2019",59.75,60.16,59.50,59.88,59.66,4481400
"Dec 03, 2019",59.88,60.17,59.37,59.50,59.28,4781300
"Dec 02, 2019",61.21,61.41,60.34,60.40,60.18,4831900
"Nov 29, 2019",61.11,61.50,60.87,61.13,60.90,2425500
"Nov 27, 2019",60.62,61.23,60.40,60.97,60.75,5236000
"Nov 26, 2019",59.15,60.70,59.10,60.35,60.13,15894600
"Nov 25, 2019",59.30,59.83,58.98,59.35,59.13,5297800
"Nov 22, 2019",59.23,59.49,58.61,59.18,58.96,6193800
"Nov 21, 2019",59.13,59.87,59.00,59.12,58.90,6924300
"Nov 20, 2019",60.56,60.78,58.70,59.32,59.10,8673900
"Nov 19, 2019",60.28,61.69,59.81,60.64,60.42,11468200
"Nov 18, 2019",59.70,59.88,59.12,59.55,59.33,7015500
"Nov 15, 2019",59.72,59.96,59.00,59.82,59.60,4752400
"Nov 14, 2019",58.55,59.24,58.31,59.18,58.96,3323400
"Nov 13, 2019",58.26,58.65,57.63,58.44,58.22,3978300
"Nov 13, 2019",0.23 Dividend,0.23 Dividend,0.23 Dividend,0.23 Dividend,0.23 Dividend,0.23 Dividend
